country,year,wheat_yield_hg_per_ha,avg_wheat_price,median_n,median_p,median_k,median_temp_range
Bolivia (Plurinational State of),2008,12931,235.37808823529411,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2009,12862,51.527919708029195,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2010,13920,57.613213114754096,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2011,9731,65.00026845637585,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2012,9186,67.7166,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2013,11167,93.2700668896321,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2014,10652,95.9953,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2015,17208,69.27181229773463,0.23,5.124499999999999,259.1885,23.563333337
Bolivia (Plurinational State of),2016,14317,64.63672025723473,0.23,5.124499999999999,259.1885,23.563333337
"China, Taiwan Province of",2014,30833,2.9337999999999997,0.23,5.124499999999999,259.1885,23.563333337
"China, Taiwan Province of",2015,23540,2.907522222222222,0.23,5.124499999999999,259.1885,23.563333337
"China, Taiwan Province of",2016,28094,2.8248138888888885,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2004,25000,454.55241666666666,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2005,25065,480.01383333333337,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2006,24875,521.890175,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2007,24375,174.0623361111111,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2008,23973,384.00611458333333,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2009,22624,362.84373750000003,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2010,21918,214.18319247311828,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2011,20159,85.75704111111112,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2012,14800,69.75319420289856,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2013,15000,116.43827121212121,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2014,15000,114.87021221374046,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2015,13750,157.75555555555556,0.23,5.124499999999999,259.1885,23.563333337
Democratic People's Republic of Korea,2016,15351,244.4730371111111,0.23,5.124499999999999,259.1885,23.563333337
India,1994,23796,6.021052631578947,0.23,5.124499999999999,259.1885,23.563333337
India,1995,25590,5.78953488372093,0.23,5.124499999999999,259.1885,23.563333337
India,1996,24828,7.396428571428571,0.23,5.124499999999999,259.1885,23.563333337
India,1997,26789,8.337974683544305,0.23,5.124499999999999,259.1885,23.563333337
India,1998,24852,8.320890410958903,0.23,5.124499999999999,259.1885,23.563333337
India,1999,25901,8.404910714285714,0.23,5.124499999999999,259.1885,23.563333337
India,2000,27785,214.2296511627907,0.23,5.124499999999999,259.1885,23.563333337
India,2001,27081,288.1254961832061,0.23,5.124499999999999,259.1885,23.563333337
India,2002,27621,203.10700507614214,0.23,5.124499999999999,259.1885,23.563333337
India,2003,26100,198.86086956521737,0.23,5.124499999999999,259.1885,23.563333337
India,2004,27132,206.4645588235294,0.23,5.124499999999999,259.1885,23.563333337
India,2005,26016,217.51856435643563,0.23,5.124499999999999,259.1885,23.563333337
India,2006,26188,284.72421875000003,0.23,5.124499999999999,259.1885,23.563333337
India,2007,27079,303.0080808080808,0.23,5.124499999999999,259.1885,23.563333337
India,2008,28022,326.07,0.23,5.124499999999999,259.1885,23.563333337
India,2009,29071,344.16537688442213,0.23,5.124499999999999,259.1885,23.563333337
India,2010,28395,305.09570390625,0.23,5.124499999999999,259.1885,23.563333337
India,2011,29886,145.47734137323943,0.23,5.124499999999999,259.1885,23.563333337
India,2012,31775,98.54041717974181,0.23,5.124499999999999,259.1885,23.563333337
India,2013,31538,104.95590401746725,0.23,5.124499999999999,259.1885,23.563333337
India,2014,31457,105.22765958549222,0.23,5.124499999999999,259.1885,23.563333337
India,2015,27496,101.90879397071491,0.23,5.124499999999999,259.1885,23.563333337
India,2016,30930,98.20365832083958,0.23,5.124499999999999,259.1885,23.563333337
Japan,2014,40094,235.2,0.23,5.124499999999999,259.1885,23.563333337
Japan,2015,47114,240.29166666666666,0.23,5.124499999999999,259.1885,23.563333337
Japan,2016,36884,242.0,0.23,5.124499999999999,259.1885,23.563333337
United Kingdom,2016,78897,1558.7466180000001,0.23,5.124499999999999,259.1885,23.563333337
