Area,Year,Item,crop_topic,ASI
Global,2020,Barley,topic_0,0.4769
Global,2020,Barley,topic_0,0.4378
Global,2020,Barley,topic_0,0.4725
Global,2020,Barley,topic_0,0.4696
Global,2020,Barley,topic_0,0.4735
Global,2020,Barley,topic_0,0.4636
Global,2020,Barley,topic_0,0.4743
Global,2020,Barley,topic_0,0.4723
Global,2020,Barley,topic_0,0.4717
Global,2020,Barley,topic_0,0.4705
Global,2020,Barley,topic_0,0.4706
Global,2020,Barley,topic_0,0.4695
Global,2020,Barley,topic_0,0.464
Global,2020,Barley,topic_0,0.4701
Global,2020,Barley,topic_0,0.4722
Global,2020,Barley,topic_0,0.4657
Global,2020,Barley,topic_0,0.4537
Global,2020,Barley,topic_0,0.3465
Global,2020,Barley,topic_0,0.3492
Global,2020,Barley,topic_0,0.341
Global,2020,Barley,topic_0,0.3555
Global,2020,Barley,topic_0,0.3594
Global,2020,Barley,topic_0,0.3501
Global,2020,Barley,topic_0,0.3367
Global,2020,Barley,topic_0,0.3705
Global,2020,Barley,topic_0,0.3581
Global,2020,Barley,topic_0,0.3583
Global,2020,Barley,topic_0,0.3434
Global,2020,Barley,topic_0,0.346
Global,2020,Barley,topic_0,0.3562
Global,2020,Barley,topic_0,0.3708
Global,2020,Barley,topic_0,0.3489
Global,2020,Barley,topic_0,0.3534
Global,2020,Barley,topic_0,0.3395
Global,2020,Barley,topic_0,0.3401
Global,2020,Barley,topic_0,0.3592
Global,2020,Barley,topic_0,0.3543
Global,2020,Barley,topic_0,0.3424
Global,2020,Barley,topic_0,0.3671
Global,2020,Barley,topic_0,0.36
Global,2020,Barley,topic_0,0.3543
Global,2020,Barley,topic_0,0.3621
Global,2020,Barley,topic_0,0.3438
Global,2020,Barley,topic_0,0.3538
Global,2020,Barley,topic_0,0.3602
Global,2020,Barley,topic_0,0.3651
Global,2020,Barley,topic_0,0.3707
Global,2020,Barley,topic_0,0.3687
Global,2020,Barley,topic_0,0.3643
Global,2020,Barley,topic_0,0.3675
Global,2020,Barley,topic_0,0.3667
Global,2020,Barley,topic_0,0.3689
Global,2020,Barley,topic_0,0.371
Global,2020,Barley,topic_0,0.3712
Global,2020,Barley,topic_0,0.3709
Global,2020,Barley,topic_0,0.3474
Global,2020,Barley,topic_0,0.3617
Global,2020,Barley,topic_0,0.3342
Global,2020,Barley,topic_0,0.3619
Global,2020,Barley,topic_0,0.3646
Global,2020,Barley,topic_0,0.3713
Global,2020,Barley,topic_0,0.4133
Global,2020,Barley,topic_0,0.3543
Global,2020,Barley,topic_0,0.3794
Global,2020,Barley,topic_0,0.3586
Global,2020,Barley,topic_0,0.3447
Global,2020,Barley,topic_0,0.368
Global,2020,Barley,topic_0,0.3647
Global,2020,Barley,topic_0,0.3712
Global,2020,Barley,topic_0,0.3582
Global,2020,Barley,topic_0,0.3436
Global,2020,Barley,topic_0,0.3425
Global,2020,Barley,topic_0,0.371
Global,2020,Barley,topic_0,0.3705
Global,2020,Barley,topic_0,0.3655
Global,2020,Barley,topic_0,0.3635
Global,2020,Barley,topic_0,0.3622
Global,2020,Barley,topic_0,0.3571
Global,2020,Barley,topic_0,0.3526
Global,2020,Barley,topic_0,0.3688
Global,2020,Barley,topic_0,0.3705
Global,2020,Barley,topic_0,0.3706
Global,2020,Barley,topic_0,0.3692
Global,2020,Barley,topic_0,0.3533
Global,2020,Barley,topic_0,0.3563
Global,2020,Barley,topic_0,0.3692
Global,2020,Barley,topic_0,0.3688
Global,2020,Barley,topic_0,0.3643
Global,2020,Barley,topic_0,0.355
Global,2020,Barley,topic_0,0.3711
Global,2020,Barley,topic_0,0.3713
Global,2020,Barley,topic_0,0.3639
Global,2020,Barley,topic_0,0.3704
Global,2020,Barley,topic_0,0.3511
Global,2020,Barley,topic_0,0.3517
Global,2020,Barley,topic_0,0.3703
