label,n_samples,median_temp_range,median_precip,n_countries,median_pesticide,median_actual_yield,median_country_temp,median_country_rain
Barley,503,23.563333337,21.486666663,,,,,
Bean,253,23.563333337,21.486666663,,,,,
Dagussa,71,23.796666666999997,26.873333333,,,,,
Fallow,26,22.816666667,30.153333336,,,,,
Maize,732,23.796666666999997,26.873333333,180.0,1597.0,17393.0,20.6,1030.0
Niger seed,64,23.874999998499998,30.153333336,,,,,
Pea,94,22.816666667,25.5899999995,,,,,
Potato,48,22.816666667,30.580000003000002,168.0,1699.255,130427.5,18.94,832.0
Red Pepper,29,23.796666666999997,34.526666663,,,,,
Sorghum,72,22.816666667,22.8966666645,121.0,1733.07,11411.0,21.08,867.0
Teff,1260,22.816666667,24.306666665999998,,,,,
Wheat,715,23.563333337,22.843333329999997,133.0,2529.2,19999.0,17.02,657.0
