country,year,actual_top_crop,predicted_crop,prediction_probability
afghanistan,1990,Potato,Barley,0.33
afghanistan,1991,Potato,Wheat,0.26
afghanistan,1992,Potato,Wheat,0.26
afghanistan,1993,Potato,Wheat,0.26
afghanistan,1994,Potato,Wheat,0.26
afghanistan,1995,Potato,Wheat,0.26
afghanistan,1996,Potato,Wheat,0.26
afghanistan,1997,Potato,Wheat,0.26
afghanistan,1998,Potato,Wheat,0.26
afghanistan,1999,Potato,Barley,0.33
afghanistan,2000,Potato,Barley,0.33
afghanistan,2001,Potato,Barley,0.33
afghanistan,2002,Potato,Barley,0.33
afghanistan,2003,Potato,Wheat,0.26
afghanistan,2004,Potato,Barley,0.33
afghanistan,2005,Potato,Wheat,0.26
afghanistan,2006,Potato,Barley,0.33
afghanistan,2007,Potato,Barley,0.33
afghanistan,2008,Potato,Barley,0.33
afghanistan,2009,Potato,Wheat,0.26
afghanistan,2010,Potato,Barley,0.33
afghanistan,2011,Potato,Barley,0.33
afghanistan,2012,Potato,Wheat,0.26
afghanistan,2013,Potato,Barley,0.33
albania,1990,Potato,Barley,0.33
albania,1991,Potato,Barley,0.33
albania,1992,Potato,Barley,0.33
albania,1993,Potato,Barley,0.33
albania,1994,Potato,Potato,0.23
albania,1995,Potato,Barley,0.33
albania,1996,Potato,Barley,0.33
albania,1997,Potato,Barley,0.33
albania,1998,Potato,Barley,0.33
albania,1999,Potato,Barley,0.33
albania,2000,Potato,Potato,0.23
albania,2001,Potato,Barley,0.33
albania,2002,Potato,Barley,0.33
albania,2003,Potato,Potato,0.23
albania,2004,Potato,Barley,0.33
albania,2005,Potato,Barley,0.33
albania,2006,Potato,Barley,0.33
albania,2007,Potato,Potato,0.23
albania,2008,Potato,Potato,0.23
albania,2009,Potato,Potato,0.23
albania,2010,Potato,Barley,0.33
albania,2011,Potato,Barley,0.33
albania,2012,Potato,Potato,0.23
albania,2013,Potato,Potato,0.23
algeria,1990,Potato,Potato,0.23
algeria,1991,Potato,Barley,0.33
algeria,1992,Potato,Barley,0.33
algeria,1993,Potato,Potato,0.23
algeria,1994,Potato,Maize,0.22
algeria,1995,Potato,Potato,0.23
algeria,1996,Potato,Potato,0.24
algeria,1997,Potato,Maize,0.22
algeria,1998,Potato,Potato,0.23
algeria,1999,Potato,Maize,0.22
algeria,2000,Potato,Maize,0.22
algeria,2001,Potato,Maize,0.22
algeria,2002,Potato,Maize,0.22
algeria,2003,Potato,Maize,0.22
algeria,2004,Potato,Potato,0.23
algeria,2005,Potato,Potato,0.23
algeria,2006,Potato,Maize,0.22
algeria,2007,Potato,Potato,0.23
algeria,2008,Potato,Potato,0.23
algeria,2009,Potato,Maize,0.22
algeria,2010,Potato,Potato,0.23
algeria,2011,Potato,Maize,0.22
algeria,2012,Potato,Maize,0.22
algeria,2013,Potato,Potato,0.23
angola,1990,Potato,Maize,0.34
angola,1991,Potato,Maize,0.34
angola,1992,Potato,Maize,0.34
angola,1993,Potato,Maize,0.34
angola,1994,Potato,Maize,0.34
angola,1995,Potato,Maize,0.34
angola,1996,Potato,Maize,0.34
angola,1997,Potato,Maize,0.34
angola,1998,Potato,Maize,0.34
angola,1999,Potato,Maize,0.34
angola,2000,Potato,Maize,0.34
angola,2001,Potato,Maize,0.34
angola,2002,Potato,Maize,0.34
angola,2003,Potato,Maize,0.34
angola,2004,Potato,Maize,0.34
angola,2005,Potato,Maize,0.34
angola,2006,Potato,Maize,0.34
angola,2007,Potato,Maize,0.34
angola,2008,Potato,Maize,0.34
angola,2009,Potato,Maize,0.34
angola,2010,Potato,Maize,0.34
angola,2011,Potato,Maize,0.34
angola,2012,Potato,Maize,0.34
angola,2013,Potato,Maize,0.34
antiguaandbarbuda,1990,Maize,Maize,0.74
antiguaandbarbuda,1991,Maize,Maize,0.74
antiguaandbarbuda,1992,Maize,Maize,0.74
antiguaandbarbuda,1993,Maize,Maize,0.74
antiguaandbarbuda,1994,Maize,Maize,0.74
antiguaandbarbuda,1995,Maize,Maize,0.74
antiguaandbarbuda,1996,Maize,Maize,0.74
antiguaandbarbuda,1997,Maize,Maize,0.74
antiguaandbarbuda,1998,Maize,Maize,0.74
antiguaandbarbuda,1999,Maize,Maize,0.74
antiguaandbarbuda,2000,Maize,Maize,0.74
antiguaandbarbuda,2001,Maize,Maize,0.74
antiguaandbarbuda,2002,Maize,Maize,0.74
antiguaandbarbuda,2003,Maize,Maize,0.74
antiguaandbarbuda,2004,Maize,Maize,0.74
antiguaandbarbuda,2005,Maize,Maize,0.74
antiguaandbarbuda,2006,Maize,Maize,0.74
antiguaandbarbuda,2007,Maize,Maize,0.74
antiguaandbarbuda,2008,Maize,Maize,0.74
antiguaandbarbuda,2009,Maize,Maize,0.74
antiguaandbarbuda,2010,Maize,Maize,0.74
antiguaandbarbuda,2011,Maize,Maize,0.74
antiguaandbarbuda,2012,Maize,Maize,0.74
antiguaandbarbuda,2013,Maize,Maize,0.74
argentina,1990,Potato,Potato,0.23
argentina,1991,Potato,Maize,0.22
argentina,1992,Potato,Potato,0.23
argentina,1993,Potato,Potato,0.23
argentina,1994,Potato,Maize,0.22
argentina,1995,Potato,Maize,0.22
argentina,1996,Potato,Maize,0.22
argentina,1997,Potato,Maize,0.23
argentina,1998,Potato,Potato,0.23
argentina,1999,Potato,Potato,0.23
argentina,2000,Potato,Potato,0.23
argentina,2001,Potato,Maize,0.22
argentina,2002,Potato,Maize,0.22
argentina,2003,Potato,Maize,0.22
argentina,2004,Potato,Maize,0.22
argentina,2005,Potato,Potato,0.23
argentina,2006,Potato,Maize,0.22
argentina,2007,Potato,Potato,0.23
argentina,2008,Potato,Maize,0.22
argentina,2009,Potato,Maize,0.22
argentina,2010,Potato,Potato,0.23
argentina,2011,Potato,Maize,0.22
argentina,2012,Potato,Maize,0.22
argentina,2013,Potato,Potato,0.23
armenia,1992,Potato,Barley,0.28
armenia,1993,Potato,Barley,0.28
armenia,1994,Potato,Barley,0.28
armenia,1995,Potato,Barley,0.28
armenia,1996,Potato,Barley,0.28
armenia,1997,Potato,Barley,0.28
armenia,1998,Potato,Barley,0.28
armenia,1999,Potato,Barley,0.28
armenia,2000,Potato,Barley,0.28
armenia,2001,Potato,Barley,0.28
armenia,2002,Potato,Barley,0.28
armenia,2003,Potato,Barley,0.28
armenia,2004,Potato,Barley,0.28
armenia,2005,Potato,Barley,0.28
armenia,2006,Potato,Barley,0.28
armenia,2007,Potato,Barley,0.28
armenia,2008,Potato,Barley,0.28
armenia,2009,Potato,Barley,0.28
armenia,2010,Potato,Barley,0.28
armenia,2011,Potato,Barley,0.28
armenia,2012,Potato,Barley,0.28
armenia,2013,Potato,Barley,0.28
australia,1990,Potato,Barley,0.33
australia,1991,Potato,Potato,0.22
australia,1992,Potato,Barley,0.33
australia,1993,Potato,Barley,0.33
australia,1994,Potato,Barley,0.33
australia,1995,Potato,Barley,0.33
australia,1996,Potato,Barley,0.33
australia,1997,Potato,Barley,0.33
australia,1998,Potato,Potato,0.22
australia,1999,Potato,Potato,0.22
australia,2000,Potato,Potato,0.23
australia,2001,Potato,Barley,0.33
australia,2002,Potato,Potato,0.23
australia,2003,Potato,Barley,0.33
australia,2004,Potato,Potato,0.22
australia,2005,Potato,Potato,0.24
australia,2006,Potato,Potato,0.23
australia,2007,Potato,Potato,0.23
australia,2008,Potato,Barley,0.33
australia,2009,Potato,Potato,0.23
australia,2010,Potato,Potato,0.24
australia,2011,Potato,Potato,0.24
australia,2012,Potato,Potato,0.23
australia,2013,Potato,Potato,0.23
austria,1990,Potato,Barley,0.28
austria,1991,Potato,Barley,0.28
austria,1992,Potato,Barley,0.28
austria,1993,Potato,Barley,0.28
austria,1994,Potato,Barley,0.28
austria,1995,Potato,Barley,0.28
austria,1996,Potato,Barley,0.28
austria,1997,Potato,Barley,0.28
austria,1998,Potato,Barley,0.28
austria,1999,Potato,Barley,0.28
austria,2000,Potato,Barley,0.28
austria,2001,Potato,Barley,0.28
austria,2002,Potato,Barley,0.28
austria,2003,Potato,Barley,0.28
austria,2004,Potato,Barley,0.28
austria,2005,Potato,Barley,0.28
austria,2006,Potato,Barley,0.28
austria,2007,Potato,Barley,0.28
austria,2008,Potato,Barley,0.28
austria,2009,Potato,Barley,0.28
austria,2010,Potato,Barley,0.28
austria,2011,Potato,Barley,0.28
austria,2012,Potato,Barley,0.28
austria,2013,Potato,Barley,0.28
azerbaijan,1992,Potato,Barley,0.28
azerbaijan,1993,Potato,Barley,0.28
azerbaijan,1994,Potato,Barley,0.28
azerbaijan,1995,Potato,Barley,0.28
azerbaijan,1996,Potato,Barley,0.28
azerbaijan,1997,Potato,Barley,0.28
azerbaijan,1998,Potato,Barley,0.28
azerbaijan,1999,Potato,Barley,0.28
azerbaijan,2000,Potato,Barley,0.28
azerbaijan,2001,Potato,Barley,0.28
azerbaijan,2002,Potato,Barley,0.28
azerbaijan,2003,Potato,Barley,0.28
azerbaijan,2004,Potato,Barley,0.28
azerbaijan,2005,Potato,Barley,0.28
azerbaijan,2006,Potato,Barley,0.28
azerbaijan,2007,Potato,Barley,0.28
azerbaijan,2008,Potato,Barley,0.28
azerbaijan,2009,Potato,Barley,0.28
azerbaijan,2010,Potato,Barley,0.28
azerbaijan,2011,Potato,Barley,0.28
azerbaijan,2012,Potato,Barley,0.28
azerbaijan,2013,Potato,Wheat,0.26
bahamas,1990,Maize,Maize,0.67
bahamas,1991,Maize,Maize,0.67
bahamas,1992,Maize,Maize,0.67
bahamas,1993,Maize,Maize,0.67
bahamas,1994,Maize,Maize,0.67
bahamas,1995,Maize,Maize,0.67
bahamas,1996,Maize,Maize,0.67
bahamas,1997,Maize,Maize,0.67
bahamas,1998,Maize,Maize,0.67
bahamas,1999,Maize,Maize,0.67
bahamas,2000,Maize,Maize,0.67
bahamas,2001,Maize,Maize,0.67
bahamas,2002,Maize,Maize,0.67
bahamas,2003,Maize,Maize,0.67
bahamas,2004,Maize,Maize,0.67
bahamas,2005,Maize,Maize,0.67
bahamas,2006,Maize,Maize,0.67
bahamas,2007,Maize,Maize,0.67
bahamas,2008,Maize,Maize,0.67
bahamas,2009,Maize,Maize,0.67
bahamas,2010,Maize,Maize,0.67
bahamas,2011,Maize,Maize,0.67
bahamas,2012,Maize,Maize,0.67
bahamas,2013,Maize,Maize,0.67
bahrain,1990,Potato,Maize,0.34
bahrain,1991,Potato,Maize,0.34
bahrain,1992,Potato,Maize,0.34
bahrain,1993,Potato,Maize,0.34
bahrain,1994,Potato,Maize,0.34
bahrain,1995,Potato,Maize,0.34
bahrain,1996,Potato,Maize,0.34
bahrain,1997,Potato,Maize,0.34
bahrain,1998,Potato,Maize,0.34
bahrain,1999,Potato,Maize,0.34
bahrain,2000,Potato,Maize,0.34
bahrain,2001,Potato,Maize,0.34
bahrain,2002,Potato,Maize,0.34
bahrain,2003,Potato,Maize,0.34
bahrain,2004,Potato,Maize,0.34
bahrain,2005,Potato,Maize,0.34
bahrain,2006,Potato,Maize,0.34
bahrain,2007,Potato,Maize,0.34
bahrain,2008,Potato,Maize,0.34
bahrain,2009,Potato,Maize,0.34
bahrain,2010,Potato,Maize,0.34
bahrain,2011,Potato,Maize,0.34
bahrain,2012,Potato,Maize,0.34
bahrain,2013,Potato,Maize,0.34
bangladesh,1990,Potato,Maize,0.34
bangladesh,1991,Potato,Maize,0.34
bangladesh,1992,Potato,Maize,0.34
bangladesh,1993,Potato,Maize,0.34
bangladesh,1994,Potato,Maize,0.34
bangladesh,1995,Potato,Maize,0.34
bangladesh,1996,Potato,Maize,0.34
bangladesh,1997,Potato,Maize,0.34
bangladesh,1998,Potato,Maize,0.34
bangladesh,1999,Potato,Maize,0.34
bangladesh,2000,Potato,Maize,0.34
bangladesh,2001,Potato,Maize,0.34
bangladesh,2002,Potato,Maize,0.34
bangladesh,2003,Potato,Maize,0.34
bangladesh,2004,Potato,Maize,0.34
bangladesh,2005,Potato,Maize,0.34
bangladesh,2006,Potato,Maize,0.34
bangladesh,2007,Potato,Maize,0.34
bangladesh,2008,Potato,Maize,0.34
bangladesh,2009,Potato,Maize,0.34
bangladesh,2010,Potato,Maize,0.34
bangladesh,2011,Potato,Maize,0.34
bangladesh,2012,Potato,Maize,0.34
bangladesh,2013,Potato,Maize,0.34
barbados,1990,Maize,Maize,0.74
barbados,1991,Maize,Maize,0.74
barbados,1992,Maize,Maize,0.74
barbados,1993,Maize,Maize,0.74
barbados,1994,Maize,Maize,0.74
barbados,1995,Maize,Maize,0.74
barbados,1996,Maize,Maize,0.74
barbados,1997,Maize,Maize,0.74
barbados,1998,Maize,Maize,0.74
barbados,1999,Maize,Maize,0.74
barbados,2000,Maize,Maize,0.74
barbados,2001,Maize,Maize,0.74
barbados,2002,Maize,Maize,0.74
barbados,2003,Maize,Maize,0.74
barbados,2004,Maize,Maize,0.74
barbados,2005,Maize,Maize,0.74
barbados,2006,Maize,Maize,0.74
barbados,2007,Maize,Maize,0.74
barbados,2008,Maize,Maize,0.74
barbados,2009,Maize,Maize,0.74
barbados,2010,Maize,Maize,0.74
barbados,2011,Maize,Maize,0.74
barbados,2012,Maize,Maize,0.74
barbados,2013,Maize,Maize,0.74
belarus,1992,Potato,Barley,0.28
belarus,1993,Potato,Barley,0.28
belarus,1994,Potato,Barley,0.28
belarus,1995,Potato,Barley,0.28
belarus,1996,Potato,Barley,0.28
belarus,1997,Potato,Barley,0.28
belarus,1998,Potato,Barley,0.28
belarus,1999,Potato,Barley,0.28
belarus,2000,Potato,Barley,0.28
belarus,2001,Potato,Barley,0.28
belarus,2002,Potato,Barley,0.28
belarus,2003,Potato,Barley,0.28
belarus,2004,Potato,Barley,0.28
belarus,2005,Potato,Barley,0.28
belarus,2006,Potato,Barley,0.28
belarus,2007,Potato,Barley,0.28
belarus,2008,Potato,Barley,0.28
belarus,2009,Potato,Barley,0.28
belarus,2010,Potato,Barley,0.28
belarus,2011,Potato,Barley,0.28
belarus,2012,Potato,Barley,0.28
belarus,2013,Potato,Barley,0.28
belgium,2000,Potato,Barley,0.28
belgium,2001,Potato,Barley,0.28
belgium,2002,Potato,Barley,0.28
belgium,2003,Potato,Barley,0.28
belgium,2004,Potato,Barley,0.28
belgium,2005,Potato,Barley,0.28
belgium,2006,Potato,Barley,0.28
belgium,2007,Potato,Barley,0.28
belgium,2008,Potato,Barley,0.28
belgium,2009,Potato,Barley,0.28
belgium,2010,Potato,Barley,0.28
belgium,2011,Potato,Barley,0.28
belgium,2012,Potato,Barley,0.28
belgium,2013,Potato,Barley,0.28
belize,1990,Potato,Maize,0.34
belize,1991,Potato,Maize,0.34
belize,1992,Potato,Maize,0.34
belize,1993,Potato,Maize,0.34
belize,1994,Potato,Maize,0.34
belize,1995,Potato,Maize,0.34
belize,1996,Potato,Maize,0.34
belize,1997,Potato,Maize,0.34
belize,1998,Potato,Maize,0.34
belize,1999,Potato,Maize,0.34
belize,2000,Potato,Maize,0.34
belize,2001,Potato,Maize,0.34
belize,2002,Potato,Maize,0.34
belize,2003,Potato,Maize,0.34
belize,2004,Potato,Maize,0.34
belize,2005,Potato,Maize,0.34
belize,2006,Potato,Maize,0.34
belize,2007,Potato,Maize,0.34
belize,2008,Potato,Maize,0.34
belize,2009,Potato,Maize,0.34
belize,2010,Potato,Maize,0.34
belize,2011,Potato,Maize,0.34
belize,2012,Potato,Maize,0.34
belize,2013,Potato,Maize,0.34
benin,1990,Maize,Maize,0.74
benin,1991,Maize,Maize,0.74
benin,1992,Maize,Maize,0.74
benin,1993,Maize,Maize,0.74
benin,1994,Maize,Maize,0.74
benin,1995,Potato,Maize,0.34
benin,1996,Potato,Maize,0.34
benin,1997,Potato,Maize,0.34
benin,1998,Potato,Maize,0.34
benin,1999,Potato,Maize,0.34
benin,2000,Potato,Maize,0.34
benin,2001,Potato,Maize,0.34
benin,2002,Potato,Maize,0.34
benin,2003,Potato,Maize,0.34
benin,2004,Potato,Maize,0.34
benin,2005,Maize,Maize,0.74
benin,2006,Potato,Maize,0.34
benin,2007,Potato,Maize,0.34
benin,2008,Maize,Maize,0.74
benin,2009,Potato,Maize,0.34
benin,2010,Potato,Maize,0.34
benin,2011,Potato,Maize,0.34
benin,2012,Potato,Maize,0.34
benin,2013,Potato,Maize,0.34
bermuda,1990,Potato,Maize,0.34
bermuda,1991,Potato,Maize,0.34
bermuda,1992,Potato,Maize,0.34
bermuda,1993,Potato,Maize,0.34
bermuda,1994,Potato,Maize,0.34
bermuda,1995,Potato,Maize,0.34
bermuda,1996,Potato,Maize,0.34
bermuda,1997,Potato,Maize,0.34
bermuda,1998,Potato,Maize,0.34
bermuda,1999,Potato,Maize,0.34
bermuda,2000,Potato,Maize,0.34
bermuda,2001,Potato,Maize,0.34
bermuda,2002,Potato,Maize,0.34
bermuda,2003,Potato,Maize,0.34
bermuda,2004,Potato,Maize,0.34
bermuda,2005,Potato,Maize,0.34
bermuda,2006,Potato,Maize,0.34
bermuda,2007,Potato,Maize,0.34
bermuda,2008,Potato,Maize,0.34
bermuda,2009,Potato,Maize,0.34
bermuda,2010,Potato,Maize,0.34
bermuda,2011,Potato,Maize,0.34
bermuda,2012,Potato,Maize,0.34
bermuda,2013,Potato,Maize,0.34
bhutan,1990,Potato,Maize,0.34
bhutan,1991,Potato,Maize,0.34
bhutan,1992,Potato,Maize,0.34
bhutan,1993,Potato,Maize,0.34
bhutan,1994,Potato,Maize,0.34
bhutan,1995,Potato,Maize,0.34
bhutan,1996,Potato,Maize,0.34
bhutan,1997,Potato,Maize,0.34
bhutan,1998,Potato,Maize,0.34
bhutan,1999,Potato,Maize,0.34
bhutan,2000,Potato,Maize,0.34
bhutan,2001,Potato,Maize,0.34
bhutan,2002,Potato,Maize,0.34
bhutan,2003,Potato,Maize,0.34
bhutan,2004,Potato,Maize,0.34
bhutan,2005,Potato,Maize,0.34
bhutan,2006,Potato,Maize,0.34
bhutan,2007,Potato,Maize,0.34
bhutan,2008,Potato,Maize,0.34
bhutan,2009,Potato,Maize,0.34
bhutan,2010,Potato,Maize,0.34
bhutan,2011,Potato,Maize,0.34
bhutan,2012,Potato,Maize,0.34
bhutan,2013,Potato,Maize,0.34
bolivia,1990,Potato,Barley,0.28
bolivia,1991,Potato,Barley,0.28
bolivia,1992,Potato,Barley,0.28
bolivia,1993,Potato,Barley,0.28
bolivia,1994,Potato,Barley,0.28
bolivia,1995,Potato,Barley,0.28
bolivia,1996,Potato,Barley,0.28
bolivia,1997,Potato,Barley,0.28
bolivia,1998,Potato,Barley,0.28
bolivia,1999,Potato,Barley,0.28
bolivia,2000,Potato,Barley,0.28
bolivia,2001,Potato,Barley,0.28
bolivia,2002,Potato,Barley,0.28
bolivia,2003,Potato,Barley,0.28
bolivia,2004,Potato,Barley,0.28
bolivia,2005,Potato,Barley,0.28
bolivia,2006,Potato,Barley,0.28
bolivia,2007,Potato,Barley,0.28
bolivia,2008,Potato,Barley,0.28
bolivia,2009,Potato,Barley,0.28
