metric,value
R2_score,0.6306653208798532
PC6,-22063.666438925786
income_1. High income: OECD,20802.03525094581
PC3,-20429.561858490037
PC1,16079.992356478124
PC8,13193.84089380422
PC7,-7079.092863825292
income_2. High income: nonOECD,5827.910525308738
PC5,-5377.200438208574
PC2,5033.040980849551
income_5. Low income,-4209.166094975593
PC4,-3703.4030039805425
income_4. Lower middle income,-3028.2435937611976
avg_temp,-2776.937084516923
income_3. Upper middle income,2241.2312303441863
gdp,1925.1016502712373
temp_range,-880.0291168496728
avg_rainfall,-689.4309281738356
rainfall_range,0.0
pesticide_use,0.0
