,precision,recall,f1-score,support
Barley,0.4578313253012048,0.37623762376237624,0.41304347826086957,101.0
Bean,0.25,0.0784313725490196,0.11940298507462686,51.0
Dagussa,0.14285714285714285,0.07142857142857142,0.09523809523809523,14.0
Fallow,0.0,0.0,0.0,5.0
Maize,0.510989010989011,0.636986301369863,0.5670731707317073,146.0
Niger seed,0.0,0.0,0.0,13.0
Pea,0.6666666666666666,0.21052631578947367,0.32,19.0
Potato,0.16666666666666666,0.1,0.125,10.0
Red Pepper,0.0,0.0,0.0,6.0
Sorghum,0.0,0.0,0.0,14.0
Teff,0.5512048192771084,0.7261904761904762,0.6267123287671232,252.0
Wheat,0.43795620437956206,0.4195804195804196,0.42857142857142855,143.0
macro avg,0.26534765301144686,0.21828175672251662,0.2245867905536542,774.0
weighted avg,0.45408274480266053,0.49612403100775193,0.46315268855083425,774.0
accuracy,0.49612403100775193,0.49612403100775193,0.49612403100775193,774.0
micro avg,0.49612403100775193,0.49612403100775193,0.49612403100775193,774.0
