,Barley,Bean,Dagussa,Fallow,Maize,Niger seed,Pea,Potato,Red Pepper,Sorghum,Teff,Wheat
Barley,0.37623762376237624,0.009900990099009901,0.0,0.0,0.0891089108910891,0.0,0.0,0.0297029702970297,0.0,0.0,0.19801980198019803,0.297029702970297
Bean,0.17647058823529413,0.0784313725490196,0.0,0.0196078431372549,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.45098039215686275,0.1568627450980392
Dagussa,0.0,0.0,0.07142857142857142,0.0,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142
Fallow,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Maize,0.00684931506849315,0.00684931506849315,0.03424657534246575,0.0,0.636986301369863,0.00684931506849315,0.0,0.0,0.00684931506849315,0.0,0.2328767123287671,0.0684931506849315
Niger seed,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.23076923076923078
Pea,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.7368421052631579,0.05263157894736842
Potato,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.2
Red Pepper,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666
Sorghum,0.0,0.07142857142857142,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.5,0.07142857142857142
Teff,0.01984126984126984,0.015873015873015872,0.003968253968253968,0.0,0.1388888888888889,0.0,0.007936507936507936,0.007936507936507936,0.0,0.003968253968253968,0.7261904761904762,0.07539682539682539
Wheat,0.17482517482517482,0.027972027972027972,0.0,0.0,0.11888111888111888,0.0,0.0,0.0,0.0,0.0,0.25874125874125875,0.4195804195804196
