Area,Year,Item_clean,Value,avg_temp,average_rain_fall_mm_per_year
Afghanistan,1985,Potato,140909,15.52,327.0
Afghanistan,1986,Potato,158667,14.71,327.0
Afghanistan,1987,Potato,155000,15.46,327.0
Afghanistan,1989,Potato,152632,14.46,327.0
Afghanistan,1990,Potato,168421,15.45,327.0
Afghanistan,1991,Potato,166418,14.57,327.0
Afghanistan,1992,Potato,166667,14.35,327.0
Afghanistan,1993,Potato,166912,14.96,327.0
Afghanistan,1994,Potato,165942,14.94,327.0
Afghanistan,1995,Potato,166187,15.04,327.0
Afghanistan,1996,Potato,166429,14.87,327.0
Afghanistan,1997,Potato,167857,14.77,327.0
Afghanistan,1998,Potato,167857,15.14,327.0
Afghanistan,1999,Potato,167857,15.89,327.0
Afghanistan,2000,Potato,167857,15.82,327.0
Afghanistan,2001,Potato,167857,15.85,327.0
Afghanistan,2002,Potato,164286,15.71,327.0
Afghanistan,2004,Potato,176471,16.13,327.0
Afghanistan,2005,Potato,150000,14.85,327.0
Afghanistan,2006,Potato,150000,15.8,327.0
Afghanistan,2007,Potato,150400,15.52,327.0
Afghanistan,2008,Potato,140000,15.48,327.0
Afghanistan,2009,Potato,140000,15.09,327.0
Afghanistan,2010,Potato,120000,15.68,327.0
Afghanistan,2011,Potato,100000,15.81,327.0
Afghanistan,2012,Potato,109524,14.51,327.0
Afghanistan,2013,Potato,131960,16.21,327.0
Albania,1985,Potato,56667,15.91,1485.0
Albania,1986,Potato,78571,16.07,1485.0
Albania,1987,Potato,63571,15.93,1485.0
Albania,1989,Potato,107778,15.7,1485.0
Albania,1990,Potato,66667,16.37,1485.0
Albania,1991,Potato,77818,15.36,1485.0
Albania,1992,Potato,82920,16.06,1485.0
Albania,1993,Potato,98446,16.05,1485.0
Albania,1994,Potato,81404,16.96,1485.0
Albania,1995,Potato,111323,15.67,1485.0
Albania,1996,Potato,106138,15.64,1485.0
Albania,1997,Potato,109874,15.9,1485.0
Albania,1998,Potato,127212,16.27,1485.0
Albania,1999,Potato,142018,16.57,1485.0
Albania,2000,Potato,141228,16.67,1485.0
Albania,2001,Potato,148818,16.59,1485.0
Albania,2002,Potato,153868,16.47,1485.0
Albania,2004,Potato,149346,16.16,1485.0
Albania,2005,Potato,167061,15.67,1485.0
Albania,2006,Potato,170745,15.92,1485.0
Albania,2007,Potato,188902,16.67,1485.0
Albania,2008,Potato,193878,16.71,1485.0
Albania,2009,Potato,219780,16.73,1485.0
Albania,2010,Potato,231111,16.52,1485.0
Albania,2011,Potato,242211,16.45,1485.0
Albania,2012,Potato,250538,16.7,1485.0
Albania,2013,Potato,260110,17.41,1485.0
Algeria,1985,Potato,83576,16.99,89.0
Algeria,1986,Potato,83971,16.82,89.0
Algeria,1987,Potato,84197,17.59,89.0
Algeria,1989,Potato,96166,17.55,89.0
Algeria,1990,Potato,78936,17.48,89.0
Algeria,1991,Potato,90747,16.26,89.0
Algeria,1992,Potato,107917,16.27,89.0
Algeria,1993,Potato,111215,17.0,89.0
Algeria,1994,Potato,95078,17.88,89.0
Algeria,1995,Potato,136768,17.36,89.0
Algeria,1996,Potato,134629,16.76,89.0
Algeria,1997,Potato,141042,17.84,89.0
Algeria,1998,Potato,160256,17.14,89.0
Algeria,1999,Potato,153532,17.97,89.0
Algeria,2000,Potato,166143,17.9,89.0
Algeria,2001,Potato,147018,18.13,89.0
Algeria,2002,Potato,183774,17.85,89.0
Algeria,2004,Potato,203585,17.38,89.0
Algeria,2005,Potato,216267,17.19,89.0
Algeria,2006,Potato,220689,18.13,89.0
Algeria,2007,Potato,189927,17.42,89.0
Algeria,2008,Potato,236393,17.55,89.0
Algeria,2009,Potato,250764,17.78,89.0
Algeria,2010,Potato,270526,17.59,89.0
Algeria,2011,Potato,292806,17.79,89.0
Algeria,2012,Potato,304291,17.91,89.0
Algeria,2013,Potato,303218,17.65,89.0
Angola,1985,Potato,72727,23.94,1010.0
Angola,1986,Potato,72727,23.95,1010.0
Angola,1987,Potato,72727,24.49,1010.0
Angola,1989,Potato,40000,23.99,1010.0
Angola,1990,Potato,40000,24.12,1010.0
Angola,1991,Potato,40000,24.02,1010.0
Angola,1992,Potato,40000,23.96,1010.0
Angola,1993,Potato,70000,24.15,1010.0
Angola,1994,Potato,90000,24.04,1010.0
Angola,1995,Potato,76738,24.56,1010.0
Angola,1996,Potato,70000,24.11,1010.0
Angola,1997,Potato,68571,24.06,1010.0
Angola,1998,Potato,62724,24.96,1010.0
Angola,1999,Potato,54597,24.37,1010.0
Angola,2000,Potato,29885,24.41,1010.0
Angola,2001,Potato,42552,24.43,1010.0
Angola,2002,Potato,42754,24.79,1010.0
Angola,2004,Potato,20150,24.22,1010.0
Angola,2005,Potato,23646,24.41,1010.0
Angola,2006,Potato,52148,24.14,1010.0
Angola,2007,Potato,62138,24.24,1010.0
Angola,2008,Potato,85085,24.27,1010.0
Angola,2009,Potato,86509,24.33,1010.0
Angola,2010,Potato,87425,24.44,1010.0
Angola,2011,Potato,81366,24.15,1010.0
Angola,2012,Potato,69381,24.24,1010.0
Angola,2013,Potato,63303,24.55,1010.0
Argentina,1985,Potato,211124,17.53,591.0
Argentina,1986,Potato,188418,18.0,591.0
Argentina,1987,Potato,199960,17.32,591.0
