Country,Year,Corn Production,Average Temperature,Pesticide Usage,Corn Price (USD),Price Volatility,Year-on-Year Production Change
Cameroon,2012,17152,25.18,1372.47,10762.438333333334,11476.701965443825,-3088.0
Colombia,2001,20755,27.28,85515.3,525.3052777777777,40.41763883751947,-309.0
Colombia,2004,26357,27.3,105514.19,601.6819444444444,61.385779654059924,-161.0
Colombia,2006,25368,27.51,98328.63,658.7666666666667,69.89186995607555,-2169.0
Colombia,2009,26845,27.68,51435.13,867.90625,119.28877559548346,-867.0
Colombia,2013,28246,27.6,54563.38,1103.5474576271188,401.0655934875989,-806.0
Dominican Republic,2011,16229,26.79,6316.61,388.2966666666667,387.53538407950555,-589.0
Dominican Republic,2012,15675,26.87,6316.61,421.7675,428.3288834462971,-554.0
Honduras,2008,16885,24.25,5130.42,393.3378468085106,197.04573508331598,-37.0
Honduras,2010,16504,24.49,5736.63,357.10469166666667,186.64861253539368,-999.0
Honduras,2012,15795,24.47,7194.91,417.33328125,220.73386421595467,-798.0
