country,year,recommended_crop,produced_crop,pesticide_value,temp_range
Algeria,2008,Teff,Potatoes,11556.12,17.368402779583334
Algeria,2011,Teff,Potatoes,13861.76,17.368402779583334
Algeria,2012,Teff,Potatoes,17379.76,17.368402779583334
Algeria,2013,Teff,Potatoes,17278.65,17.368402779583334
Algeria,2014,Teff,Potatoes,14258.22,17.368402779583334
Algeria,2015,Teff,Potatoes,14258.22,17.368402779583334
Algeria,2016,Teff,Potatoes,14258.22,17.368402779583334
Argentina,1990,Teff,Potatoes,26156.0,17.368402779583334
Argentina,1991,Teff,Potatoes,26156.0,17.368402779583334
Argentina,1992,Teff,Potatoes,26156.0,17.368402779583334
Argentina,1993,Teff,Potatoes,26156.0,17.368402779583334
Argentina,1994,Teff,Potatoes,30195.0,17.368402779583334
Argentina,1995,Teff,Potatoes,37842.0,17.368402779583334
Argentina,1996,Teff,Potatoes,54595.0,17.368402779583334
Argentina,1997,Teff,Potatoes,77691.0,17.368402779583334
Argentina,1998,Teff,Potatoes,62397.0,17.368402779583334
Argentina,1999,Teff,Potatoes,62831.39,17.368402779583334
Argentina,2000,Teff,Potatoes,63265.78,17.368402779583334
Argentina,2001,Teff,Potatoes,63700.17,17.368402779583334
Argentina,2002,Teff,Potatoes,64134.56,17.368402779583334
Argentina,2003,Teff,Potatoes,64568.95,17.368402779583334
Argentina,2004,Teff,Potatoes,65003.34,17.368402779583334
Argentina,2005,Teff,Potatoes,65437.73,17.368402779583334
Argentina,2006,Teff,Potatoes,65872.12,17.368402779583334
Argentina,2007,Teff,Potatoes,81582.64,17.368402779583334
Argentina,2008,Teff,Potatoes,87149.01,17.368402779583334
Argentina,2009,Teff,Potatoes,61586.56,17.368402779583334
Argentina,2010,Teff,Potatoes,105915.04,17.368402779583334
Argentina,2011,Teff,Potatoes,100424.62,17.368402779583334
Argentina,2012,Teff,Potatoes,136185.08,17.368402779583334
Argentina,2013,Teff,Potatoes,171945.54,17.368402779583334
Argentina,2014,Teff,Potatoes,207706.0,17.368402779583334
Argentina,2015,Teff,Potatoes,207706.0,17.368402779583334
Argentina,2016,Teff,Potatoes,207706.0,17.368402779583334
Australia,1990,Teff,Potatoes,17866.0,17.368402779583334
Australia,1991,Teff,Potatoes,17866.0,17.368402779583334
Australia,1992,Teff,Potatoes,22234.0,17.368402779583334
Australia,1993,Teff,Potatoes,23899.0,17.368402779583334
Australia,1994,Teff,Potatoes,21057.0,17.368402779583334
Australia,1995,Teff,Potatoes,25598.0,17.368402779583334
Australia,1996,Teff,Potatoes,31185.0,17.368402779583334
Australia,1997,Teff,Potatoes,34091.0,17.368402779583334
Australia,1998,Teff,Potatoes,37215.0,17.368402779583334
Australia,1999,Teff,Potatoes,34200.0,17.368402779583334
Australia,2000,Teff,Sweet potatoes,33475.0,18.0271881739625
Australia,2001,Teff,Sweet potatoes,32710.0,18.0271881739625
Australia,2002,Teff,Potatoes,26651.0,17.368402779583334
Australia,2003,Teff,Potatoes,32418.0,17.368402779583334
Australia,2004,Teff,Potatoes,36276.0,17.368402779583334
Australia,2005,Teff,Potatoes,34310.0,17.368402779583334
Australia,2006,Teff,Potatoes,35900.0,17.368402779583334
Australia,2007,Teff,Potatoes,32446.25,17.368402779583334
Australia,2008,Teff,Potatoes,42935.38,17.368402779583334
Australia,2009,Teff,Potatoes,38065.68,17.368402779583334
Australia,2010,Teff,Potatoes,42169.39,17.368402779583334
Australia,2011,Teff,Potatoes,47632.99,17.368402779583334
Australia,2012,Teff,Potatoes,48687.88,17.368402779583334
Australia,2013,Teff,Potatoes,45177.18,17.368402779583334
Australia,2014,Teff,Potatoes,49857.36,17.368402779583334
Australia,2015,Teff,Potatoes,50921.6,17.368402779583334
Australia,2016,Teff,Potatoes,50921.6,17.368402779583334
Bangladesh,2006,Teff,Potatoes,9074.43,17.368402779583334
Bangladesh,2007,Teff,Potatoes,10962.31,17.368402779583334
Bangladesh,2008,Teff,Potatoes,12936.5,17.368402779583334
Bangladesh,2009,Teff,Potatoes,13790.09,17.368402779583334
Bangladesh,2010,Teff,Potatoes,13283.72,17.368402779583334
Bangladesh,2011,Teff,Potatoes,14798.28,17.368402779583334
Bangladesh,2012,Teff,Potatoes,13289.18,17.368402779583334
Bangladesh,2013,Teff,Potatoes,15330.16,17.368402779583334
Bangladesh,2014,Teff,Potatoes,15857.26,17.368402779583334
Bangladesh,2015,Teff,Potatoes,13364.42,17.368402779583334
Bangladesh,2016,Teff,Potatoes,14387.63,17.368402779583334
Belarus,1992,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1993,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1994,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1995,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1996,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1997,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1998,Teff,Potatoes,8306.31,17.368402779583334
Belarus,1999,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2000,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2001,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2002,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2003,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2004,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2005,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2006,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2007,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2008,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2009,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2010,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2011,Teff,Potatoes,8306.31,17.368402779583334
Belarus,2012,Teff,Potatoes,9578.67,17.368402779583334
Belarus,2013,Teff,Potatoes,9163.51,17.368402779583334
Belarus,2014,Teff,Potatoes,8154.96,17.368402779583334
Belgium,2000,Teff,Potatoes,9560.49,17.368402779583334
Belgium,2001,Teff,Potatoes,8529.07,17.368402779583334
Belgium,2002,Teff,Potatoes,9204.0,17.368402779583334
Belgium,2003,Teff,Potatoes,8822.0,17.368402779583334
Belgium,2004,Teff,Potatoes,9186.0,17.368402779583334
Belgium,2005,Teff,Potatoes,9776.0,17.368402779583334
Belgium,2006,Teff,Potatoes,8244.02,17.368402779583334
Belgium-Luxembourg,1990,Teff,Potatoes,9074.21,17.368402779583334
Belgium-Luxembourg,1991,Teff,Potatoes,9074.21,17.368402779583334
Belgium-Luxembourg,1992,Teff,Potatoes,9074.21,17.368402779583334
Belgium-Luxembourg,1993,Teff,Potatoes,9074.21,17.368402779583334
Belgium-Luxembourg,1994,Teff,Potatoes,8449.91,17.368402779583334
Belgium-Luxembourg,1995,Teff,Potatoes,9007.08,17.368402779583334
Belgium-Luxembourg,1996,Teff,Potatoes,8742.92,17.368402779583334
Belgium-Luxembourg,1997,Teff,Potatoes,8306.6,17.368402779583334
Belgium-Luxembourg,1998,Teff,Potatoes,9095.89,17.368402779583334
Belgium-Luxembourg,1999,Teff,Potatoes,8829.62,17.368402779583334
Bolivia (Plurinational State of),2003,Teff,Plantains and others,8480.91,18.0271881739625
Bolivia (Plurinational State of),2004,Teff,Plantains and others,11189.49,18.0271881739625
Bolivia (Plurinational State of),2005,Teff,Plantains and others,12459.81,18.0271881739625
Bolivia (Plurinational State of),2006,Teff,Plantains and others,13224.77,18.0271881739625
Bolivia (Plurinational State of),2007,Teff,Plantains and others,14695.44,18.0271881739625
Bolivia (Plurinational State of),2008,Teff,Plantains and others,15203.65,18.0271881739625
Bolivia (Plurinational State of),2009,Teff,Plantains and others,17921.81,18.0271881739625
Bolivia (Plurinational State of),2010,Teff,Plantains and others,19611.14,18.0271881739625
Bolivia (Plurinational State of),2011,Teff,Plantains and others,21144.2,18.0271881739625
Bolivia (Plurinational State of),2012,Teff,Plantains and others,24075.02,18.0271881739625
Bolivia (Plurinational State of),2013,Teff,Plantains and others,28999.99,18.0271881739625
Bolivia (Plurinational State of),2014,Teff,Plantains and others,26581.05,18.0271881739625
Bolivia (Plurinational State of),2015,Teff,Plantains and others,25278.54,18.0271881739625
Bolivia (Plurinational State of),2016,Teff,Plantains and others,25872.29,18.0271881739625
Brazil,1990,Teff,Potatoes,49695.0,17.368402779583334
Brazil,1991,Teff,Potatoes,58349.44,17.368402779583334
Brazil,1992,Teff,Potatoes,67003.89,17.368402779583334
Brazil,1993,Teff,Potatoes,75658.33,17.368402779583334
Brazil,1994,Teff,Potatoes,84312.78,17.368402779583334
Brazil,1995,Teff,Potatoes,92967.22,17.368402779583334
Brazil,1996,Teff,Potatoes,101621.67,17.368402779583334
Brazil,1997,Teff,Potatoes,110276.11,17.368402779583334
Brazil,1998,Teff,Potatoes,118930.56,17.368402779583334
Brazil,1999,Teff,Potatoes,127585.0,17.368402779583334
Brazil,2000,Teff,Potatoes,140423.0,17.368402779583334
Brazil,2001,Teff,Potatoes,151523.0,17.368402779583334
Brazil,2002,Teff,Potatoes,145552.0,17.368402779583334
Brazil,2003,Teff,Potatoes,182446.0,17.368402779583334
Brazil,2004,Teff,Potatoes,214725.0,17.368402779583334
Brazil,2005,Teff,Potatoes,232232.0,17.368402779583334
Brazil,2006,Teff,Potatoes,238716.0,17.368402779583334
Brazil,2007,Teff,Potatoes,304031.0,17.368402779583334
Brazil,2008,Teff,Potatoes,312637.0,17.368402779583334
Brazil,2009,Teff,Potatoes,335742.0,17.368402779583334
Brazil,2010,Teff,Potatoes,342580.0,17.368402779583334
Brazil,2011,Teff,Potatoes,345026.0,17.368402779583334
Brazil,2012,Teff,Potatoes,346583.0,17.368402779583334
Brazil,2013,Teff,Potatoes,367778.0,17.368402779583334
Brazil,2014,Teff,Potatoes,352336.0,17.368402779583334
Brazil,2015,Teff,Potatoes,395646.0,17.368402779583334
Brazil,2016,Teff,Potatoes,377176.0,17.368402779583334
Canada,1990,Teff,Potatoes,29568.0,17.368402779583334
Canada,1991,Teff,Potatoes,29477.5,17.368402779583334
Canada,1992,Teff,Potatoes,29387.0,17.368402779583334
Canada,1993,Teff,Potatoes,29296.5,17.368402779583334
Canada,1994,Teff,Potatoes,29206.0,17.368402779583334
Canada,1995,Teff,Potatoes,32223.4,17.368402779583334
Canada,1996,Teff,Potatoes,35240.8,17.368402779583334
Canada,1997,Teff,Potatoes,38258.2,17.368402779583334
Canada,1998,Teff,Potatoes,41275.6,17.368402779583334
Canada,1999,Teff,Potatoes,44293.0,17.368402779583334
Canada,2000,Teff,Potatoes,39667.0,17.368402779583334
Canada,2001,Teff,Potatoes,38456.0,17.368402779583334
Canada,2002,Teff,Potatoes,34226.0,17.368402779583334
Canada,2003,Teff,Potatoes,35596.0,17.368402779583334
Canada,2004,Teff,Potatoes,36138.0,17.368402779583334
Canada,2005,Teff,Potatoes,36363.0,17.368402779583334
Canada,2006,Teff,Potatoes,36572.75,17.368402779583334
Canada,2007,Teff,Potatoes,45140.03,17.368402779583334
Canada,2008,Teff,Potatoes,53707.3,17.368402779583334
Canada,2009,Teff,Potatoes,54529.4,17.368402779583334
Canada,2010,Teff,Potatoes,61050.0,17.368402779583334
Canada,2011,Teff,Potatoes,62107.2,17.368402779583334
Canada,2012,Teff,Potatoes,73508.9,17.368402779583334
Canada,2013,Teff,Potatoes,81659.8,17.368402779583334
Canada,2014,Teff,Potatoes,76314.0,17.368402779583334
Canada,2015,Teff,Potatoes,75318.3,17.368402779583334
Canada,2016,Teff,Potatoes,75318.3,17.368402779583334
Chile,1990,Teff,Potatoes,15373.0,17.368402779583334
Chile,1991,Teff,Potatoes,15373.0,17.368402779583334
Chile,1992,Teff,Potatoes,15373.0,17.368402779583334
Chile,1993,Teff,Potatoes,15373.0,17.368402779583334
Chile,1994,Teff,Potatoes,15373.0,17.368402779583334
Chile,1995,Teff,Potatoes,15373.0,17.368402779583334
Chile,1996,Teff,Potatoes,15373.0,17.368402779583334
Chile,1997,Teff,Potatoes,15373.0,17.368402779583334
Chile,1998,Teff,Potatoes,15373.0,17.368402779583334
Chile,1999,Teff,Potatoes,15373.0,17.368402779583334
Chile,2000,Teff,Potatoes,14264.54,17.368402779583334
Chile,2001,Teff,Potatoes,13156.09,17.368402779583334
Chile,2002,Teff,Potatoes,12047.63,17.368402779583334
Chile,2003,Teff,Potatoes,10939.18,17.368402779583334
Chile,2004,Teff,Potatoes,9830.72,17.368402779583334
Chile,2005,Teff,Potatoes,9830.72,17.368402779583334
Chile,2006,Teff,Potatoes,9830.72,17.368402779583334
Chile,2007,Teff,Potatoes,9830.72,17.368402779583334
Chile,2008,Teff,Potatoes,9830.72,17.368402779583334
Chile,2009,Teff,Potatoes,9830.72,17.368402779583334
Chile,2010,Teff,Potatoes,9830.72,17.368402779583334
Chile,2011,Teff,Potatoes,9830.72,17.368402779583334
Chile,2012,Teff,Potatoes,9830.72,17.368402779583334
Chile,2013,Teff,Potatoes,9830.72,17.368402779583334
Chile,2014,Teff,Potatoes,9830.72,17.368402779583334
Chile,2015,Teff,Potatoes,9830.72,17.368402779583334
Chile,2016,Teff,Potatoes,9830.72,17.368402779583334
"China, Taiwan Province of",1990,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1991,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1992,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1993,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1994,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1995,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1996,Teff,Potatoes,9954.0,17.368402779583334
"China, Taiwan Province of",1997,Teff,Potatoes,9364.0,17.368402779583334
"China, Taiwan Province of",1998,Teff,Potatoes,8931.0,17.368402779583334
"China, Taiwan Province of",1999,Teff,Sweet potatoes,11441.0,18.0271881739625
"China, Taiwan Province of",2000,Teff,Potatoes,9007.0,17.368402779583334
"China, Taiwan Province of",2001,Teff,Sweet potatoes,8476.0,18.0271881739625
"China, Taiwan Province of",2002,Teff,Potatoes,10547.0,17.368402779583334
"China, Taiwan Province of",2003,Teff,Potatoes,10143.0,17.368402779583334
"China, Taiwan Province of",2004,Teff,Potatoes,9703.0,17.368402779583334
"China, Taiwan Province of",2005,Teff,Potatoes,9228.0,17.368402779583334
"China, Taiwan Province of",2006,Teff,Potatoes,9014.0,17.368402779583334
"China, Taiwan Province of",2007,Teff,Potatoes,9492.0,17.368402779583334
"China, Taiwan Province of",2008,Teff,Potatoes,8780.0,17.368402779583334
"China, Taiwan Province of",2009,Teff,Potatoes,8589.0,17.368402779583334
"China, Taiwan Province of",2011,Teff,Potatoes,8254.0,17.368402779583334
"China, Taiwan Province of",2012,Teff,Potatoes,9396.0,17.368402779583334
"China, Taiwan Province of",2013,Teff,Cassava,9632.0,18.0271881739625
