Area,Year,forecasted_mismatch_count,is_forecast
Algeria,2017,1.0,True
Algeria,2018,1.0,True
Algeria,2019,1.0,True
Argentina,2017,1.0,True
Argentina,2018,1.0,True
Argentina,2019,1.0,True
Australia,2017,1.0,True
Australia,2018,1.0,True
Australia,2019,1.0,True
Bangladesh,2017,1.0,True
Bangladesh,2018,1.0,True
Bangladesh,2019,1.0,True
Belarus,2015,1.0,True
Belarus,2016,1.0,True
Belarus,2017,1.0,True
Belgium,2007,1.0,True
Belgium,2008,1.0,True
Belgium,2009,1.0,True
Belgium-Luxembourg,2000,1.0,True
Belgium-Luxembourg,2001,1.0,True
Belgium-Luxembourg,2002,1.0,True
Bolivia (Plurinational State of),2017,1.0,True
Bolivia (Plurinational State of),2018,1.0,True
Bolivia (Plurinational State of),2019,1.0,True
Brazil,2017,1.0,True
Brazil,2018,1.0,True
Brazil,2019,1.0,True
Canada,2017,1.0,True
Canada,2018,1.0,True
Canada,2019,1.0,True
Chile,2017,1.0,True
Chile,2018,1.0,True
Chile,2019,1.0,True
"China, Taiwan Province of",2017,1.0,True
"China, Taiwan Province of",2018,1.0,True
"China, Taiwan Province of",2019,1.0,True
"China, mainland",2017,1.0,True
"China, mainland",2018,1.0,True
"China, mainland",2019,1.0,True
Colombia,2017,1.0,True
Colombia,2018,1.0,True
Colombia,2019,1.0,True
Costa Rica,2017,1.0,True
Costa Rica,2018,1.0,True
Costa Rica,2019,1.0,True
Ecuador,2017,1.0,True
Ecuador,2018,1.0,True
Ecuador,2019,1.0,True
Egypt,2017,1.0,True
Egypt,2018,1.0,True
Egypt,2019,1.0,True
France,2017,1.0,True
France,2018,1.0,True
France,2019,1.0,True
Germany,2017,1.0,True
Germany,2018,1.0,True
Germany,2019,1.0,True
Greece,2017,1.0,True
Greece,2018,1.0,True
Greece,2019,1.0,True
Guatemala,2017,1.0,True
Guatemala,2018,1.0,True
Guatemala,2019,1.0,True
Hungary,2017,1.0,True
Hungary,2018,1.0,True
Hungary,2019,1.0,True
India,2017,1.0,True
India,2018,1.0,True
India,2019,1.0,True
Iran (Islamic Republic of),2005,1.0,True
Iran (Islamic Republic of),2006,1.0,True
Iran (Islamic Republic of),2007,1.0,True
Italy,2017,1.0,True
Italy,2018,1.0,True
Italy,2019,1.0,True
Japan,2017,1.0,True
Japan,2018,1.0,True
Japan,2019,1.0,True
Kazakhstan,2017,1.0,True
Kazakhstan,2018,1.0,True
Kazakhstan,2019,1.0,True
Malaysia,2017,1.0,True
Malaysia,2018,1.0,True
Malaysia,2019,1.0,True
Mexico,2017,1.0,True
Mexico,2018,1.0,True
Mexico,2019,1.0,True
Morocco,2017,1.0,True
Morocco,2018,1.0,True
Morocco,2019,1.0,True
Netherlands,2017,1.0,True
Netherlands,2018,1.0,True
Netherlands,2019,1.0,True
Nicaragua,2011,1.0,True
Nicaragua,2012,1.0,True
Nicaragua,2013,1.0,True
Pakistan,2006,1.0,True
Pakistan,2007,1.0,True
Pakistan,2008,1.0,True
Paraguay,2017,1.0,True
Paraguay,2018,1.0,True
Paraguay,2019,1.0,True
Peru,2017,1.0,True
Peru,2018,1.0,True
Peru,2019,1.0,True
Poland,2017,1.0,True
Poland,2018,1.0,True
Poland,2019,1.0,True
Portugal,2017,1.0,True
Portugal,2018,1.0,True
Portugal,2019,1.0,True
Republic of Korea,2017,1.0,True
Republic of Korea,2018,1.0,True
Republic of Korea,2019,1.0,True
Romania,2003,1.0,True
Romania,2004,1.0,True
Romania,2005,1.0,True
Russian Federation,2017,1.0,True
Russian Federation,2018,1.0,True
Russian Federation,2019,1.0,True
South Africa,2017,1.0,True
South Africa,2018,1.0,True
South Africa,2019,1.0,True
Spain,2017,1.0,True
Spain,2018,1.0,True
Spain,2019,1.0,True
Thailand,2017,1.0,True
Thailand,2018,1.0,True
Thailand,2019,1.0,True
Turkey,2017,1.0,True
Turkey,2018,1.0,True
Turkey,2019,1.0,True
Turkmenistan,2017,1.0,True
Turkmenistan,2018,1.0,True
Turkmenistan,2019,1.0,True
Ukraine,2017,1.0,True
Ukraine,2018,1.0,True
Ukraine,2019,1.0,True
United Kingdom,2017,1.0,True
United Kingdom,2018,1.0,True
United Kingdom,2019,1.0,True
United States of America,2017,1.0,True
United States of America,2018,1.0,True
United States of America,2019,1.0,True
Uruguay,2017,1.0,True
Uruguay,2018,1.0,True
Uruguay,2019,1.0,True
Viet Nam,2017,1.0,True
Viet Nam,2018,1.0,True
Viet Nam,2019,1.0,True
