country,year,crop_item,actual_yield,predicted_yield,pesticide_value,rainfall,avg_temp
Albania,1990,Maize,36613,80633.6518095782,121.0,1485.0,16.37
Albania,1991,Maize,29068,84338.12508134231,121.0,1485.0,15.36
Albania,1992,Maize,24876,81745.20677788144,121.0,1485.0,16.06
Albania,1993,Maize,24185,81781.43886007306,121.0,1485.0,16.05
Albania,1994,Maize,25848,78601.69232380472,201.0,1485.0,16.96
Albania,1995,Maize,31300,83209.1819164554,251.0,1485.0,15.67
Albania,1996,Maize,32604,83336.89414326375,313.96,1485.0,15.64
Albania,1997,Maize,31862,82394.10494565844,376.93,1485.0,15.9
Albania,1998,Maize,33416,81073.16923247802,439.89,1485.0,16.27
Albania,1999,Maize,37455,80029.07118099609,502.86,1485.0,16.57
Albania,2000,Maize,38811,79696.85499075033,565.82,1485.0,16.67
Albania,2001,Maize,38135,79992.27506869913,628.79,1485.0,16.59
Albania,2002,Maize,39460,80429.83267551813,691.75,1485.0,16.47
Albania,2004,Maize,46197,81565.82108505785,817.68,1485.0,16.16
Albania,2005,Maize,45442,83371.38649451085,880.64,1485.0,15.67
Albania,2006,Maize,50111,82467.80302359372,943.61,1485.0,15.92
Albania,2007,Maize,46732,79813.0318463191,1006.57,1485.0,16.67
Albania,2008,Maize,50000,79690.88214003672,1069.54,1485.0,16.71
Albania,2009,Maize,55693,79638.25703242606,1132.5,1485.0,16.73
Albania,2010,Maize,66790,80416.58811870062,1311.17,1485.0,16.52
Albania,2011,Maize,59869,80660.3992959839,1302.63,1485.0,16.45
Albania,2012,Maize,67290,79645.56663856992,766.25,1485.0,16.7
Albania,2013,Maize,69533,77300.45648671738,982.32,1485.0,17.41
Albania,1990,Potatoes,66667,80633.6518095782,121.0,1485.0,16.37
Albania,1991,Potatoes,77818,84338.12508134231,121.0,1485.0,15.36
Albania,1992,Potatoes,82920,81745.20677788144,121.0,1485.0,16.06
Albania,1993,Potatoes,98446,81781.43886007306,121.0,1485.0,16.05
Albania,1994,Potatoes,81404,78601.69232380472,201.0,1485.0,16.96
Albania,1995,Potatoes,111323,83209.1819164554,251.0,1485.0,15.67
Albania,1996,Potatoes,106138,83336.89414326375,313.96,1485.0,15.64
Albania,1997,Potatoes,109874,82394.10494565844,376.93,1485.0,15.9
Albania,1998,Potatoes,127212,81073.16923247802,439.89,1485.0,16.27
Albania,1999,Potatoes,142018,80029.07118099609,502.86,1485.0,16.57
Albania,2000,Potatoes,141228,79696.85499075033,565.82,1485.0,16.67
Albania,2001,Potatoes,148818,79992.27506869913,628.79,1485.0,16.59
Albania,2002,Potatoes,153868,80429.83267551813,691.75,1485.0,16.47
Albania,2004,Potatoes,149346,81565.82108505785,817.68,1485.0,16.16
Albania,2005,Potatoes,167061,83371.38649451085,880.64,1485.0,15.67
Albania,2006,Potatoes,170745,82467.80302359372,943.61,1485.0,15.92
Albania,2007,Potatoes,188902,79813.0318463191,1006.57,1485.0,16.67
Albania,2008,Potatoes,193878,79690.88214003672,1069.54,1485.0,16.71
Albania,2009,Potatoes,219780,79638.25703242606,1132.5,1485.0,16.73
Albania,2010,Potatoes,231111,80416.58811870062,1311.17,1485.0,16.52
Albania,2011,Potatoes,242211,80660.3992959839,1302.63,1485.0,16.45
Albania,2012,Potatoes,250538,79645.56663856992,766.25,1485.0,16.7
Albania,2013,Potatoes,260110,77300.45648671738,982.32,1485.0,17.41
