country_clean,Year,top_crop,climate_plausible_crops,pesticide_value
Algeria,2008,potato,,11556.12
Algeria,2011,potato,,13861.76
Algeria,2012,potato,,17379.76
Algeria,2013,potato,,17278.65
Algeria,2014,potato,,14258.22
Algeria,2015,potato,,14258.22
Algeria,2016,potato,,14258.22
Argentina,1990,potato,,26156.0
Argentina,1991,potato,,26156.0
Argentina,1992,potato,,26156.0
Argentina,1993,potato,,26156.0
Argentina,1994,potato,,30195.0
Argentina,1995,potato,,37842.0
Argentina,1996,potato,,54595.0
Argentina,1997,potato,,77691.0
Argentina,1998,potato,,62397.0
Argentina,1999,potato,,62831.39
Argentina,2000,potato,,63265.78
Argentina,2001,potato,,63700.17
Argentina,2002,potato,,64134.56
Argentina,2003,potato,,64568.95
Argentina,2004,potato,,65003.34
Argentina,2005,potato,,65437.73
Argentina,2006,potato,,65872.12
Argentina,2007,potato,,81582.64
Argentina,2008,potato,,87149.01
Argentina,2009,potato,,61586.56
Argentina,2010,potato,,105915.04
Argentina,2011,potato,,100424.62
Argentina,2012,potato,,136185.08
Argentina,2013,potato,,171945.54
Argentina,2014,potato,,207706.0
Argentina,2015,potato,,207706.0
Argentina,2016,potato,,207706.0
Australia,1990,potato,,17866.0
Australia,1991,potato,,17866.0
Australia,1992,potato,,22234.0
Australia,1993,potato,,23899.0
Australia,1994,potato,,21057.0
Australia,1995,potato,,25598.0
Australia,1996,potato,,31185.0
Australia,1997,potato,,34091.0
Australia,1998,potato,,37215.0
Australia,1999,potato,,34200.0
Australia,2000,sweet potato,,33475.0
Australia,2001,sweet potato,,32710.0
Australia,2002,potato,,26651.0
Australia,2003,potato,,32418.0
Australia,2004,potato,,36276.0
Australia,2005,potato,,34310.0
Australia,2006,potato,,35900.0
Australia,2007,potato,,32446.25
Australia,2008,potato,,42935.38
Australia,2009,potato,,38065.68
Australia,2010,potato,,42169.39
Australia,2011,potato,,47632.99
Australia,2012,potato,,48687.88
Australia,2013,potato,,45177.18
Australia,2014,potato,,49857.36
Australia,2015,potato,,50921.6
Australia,2016,potato,,50921.6
Bangladesh,2006,potato,,9074.43
Bangladesh,2007,potato,,10962.31
Bangladesh,2008,potato,,12936.5
Bangladesh,2009,potato,,13790.09
Bangladesh,2010,potato,,13283.72
Bangladesh,2011,potato,,14798.28
Bangladesh,2012,potato,,13289.18
Bangladesh,2013,potato,,15330.16
Bangladesh,2014,potato,,15857.26
Bangladesh,2015,potato,,13364.42
Bangladesh,2016,potato,,14387.63
Belarus,1992,potato,,8306.31
Belarus,1993,potato,,8306.31
Belarus,1994,potato,,8306.31
Belarus,1995,potato,,8306.31
Belarus,1996,potato,,8306.31
Belarus,1997,potato,,8306.31
Belarus,1998,potato,,8306.31
Belarus,1999,potato,,8306.31
Belarus,2000,potato,,8306.31
Belarus,2001,potato,,8306.31
Belarus,2002,potato,,8306.31
Belarus,2003,potato,,8306.31
Belarus,2004,potato,,8306.31
Belarus,2005,potato,,8306.31
Belarus,2006,potato,,8306.31
Belarus,2007,potato,,8306.31
Belarus,2008,potato,,8306.31
Belarus,2009,potato,,8306.31
Belarus,2010,potato,,8306.31
Belarus,2011,potato,,8306.31
Belarus,2012,potato,,9578.67
Belarus,2013,potato,,9163.51
Belarus,2014,potato,,8154.96
Belgium,2000,potato,,9560.49
Belgium,2001,potato,,8529.07
Belgium,2002,potato,,9204.0
Belgium,2003,potato,,8822.0
Belgium,2004,potato,,9186.0
Belgium,2005,potato,,9776.0
Belgium,2006,potato,,8244.02
Belgium-Luxembourg,1990,potato,,9074.21
Belgium-Luxembourg,1991,potato,,9074.21
Belgium-Luxembourg,1992,potato,,9074.21
Belgium-Luxembourg,1993,potato,,9074.21
Belgium-Luxembourg,1994,potato,,8449.91
Belgium-Luxembourg,1995,potato,,9007.08
Belgium-Luxembourg,1996,potato,,8742.92
Belgium-Luxembourg,1997,potato,,8306.6
Belgium-Luxembourg,1998,potato,,9095.89
Belgium-Luxembourg,1999,potato,,8829.62
Bolivia (Plurinational State of),2003,plantains and other,,8480.91
Bolivia (Plurinational State of),2004,plantains and other,,11189.49
Bolivia (Plurinational State of),2005,plantains and other,,12459.81
Bolivia (Plurinational State of),2006,plantains and other,,13224.77
Bolivia (Plurinational State of),2007,plantains and other,,14695.44
Bolivia (Plurinational State of),2008,plantains and other,,15203.65
Bolivia (Plurinational State of),2009,plantains and other,,17921.81
Bolivia (Plurinational State of),2010,plantains and other,,19611.14
Bolivia (Plurinational State of),2011,plantains and other,,21144.2
Bolivia (Plurinational State of),2012,plantains and other,,24075.02
Bolivia (Plurinational State of),2013,plantains and other,,28999.99
Bolivia (Plurinational State of),2014,plantains and other,,26581.05
Bolivia (Plurinational State of),2015,plantains and other,,25278.54
Bolivia (Plurinational State of),2016,plantains and other,,25872.29
Brazil,1990,potato,,49695.0
Brazil,1991,potato,,58349.44
Brazil,1992,potato,,67003.89
Brazil,1993,potato,,75658.33
Brazil,1994,potato,,84312.78
Brazil,1995,potato,,92967.22
