brand,amazon_median_price,ebay_median_price,avg_delivery_delay_days,avg_review_score,total_listing_count,olist_product_count
,6.99,,0.0,3.9950090744101634,173.0,0
0,39.99,,0.0,3.9950090744101634,1.0,0
01 audio,6.04,,0.0,3.9950090744101634,1.0,0
100 brand new,2.25,,0.0,3.9950090744101634,1.0,0
13712,26.99,,0.0,3.9950090744101634,24.0,0
158,2.95,,0.0,3.9950090744101634,1.0,0
1800battery,4.99,,0.0,3.9950090744101634,1.0,0
1byone,153.445,,0.0,3.9950090744101634,2.0,0
2phonesin1,8.9,,0.0,3.9950090744101634,1.0,0
2win2buy,7.99,,0.0,3.9950090744101634,14.0,0
32nd,3.0,,0.0,3.9950090744101634,2.0,0
32ndshop,9.99,,0.0,3.9950090744101634,82.0,0
365 in love,9.99,,0.0,3.9950090744101634,18.0,0
365 printing,19.99,,0.0,3.9950090744101634,48.0,0
365 printing inc,9.99,,0.0,3.9950090744101634,1.0,0
3c wholesaler,2.99,,0.0,3.9950090744101634,1.0,0
3caone,19.99,,0.0,3.9950090744101634,18.0,0
3cleader,6.5,,0.0,3.9950090744101634,3.0,0
3clife,15.98,,0.0,3.9950090744101634,1.0,0
3cworld,7.95,,0.0,3.9950090744101634,1.0,0
3d,3.0,,0.0,3.9950090744101634,1.0,0
3d belt,45.0,,0.0,3.9950090744101634,3.0,0
3d minions 360 49ers apple art and screen protector armor asian blue battery black boys bumper batman bible verse bottle opener clear card holder cute charger carbon clear with design card cheap cat design defender dogs drop protection dock friendly designer dope elephant eiffel tower elite woman tower flower edge for girls for men floral for women for boys funny flip fashion flowers glitter gold girl galaxy green girly gel grip giraffe heavy duty hybrid black red rose green orange,3.0,,-11.391107078039928,3.9950090744101634,2.0,1104
3d silicone case factory,3.0,,0.0,3.9950090744101634,2.0,0
3finnove,11.99,,0.0,3.9950090744101634,1.0,0
3m,7.09,,0.0,3.9950090744101634,14.0,0
3moob75,24.95,,0.0,3.9950090744101634,1.0,0
3sixt,5.99,,0.0,3.9950090744101634,1.0,0
407case,10.75,,0.0,3.9950090744101634,9.0,0
44llc,9.9,,0.0,3.9950090744101634,1.0,0
4c,0.99,,0.0,3.9950090744101634,1.0,0
4pmla,19.98,,0.0,3.9950090744101634,1.0,0
4youme,9.99,,0.0,3.9950090744101634,1.0,0
62f,4.99,,0.0,3.9950090744101634,1.0,0
6goodeals,13.98,,0.0,3.9950090744101634,18.0,0
7am,11.99,,0.0,3.9950090744101634,1.0,0
8090 team,43.99,,0.0,3.9950090744101634,1.0,0
8bitdo,9.99,,0.0,3.9950090744101634,1.0,0
9000,8.14,,0.0,3.9950090744101634,1.0,0
9to5cables,7.95,,0.0,3.9950090744101634,1.0,0
_delete_,3.99,,0.0,3.9950090744101634,5.0,0
a,6.99,,0.0,3.9950090744101634,1.0,0
a days tech,3.0,,0.0,3.9950090744101634,9.0,0
a plus parts house,14.88,,0.0,3.9950090744101634,1.0,0
a sharperimage,16.55,,0.0,3.9950090744101634,1.0,0
a1choice,35.99,,0.0,3.9950090744101634,1.0,0
a2z4cell usa,3.0,,0.0,3.9950090744101634,1.0,0
aabbdd,8.795,,0.0,3.9950090744101634,2.0,0
aapporto,24.77,,0.0,3.9950090744101634,3.0,0
aaron blake publishers,12.49,,0.0,3.9950090744101634,1.0,0
aart tm,12.99,,0.0,3.9950090744101634,8.0,0
abacus247,9.95,,0.0,3.9950090744101634,11.0,0
abbaking,5.97,,0.0,3.9950090744101634,3.0,0
abc01,9.985,,0.0,3.9950090744101634,4.0,0
abcalet,7.66,,0.0,3.9950090744101634,10.0,0
abco tech,7.355,,0.0,3.9950090744101634,4.0,0
abcone,3.0,,0.0,3.9950090744101634,1.0,0
abcsell,3.0,,0.0,3.9950090744101634,1.0,0
abctm,9.0,,0.0,3.9950090744101634,4.0,0
abelinda inc,4.65,,0.0,3.9950090744101634,1.0,0
abest,3.99,,0.0,3.9950090744101634,1.0,0
abestbox,3.0,,0.0,3.9950090744101634,1.0,0
able provider,5.96,,0.0,3.9950090744101634,1.0,0
abonnyc,3.0,,0.0,3.9950090744101634,1.0,0
above the fray,8.99,,0.0,3.9950090744101634,1.0,0
above the samsung galaxy s5 case,3.0,,-11.391107078039928,3.9950090744101634,1.0,1104
abovetek,4.0,,0.0,3.9950090744101634,1.0,0
absolute,41.5,,0.0,3.9950090744101634,1.0,0
absolute sports  leisure,9.95,,0.0,3.9950090744101634,1.0,0
abz cases,7.465,,0.0,3.9950090744101634,2.0,0
ac doctor inc,12.99,,0.0,3.9950090744101634,1.0,0
acacia,8.65,,0.0,3.9950090744101634,1.0,0
acase,8.975,,0.0,3.9950090744101634,56.0,0
acatim,3.99,,0.0,3.9950090744101634,1.0,0
accbtech,503.99,,0.0,3.9950090744101634,2.0,0
accel world,18.9,,0.0,3.9950090744101634,1.0,0
accelerated disruption,5.49,,0.0,3.9950090744101634,2.0,0
accellorize,6.85,,0.0,3.9950090744101634,1.0,0
accenda,5.9,,0.0,3.9950090744101634,1.0,0
accessories unlimited,3.0,,0.0,3.9950090744101634,1.0,0
accessories4phonecom,6.965,,0.0,3.9950090744101634,2.0,0
accessorieszone,5.99,,0.0,3.9950090744101634,3.0,0
accessorieszone inc,2.99,,0.0,3.9950090744101634,2.0,0
accessory 4u inc,7.99,,0.0,3.9950090744101634,25.0,0
accessory basics,12.95,,0.0,3.9950090744101634,5.0,0
accessory export,3.49,,0.0,3.9950090744101634,5.0,0
accessory export llc,3.0,,0.0,3.9950090744101634,5.0,0
accessory genie,9.99,,0.0,3.9950090744101634,4.0,0
accessory power,12.99,,0.0,3.9950090744101634,3.0,0
accessorybasics by chargercity,7.95,,0.0,3.9950090744101634,1.0,0
accessorychoice,9.99,,0.0,3.9950090744101634,2.0,0
accessoryfly,9.99,,0.0,3.9950090744101634,1.0,0
accessorymall,3.0,,0.0,3.9950090744101634,1.0,0
accessoryone,4.95,,0.0,3.9950090744101634,25.0,0
accessorysquad,4.82,,0.0,3.9950090744101634,2.0,0
accessorywizard,7.64,,0.0,3.9950090744101634,2.0,0
accez,3.98,,0.0,3.9950090744101634,6.0,0
accmart,6.19,,0.0,3.9950090744101634,1.0,0
accmor,11.989999999999998,,0.0,3.9950090744101634,2.0,0
accss4u,7.99,,0.0,3.9950090744101634,1.0,0
accucase,16.78,,0.0,3.9950090744101634,2.0,0
accystore,14.98,,0.0,3.9950090744101634,1.0,0
acdream,4.39,,0.0,3.9950090744101634,1.0,0
ace,9.87,,0.0,3.9950090744101634,1.0,0
ace armor shield,24.99,,0.0,3.9950090744101634,1.0,0
ace armorshield,19.99,,0.0,3.9950090744101634,94.0,0
ace case,9.95,,0.0,3.9950090744101634,1.0,0
ace seller,5.0,,0.0,3.9950090744101634,3.0,0
ace teah,9.99,,0.0,3.9950090744101634,3.0,0
aceabove,10.945,,0.0,3.9950090744101634,74.0,0
acecad,6.04,,0.0,3.9950090744101634,1.0,0
acedining,7.99,,0.0,3.9950090744101634,3.0,0
acefast inc,5.109999999999999,,0.0,3.9950090744101634,6.0,0
acenix,11.95,,0.0,3.9950090744101634,1.0,0
acenx,4.995,,0.0,3.9950090744101634,2.0,0
acepower,7.99,,0.0,3.9950090744101634,11.0,0
acer,,89.99,-12.46877851649068,3.9847497393117832,83.0,1598
aceshield,5.99,,0.0,3.9950090744101634,9.0,0
acesoft,16.45,,0.0,3.9950090744101634,75.0,0
acesori,5.72,,0.0,3.9950090744101634,1.0,0
acesr,12.9,,0.0,3.9950090744101634,3.0,0
acestar,10.975,,0.0,3.9950090744101634,2.0,0
acetaken,22.9,,0.0,3.9950090744101634,1.0,0
acewin,9.99,,0.0,3.9950090744101634,5.0,0
acheers,8.47,,0.0,3.9950090744101634,1.0,0
ack avionics,520.0,,0.0,3.9950090744101634,1.0,0
acme made,33.19,,0.0,3.9950090744101634,1.0,0
acouint,9.325,,0.0,3.9950090744101634,4.0,0
acr,6.29,,0.0,3.9950090744101634,5.0,0
acrobatt,10.95,,0.0,3.9950090744101634,1.0,0
acrylic office,1.96,,0.0,3.9950090744101634,1.0,0
act labs,9.99,,0.0,3.9950090744101634,2.0,0
action mount,10.49,,0.0,3.9950090744101634,12.0,0
active i537,6.36,,0.0,3.9950090744101634,1.0,0
actlabs,9.99,,0.0,3.9950090744101634,1.0,0
actor,13.99,,0.0,3.9950090744101634,1.0,0
acuvar,10.99,,0.0,3.9950090744101634,5.0,0
acyc,8.99,,0.0,3.9950090744101634,2.0,0
ad,6.15,,0.0,3.9950090744101634,1.0,0
adafruit industries,23.43,,0.0,3.9950090744101634,1.0,0
adapter,5.19,,0.0,3.9950090744101634,1.0,0
adco,6.04,,0.0,3.9950090744101634,2.0,0
addigital,6.99,,0.0,3.9950090744101634,3.0,0
adidas,40.0,,0.0,3.9950090744101634,1.0,0
adine,3.99,,0.0,3.9950090744101634,1.0,0
adonit,15.44,,0.0,3.9950090744101634,2.0,0
adopted,6.98,,0.0,3.9950090744101634,8.0,0
adopted inc,8.45,,0.0,3.9950090744101634,1.0,0
adorox,3.0,,0.0,3.9950090744101634,1.0,0
ads amtopsell,7.19,,0.0,3.9950090744101634,3.0,0
aduro,9.969999999999999,,0.0,3.9950090744101634,32.0,0
aeapyar,9.98,,0.0,3.9950090744101634,1.0,0
aedilys,24.490000000000002,,0.0,3.9950090744101634,2.0,0
aeeque,10.99,,0.0,3.9950090744101634,2.0,0
aeku,3.0,,0.0,3.9950090744101634,1.0,0
aenmilreg,15.59,,0.0,3.9950090744101634,5.0,0
aeon,8.97,,0.0,3.9950090744101634,1.0,0
aeoss,10.99,,0.0,3.9950090744101634,2.0,0
aerb,8.155,,0.0,3.9950090744101634,4.0,0
aero armor,9.99,,0.0,3.9950090744101634,1.0,0
aerystar,3.59,,0.0,3.9950090744101634,1.0,0
aestore,24.0,,0.0,3.9950090744101634,3.0,0
afaith,18.99,,0.0,3.9950090744101634,3.0,0
afc,19.95,,0.0,3.9950090744101634,1.0,0
afc trident,32.11,,0.0,3.9950090744101634,1.0,0
afc trident inc,20.37,,0.0,3.9950090744101634,2.0,0
afchouston,9.99,,0.0,3.9950090744101634,1.0,0
afflux,3.0,,0.0,3.9950090744101634,1.0,0
affordable,7.99,,0.0,3.9950090744101634,10.0,0
afly,3.0,,0.0,3.9950090744101634,4.0,0
afocus,5.49,,0.0,3.9950090744101634,2.0,0
aftermarket,3.0,,0.0,3.9950090744101634,7.0,0
aftershokz,8.65,,0.0,3.9950090744101634,1.0,0
afunta,10.99,,0.0,3.9950090744101634,1.0,0
ag findings,8.145,,0.0,3.9950090744101634,2.0,0
ag limited,52.05,,0.0,3.9950090744101634,1.0,0
agent18,7.99,,0.0,3.9950090744101634,41.0,0
agentwhiteusa,5.7,,0.0,3.9950090744101634,1.0,0
ageovor,6.4,,0.0,3.9950090744101634,1.0,0
agf,6.49,,0.0,3.9950090744101634,13.0,0
aggice,6.99,,0.0,3.9950090744101634,3.0,0
agileshop,11.99,,0.0,3.9950090744101634,1.0,0
agloves,7.67,,0.0,3.9950090744101634,4.0,0
aglow,4.8,,0.0,3.9950090744101634,3.0,0
agoz,9.89,,0.0,3.9950090744101634,93.0,0
agptek,8.49,,0.0,3.9950090744101634,8.0,0
agrigle,7.99,,0.0,3.9950090744101634,3.0,0
agvee,14.99,,0.0,3.9950090744101634,1.0,0
ahaomg co ltd,6.99,,0.0,3.9950090744101634,1.0,0
ai,9.99,,0.0,3.9950090744101634,21.0,0
ai nisi,3.0,,0.0,3.9950090744101634,1.0,0
aibbz,3.0,,0.0,3.9950090744101634,1.0,0
aibocn,9.99,,0.0,3.9950090744101634,4.0,0
aicase,9.99,,0.0,3.9950090744101634,7.0,0
aichoc,6.99,,0.0,3.9950090744101634,1.0,0
aicover,9.99,,0.0,3.9950090744101634,1.0,0
aiek,12.9,,0.0,3.9950090744101634,1.0,0
aierly,6.99,,0.0,3.9950090744101634,1.0,0
aiffect,7.99,,0.0,3.9950090744101634,7.0,0
aigoo,4.99,,0.0,3.9950090744101634,1.0,0
aiiyg ds,3.24,,0.0,3.9950090744101634,6.0,0
aikeduo,7.49,,0.0,3.9950090744101634,16.0,0
aikice,7.99,,0.0,3.9950090744101634,3.0,0
aiko,3.54,,0.0,3.9950090744101634,1.0,0
ailibao,9.99,,0.0,3.9950090744101634,1.0,0
ailkin,7.99,,0.0,3.9950090744101634,6.0,0
ailun,5.49,,0.0,3.9950090744101634,32.0,0
aim,14.99,,0.0,3.9950090744101634,1.0,0
aimo,5.99,,0.0,3.9950090744101634,134.0,0
aimo wireless,5.485,,0.0,3.9950090744101634,414.0,0
aimo wireless inc,22.99,,0.0,3.9950090744101634,1.0,0
aiposen,15.99,,0.0,3.9950090744101634,1.0,0
airbar,,70.0,0.0,3.9950090744101634,2.0,0
airborne,20.5,,0.0,3.9950090744101634,1.0,0
aircharge,59.95,,0.0,3.9950090744101634,3.0,0
airebo,12.99,,0.0,3.9950090744101634,26.0,0
airfoamshell,29.98,,0.0,3.9950090744101634,3.0,0
airlut,5.77,,0.0,3.9950090744101634,1.0,0
airmask,19.295,,0.0,3.9950090744101634,2.0,0
