,,a days tech,acer,airbar,alienware,amiamo,apple,arkon,as seen on tv,asus,auusda,belkin,blackberry,blue ant,body glove,boxwave,boxwave corporation,cardo,cellular innovations,chuwi,cingular,clevo,computers_accessories,consoles_games,dell,dell 16gb,dell inc.,dell inspiron,dell/hp/lenovo/fujitsu/toshiba,dell/hp/lenovo/stone,different,durabook,electronics,fujitsu,fujitsu pc corp.,fujitsu siemens,fusion5,gateway,generic,getac,gigabyte,goldbook,google,gpd,hp,hp dell lenovo select from above,htc,huawei,hyundai,ibm,intel,jabra,jumper,kano,krusell international,lenovo,lenovo t440,lg,logitech,major brand,metabox,microsoft,mixt,motorola,msi,nokia,olpc,otterbox,palm,palm treo 650,panasonic,plantronics,probook,razer,samsung,sgin,simpletek,sony,sony ericsson,soyo,t-mobile,telephony,toshiba,universal,vaio,virgin mobile slice,vxi,wireless extenders,xplore,zebra,zzetze
,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.5,7.0,7.0,54.5,59.5,9.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,17.0,11.5,8.0,0.0,108.5,0.0,0.0,66.5,0.0,0.0,0.0,9.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
a days tech,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,12.0,5.5,5.5,53.0,58.0,8.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.5,10.0,6.5,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.5,0.0,0.0,0.0
acer,0.0,0.0,0.0,0.014471217651188452,0.022380420515006168,0.011670340626248972,0.08635921807967013,0.0,0.0,0.197173624775606,0.02243606247969286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04856577504906217,0.0,0.01103851058996878,0.0,0.0,0.24860951397547462,0.013911123743556518,0.022445110907140565,0.005288718961968969,0.008090468492254543,0.0063533008031164745,0.015537423901137359,0.01631812095413046,0.0,0.04659474995484964,0.01869947539508612,0.043260582151381885,0.04111651761867273,0.09112802329445557,0.0,0.039324439886057765,0.005288718961968969,0.014471217651188452,0.01460800048286135,0.01892873109814569,0.2799365932001517,0.009335563254062207,0.0,0.017324312206710376,0.014471217651188452,0.010839870887230818,0.06528036100713915,0.0,0.010207484895302687,0.044174735603248416,0.0,0.2972738302261899,0.016523854109879218,0.039587295502441444,0.0,0.017049215723311854,0.014331397309733877,0.09596632927527862,0.014471217651188452,0.0,0.03445812498965902,0.0,0.014471217651188452,0.0,0.0,0.0,0.08098295607773562,0.0,0.027323084005119354,0.00750949662327784,0.19323277558552512,0.061913208393259714,0.007749194422162658,0.02207499523662467,0.0,0.0,0.0,0.0,0.09857635666524706,0.014471217651188452,0.013475736616713826,0.0,0.0,0.0,0.012036104104918895,0.0020485008331099066,0.02455653535159192
airbar,0.0,0.0,0.014471217651188452,0.0,0.005495840198553715,0.004160844002971132,0.011705185034634753,0.0,0.0,0.014471217651188452,0.004160844002971132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004160844002971132,0.0,0.0,0.014471217651188452,0.007544341031663622,0.0,0.0,0.004160844002971132,0.0,0.0,0.012422716818078546,0.0,0.014471217651188452,0.004160844002971132,0.014471217651188452,0.0,0.014471217651188452,0.0,0.006926876619524831,0.0,0.014471217651188452,0.004160844002971132,0.0,0.014471217651188452,0.0,0.0,0.0,0.014471217651188452,0.005495840198553715,0.014471217651188452,0.0,0.0,0.009656684201524848,0.0,0.014471217651188452,0.0,0.008975377452634738,0.0,0.011705185034634753,0.004160844002971132,0.014471217651188452,0.014471217651188452,0.0,0.009656684201524848,0.0,0.014471217651188452,0.0,0.0,0.0,0.012422716818078546,0.0,0.009656684201524848,0.0,0.012422716818078546,0.004160844002971132,0.004814533449663606,0.014471217651188452,0.0,0.0,0.0,0.0,0.014471217651188452,0.014471217651188452,0.0,0.0,0.0,0.0,0.0,0.0020485008331099066,0.0
alienware,0.0,0.0,0.022380420515006168,0.005495840198553715,0.0,0.002982262450945733,0.0208772347005707,0.0,0.0,0.02370995225933338,0.006877666586997648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006877666586997648,0.0,0.006877666586997648,0.0,0.0,0.02782828316289616,0.005495840198553715,0.006877666586997648,0.002982262450945733,0.0016231679782601734,0.0,0.006877666586997648,0.00939124433460563,0.0,0.013996674763811537,0.006877666586997648,0.010839870887230818,0.0,0.017717537474228464,0.0,0.0076214699083982495,0.002982262450945733,0.005495840198553715,0.002982262450945733,0.0038954041360519144,0.028551002321458335,0.002982262450945733,0.0,0.00850083456525782,0.005495840198553715,0.010839870887230818,0.012373506785551363,0.0,0.002982262450945733,0.005495840198553715,0.0,0.02782828316289616,0.006877666586997648,0.010037363813339886,0.0,0.010839870887230818,0.006877666586997648,0.015413221848068896,0.005495840198553715,0.0,0.012373506785551363,0.0,0.005495840198553715,0.0,0.0,0.0,0.019340705452488637,0.0,0.008478102649499449,0.002982262450945733,0.01922072328866393,0.006877666586997648,0.0,0.010839870887230818,0.0,0.0,0.0,0.0,0.017717537474228464,0.005495840198553715,0.006877666586997648,0.0,0.0,0.0,0.006877666586997648,0.0,0.002982262450945733
amiamo,0.0,0.0,0.011670340626248972,0.004160844002971132,0.002982262450945733,0.0,0.011670340626248972,0.0,0.0,0.011670340626248972,0.007143106453916866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00750949662327784,0.0,0.007143106453916866,0.0,0.0,0.011670340626248972,0.0,0.00750949662327784,0.005288718961968969,0.006467300513994368,0.0,0.005288718961968969,0.004160844002971132,0.0,0.011670340626248972,0.007143106453916866,0.004160844002971132,0.0,0.011670340626248972,0.0,0.009449562964940102,0.005288718961968969,0.004160844002971132,0.009449562964940102,0.0,0.011670340626248972,0.002982262450945733,0.0,0.00750949662327784,0.004160844002971132,0.0,0.009449562964940102,0.0,0.00750949662327784,0.004160844002971132,0.0,0.011670340626248972,0.002982262450945733,0.011670340626248972,0.0,0.004160844002971132,0.007143106453916866,0.011670340626248972,0.004160844002971132,0.0,0.011670340626248972,0.0,0.004160844002971132,0.0,0.0,0.0,0.011670340626248972,0.0,0.007143106453916866,0.00750949662327784,0.011670340626248972,0.009363884115225736,0.0,0.004160844002971132,0.0,0.0,0.0,0.0,0.007143106453916866,0.004160844002971132,0.005203040112254604,0.0,0.0,0.0,0.002982262450945733,0.0,0.002982262450945733
apple,0.0,0.0,0.08635921807967013,0.011705185034634753,0.0208772347005707,0.011670340626248972,0.0,0.0,0.0,0.05910387147589479,0.014331397309733877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021801419559723704,0.0,0.01103851058996878,0.0,0.0,0.09116693178741207,0.013911123743556518,0.014697787479094853,0.005288718961968969,0.012457280719328776,0.0063533008031164745,0.015537423901137359,0.013552088337576762,0.0,0.032394218577342024,0.01869947539508612,0.0323898843648692,0.021693969444673816,0.05594417424955256,0.0,0.028149592141794834,0.005288718961968969,0.011705185034634753,0.01460800048286135,0.009053841653973162,0.09116693178741207,0.009335563254062207,0.0,0.013028068737589929,0.011705185034634753,0.010839870887230818,0.03555996357652799,0.0,0.00750949662327784,0.01797403884228073,0.0,0.0895810833224413,0.016523854109879218,0.028434907626870377,0.0,0.017049215723311854,0.014331397309733877,0.060906433302053774,0.011705185034634753,0.0,0.026609480211179697,0.0,0.011705185034634753,0.0,0.0,0.0,0.0806271174218309,0.0,0.027323084005119354,0.012317210331019778,0.07123504668454064,0.030027967129719876,0.0020485008331099066,0.017049215723311854,0.0,0.0,0.0,0.0,0.0687459627619158,0.011705185034634753,0.009098444248306518,0.0,0.0,0.0,0.012036104104918895,0.0020485008331099066,0.008140699968866981
arkon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,52.5,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.5,0.0,9.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,7.5,5.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
as seen on tv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asus,0.0,0.0,0.197173624775606,0.014471217651188452,0.02370995225933338,0.011670340626248972,0.05910387147589479,0.0,0.0,0.0,0.02243606247969286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03956653071389354,0.0,0.01103851058996878,0.0,0.0,0.21604663428221277,0.007544341031663622,0.018066302875887227,0.009138734912035049,0.008090468492254543,0.0063533008031164745,0.015537423901137359,0.01631812095413046,0.0,0.04989016250519295,0.01869947539508612,0.034590112928463215,0.025775848977115382,0.10087091306556567,0.0,0.03391917497650825,0.00830898697421457,0.014471217651188452,0.01460800048286135,0.01892873109814569,0.29652521018200506,0.009335563254062207,0.0,0.017324312206710376,0.014471217651188452,0.010839870887230818,0.06528036100713915,0.0,0.010207484895302687,0.044174735603248416,0.0,0.24802198028013847,0.016523854109879218,0.03986483802829977,0.0,0.017049215723311854,0.01705541359935129,0.09020376970489602,0.014471217651188452,0.0,0.02871473747903874,0.0,0.014471217651188452,0.0,0.0,0.0,0.05697645244340135,0.0,0.02095630129322646,0.00904796999614994,0.15001450941277986,0.05873861865607342,0.00777510603946536,0.02207499523662467,0.0,0.0,0.0,0.0,0.10454561522600274,0.014471217651188452,0.013475736616713826,0.0,0.0,0.0,0.012036104104918895,0.003410818225816059,0.034821935425818656
auusda,0.0,0.0,0.02243606247969286,0.004160844002971132,0.006877666586997648,0.007143106453916866,0.014331397309733877,0.0,0.0,0.02243606247969286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010170553306762744,0.0,0.01103851058996878,0.0,0.0,0.02243606247969286,0.0,0.010170553306762744,0.002982262450945733,0.004160844002971132,0.0,0.006877666586997648,0.008056248139023047,0.0,0.014331397309733877,0.014331397309733877,0.012265509172930117,0.0,0.02243606247969286,0.0,0.014331397309733877,0.002982262450945733,0.004160844002971132,0.007143106453916866,0.0038954041360519144,0.02243606247969286,0.002982262450945733,0.0,0.006877666586997648,0.004160844002971132,0.0,0.019143175759927765,0.0,0.002982262450945733,0.012265509172930117,0.0,0.02243606247969286,0.010170553306762744,0.014331397309733877,0.0,0.004160844002971132,0.014331397309733877,0.014331397309733877,0.004160844002971132,0.0,0.01103851058996878,0.0,0.004160844002971132,0.0,0.0,0.0,0.014331397309733877,0.0,0.007143106453916866,0.002982262450945733,0.02243606247969286,0.02243606247969286,0.0,0.004160844002971132,0.0,0.0,0.0,0.0,0.02243606247969286,0.004160844002971132,0.006877666586997648,0.0,0.0,0.0,0.006877666586997648,0.0,0.011086927620904718
belkin,7.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,5.0,5.0,52.5,57.5,7.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,15.0,9.5,6.0,0.0,106.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
blackberry,13.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,11.5,59.0,0.0,14.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,16.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0
blue ant,7.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,52.5,57.5,7.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,158.5,0.0,9.5,0.0,0.0,9.5,6.0,0.0,106.5,0.0,0.0,64.5,0.0,0.0,0.0,7.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0
body glove,7.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.5,5.0,0.0,52.5,57.5,7.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,15.0,9.5,6.0,0.0,106.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
boxwave,54.5,53.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,52.5,59.0,52.5,52.5,0.0,105.0,55.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,206.0,0.0,57.0,0.0,62.5,57.0,53.5,0.0,154.0,0.0,0.0,112.0,0.0,0.0,0.0,55.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,52.5,53.5,0.0,0.0,0.0
boxwave corporation,59.5,58.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,57.5,0.0,57.5,57.5,105.0,0.0,60.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,88.0,0.0,0.0,57.5,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,211.0,0.0,62.0,0.0,0.0,62.0,58.5,0.0,159.0,0.0,0.0,117.0,0.0,0.0,0.0,60.0,0.0,59.5,0.0,0.0,0.0,0.0,0.0,57.5,58.5,0.0,0.0,0.0
cardo,9.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,14.0,7.5,7.5,55.0,60.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,17.5,12.0,8.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.5,0.0,0.0,0.0
cellular innovations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chuwi,0.0,0.0,0.04856577504906217,0.0,0.006877666586997648,0.00750949662327784,0.021801419559723704,0.0,0.0,0.03956653071389354,0.010170553306762744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006877666586997648,0.0,0.0,0.044855523766464234,0.0021144033153843982,0.014697787479094853,0.005288718961968969,0.002306456511023236,0.0,0.009184123098020884,0.0038954041360519144,0.0,0.019065865564447095,0.01453863139211499,0.0,0.0,0.02176385383647194,0.0,0.01247700981778598,0.005288718961968969,0.0,0.005288718961968969,0.0065853749162443145,0.04754549454665663,0.002982262450945733,0.0,0.014102889031354603,0.0,0.0,0.0187656578286063,0.0,0.010207484895302687,0.008221142146836176,0.0,0.044855523766464234,0.010170553306762744,0.02176385383647194,0.0,0.0,0.010170553306762744,0.02176385383647194,0.0,0.0,0.013519304074714154,0.0,0.0,0.0,0.0,0.0,0.021755836344639495,0.0,0.002982262450945733,0.00750949662327784,0.04102310722652363,0.0354830008980639,0.0,0.0,0.0,0.0,0.0,0.0,0.01453863139211499,0.0,0.011796432520331366,0.0,0.0,0.0,0.006877666586997648,0.0,0.002982262450945733
