source_platform,product_id_unified,brand_clean,category_clean,price_usd,review_score_normalized,ram_gb,ssd_gb
amazon,7887421268,generic,cell_phones_accessories,5.95,2.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,4.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,4.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,4.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,2.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,1.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,7887421268,generic,cell_phones_accessories,5.95,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,3.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,4.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,1.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,2.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,2.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,1.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,4.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,3.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,1.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,1.0,0.0,0.0
amazon,8288862993,samsung,cell_phones_accessories,14.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,4.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,4.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,3.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,3.0,0.0,0.0
amazon,B0000DYUZO,otterbox,cell_phones_accessories,19.99,5.0,0.0,0.0
