brand,avg_price_usd,most_common_ram,most_common_ssd
?,16.975,,
ACER,39.9,,
AIRBAR,70.0,,
AMIAMO,250.0,,
ASUS,338.51234042553193,8 GB,
AU Optronics,74.89,,
AUO,82.72421052631579,,
AUUSDA,419.99,,
Acer,168.64986394557823,4 GB,16 GB
Acer / IOmega,49.59,,
Alienware,2430.7866666666664,,
Apple,367.96308641975304,,
Apple / LG,292.46,,
Asem,22.0,,
Asus,155.06625,,
Bormann,218.71,,
C600,21.88,,
CHUNGHWA,64.99,,
CHUNGWA,104.33999999999999,,
CHUWI,225.59900000000002,,
CLAA116WA03A,92.644,,
CLAA156WA11A,92.5,,
CLAA156WA13A,74.61,,
CLEVO,167.67000000000002,,
Casio,58.605000000000004,,
ChiMei,72.24714285714286,,
ChiMei INNOLUX,80.735,,
Chimei INNOLUX,95.73,,
Chingwa,92.09,,
Chunghwa,129.1675,,
Chuwi,242.88125000000002,,
Compaq,89.92500000000001,,
Craig,10.49,,
DELL,230.29866666666666,,
DELL/HP/LENOVO/Fujitsu/Toshiba,151.84,,
Dell,330.9898900235664,4 GB,256 GB
Dell 16gb,139.99,,
Dell Inc.,151.48,,
Dell Inspiron,425.0,,
Dell Latitude,489.57,,
Dell Latitude 7275,130.0,,
Dell/HP/Lenovo/Stone,177.21,,
Delta,63.27,,
Delta / DELL,57.93,,
Different,126.59666666666668,,
Does not apply,716.1616666666667,,
Durabook,1049.9933333333333,,
FEC,443.22333333333336,,
Frontier,1179.42,,
Fuji,72.18,,
Fujitsu,296.65,4 GB,120 GB
Fujitsu PC Corp.,120.3,,
Fujitsu Siemens,431.58357723577234,,
Fusion5,69.61,,
GERICOM,21.98,,
GETAC,399.99,,
GIGABYTE,650.0,,
GPD,348.99,,
Gateway,204.88277777777776,,
Geo,22.006666666666664,,
Getac,269.509375,,
GoldBook,500.0,,
Google,281.41857142857145,,
HP,265.880991902834,3 GB,240 GB
HP DELL LENOVO SELECT FROM ABOVE,164.49,,
HW13WX001,149.76,,
HannStar,114.99842105263157,,
HannnStar,109.41,,
HiDes,242.8,,
Huawei,1023.0,,
Hyundai,22.06,,
IBM,160.25,,
INNOLUX,102.93473684210527,,
IVO,66.326,,
InnoLux,71.24,,
Insignia,70.0,,
Intel,482.93266666666665,,
JVC,36.512499999999996,,
Jumper,299.99,,
KODAK,41.9475,,
Kano,110.50999999999999,,
Kodak,41.983999999999995,,
LCD Replacement,367.85600000000005,,
LENOVO,46.99666666666667,,
LG,179.0016,,
Lenova,221.45,,
Lenovo,325.4112727272727,8 GB,256 GB
Lenovo T440,119.0,8 GB,256 GB
Lenovo T530,163.19,,
LiteON,67.05,,
MEDION,21.8,,
MSI,505.02666666666664,,
Major Brand,99.495,,
Media Wave,100.0,,
Metabox,263.28,,
Microsoft,414.4201680672269,,
Mixt,120.21,,
Motion Computing,39.99,,
Mouse Computer,793.7814285714286,,
Not Applicable,9.934285714285716,,
Olidata,19.122500000000002,,
Olpc,114.99,,
Olympus,61.04,,
Orbitkey,64.62,,
PANASONIC,199.99,,
Packard Bell,318.08,,
Packard bell,177.14,,
Panasonic,336.14134615384614,8 GB,512 GB
ProBook,105.0,,
Razer,1246.3266666666666,,
SCSI,16.12,,
SGIN,259.1523076923077,,
Samsung,115.68262295081968,,
See Title/Description,141.682,,
Shed Number 2,53.730000000000004,,
Simpletek,2306.8494285714282,,
Sony,393.157,,
Sony VAIO,1234.99,,
Top Performance,39.99,,
Toshiba,179.46625,4 GB,
Unbranded,57.36869565217391,,
Unbranded/Generic,12.59,,
Universal,4.42,,
Uniwill,21.69333333333333,,
VAIO,369.95,,
VECTOR,33.5,,
Vulcan Electronics,229.99,,
XPLORE,684.8875,,
Zebra,1235.465,,
Zzetze,172.0,,
dell,95.0,,
nevada,21.939999999999998,,
www.TAG1000Diver.com,79.99,,
xnote,75.0,,
