invest_advisor_name,sec_name,holding_count
万家基金管理有限公司,福耀玻璃,6
万家基金管理有限公司,国投电力,6
万家基金管理有限公司,金百泽,5
上海东方证券资产管理有限公司,美的集团,6
上海东方证券资产管理有限公司,潍柴动力,6
上海东方证券资产管理有限公司,顺络电子,5
上海国泰海通证券资产管理有限公司,恒瑞医药,2
上海国泰海通证券资产管理有限公司,齐鲁银行,1
上海国泰海通证券资产管理有限公司,首创证券,1
上银基金管理有限公司,迈普医学,5
上银基金管理有限公司,君亭酒店,5
上银基金管理有限公司,陕西华达,4
东吴基金管理有限公司,雅戈尔,2
东吴基金管理有限公司,退市鹏博,2
东吴基金管理有限公司,衢州发展,2
东方基金管理股份有限公司,隆基绿能,2
东方基金管理股份有限公司,法拉电子,2
东方基金管理股份有限公司,杭叉集团,2
东财基金管理有限公司,麦加芯彩,3
东财基金管理有限公司,金帝股份,3
东财基金管理有限公司,苏州规划,3
中信保诚基金管理有限公司,紫金矿业,5
中信保诚基金管理有限公司,美的集团,4
中信保诚基金管理有限公司,中信证券,4
中信建投基金管理有限公司,贵州茅台,4
中信建投基金管理有限公司,宁德时代,4
中信建投基金管理有限公司,飞南资源,3
中加基金管理有限公司,徐工机械,3
中加基金管理有限公司,龙图光罩,2
中加基金管理有限公司,陕西华达,2
中欧基金管理有限公司,贵州茅台,8
中欧基金管理有限公司,立讯精密,7
中欧基金管理有限公司,海康威视,6
中泰证券(上海)资产管理有限公司,润本股份,3
中泰证券(上海)资产管理有限公司,陕西华达,2
中泰证券(上海)资产管理有限公司,锦江航运,2
中航基金管理有限公司,龙图光罩,1
中航基金管理有限公司,鼎龙科技,1
中航基金管理有限公司,麦加芯彩,1
中邮创业基金管理股份有限公司,民生银行,4
中邮创业基金管理股份有限公司,中兴通讯,4
中邮创业基金管理股份有限公司,龙图光罩,3
中金基金管理有限公司,泰格医药,2
中金基金管理有限公司,康龙化成,2
中金基金管理有限公司,川恒股份,2
中银国际证券股份有限公司,恒兴新材,3
中银国际证券股份有限公司,天元智能,3
中银国际证券股份有限公司,键邦股份,2
中银基金管理有限公司,泰慕士,12
中银基金管理有限公司,华蓝集团,11
中银基金管理有限公司,保立佳,11
交银施罗德基金管理有限公司,紫金矿业,7
交银施罗德基金管理有限公司,立讯精密,5
交银施罗德基金管理有限公司,海峡股份,5
信达澳亚基金管理有限公司,移远通信,6
信达澳亚基金管理有限公司,国盾量子,5
信达澳亚基金管理有限公司,贵州茅台,4
光大保德信基金管理有限公司,保利发展,4
光大保德信基金管理有限公司,顺丰控股,3
光大保德信基金管理有限公司,长城汽车,3
兴业基金管理有限公司,五粮液,3
兴业基金管理有限公司,航发动力,2
兴业基金管理有限公司,紫金矿业,2
兴证全球基金管理有限公司,百济神州,2
兴证全球基金管理有限公司,龙迅股份,1
兴证全球基金管理有限公司,龙湖集团,1
兴银基金管理有限责任公司,贵州茅台,5
兴银基金管理有限责任公司,美的集团,5
兴银基金管理有限责任公司,紫金矿业,5
农银汇理基金管理有限公司,航发动力,2
农银汇理基金管理有限公司,紫金矿业,2
农银汇理基金管理有限公司,海宁皮城,2
创金合信基金管理有限公司,宁德时代,8
创金合信基金管理有限公司,美的集团,7
创金合信基金管理有限公司,立讯精密,7
前海开源基金管理有限公司,紫金矿业,7
前海开源基金管理有限公司,万科A,6
