行业名称,公司名称,流动比率
专用设备制造业,恒立液压,409.28
其他金融业,同花顺,324.71
农副食品加工业,洽洽食品,256.45
化学原料和化学制品制造业,山东海化,171.0
化学纤维制造业,恒逸石化,63.08
医药制造业,恒瑞医药,971.9
卫生,爱尔眼科,145.04
商务服务业,中国中免,510.17
土木工程建筑业,中国建筑,129.37
家具制造业,志邦家居,108.89
房地产业,华夏幸福,188.04
批发业,国药股份,204.34
文教、工美、体育和娱乐用品制造业,晨光股份,201.15
有色金属冶炼和压延加工业,天齐锂业,254.9
有色金属矿采选业,洛阳钼业,174.16
橡胶和塑料制品业,福斯特,1093.74
水上运输业,上港集团,211.3
水的生产和供应业,创业环保,149.46
汽车制造业,广汽集团,123.85
煤炭开采和洗选业,中国神华,221.47
燃气生产和供应业,深圳燃气,66.18
电力、热力生产和供应业,浙能电力,108.99
电气机械和器材制造业,飞科电器,322.24
石油加工、炼焦和核燃料加工业,上海石化,126.67
石油和天然气开采业,中国石油,92.71
研究和试验发展,药明康德,238.44
航空运输业,春秋航空,132.76
计算机、通信和其他电子设备制造业,汇顶科技,510.53
资本市场服务,东方财富,134.2
软件和信息技术服务业,网宿科技,479.93
通用设备制造业,三花智控,163.58
酒、饮料和精制茶制造业,古越龙山,447.27
铁路、船舶、航空航天和其他运输设备制造业,中国中车,124.25
铁路运输业,大秦铁路,492.04
零售业,老百姓,83.09
非金属矿物制品业,海螺水泥,324.52
食品制造业,涪陵榨菜,1255.5
