dataset,biomarker,high_risk_mean,low_risk_mean,cohens_d,interpretation
diabetes,Glucose,159.3277,116.5255,1.4667,Large
diabetes,BMI,40.9389,31.0835,1.3174,Large
diabetes,BloodPressure,84.9662,67.2387,0.9615,Large
stroke,avg_glucose_level,169.7608,99.018,1.7701,Large
stroke,bmi,37.9948,27.8385,1.4371,Large
insurance,bmi,41.5042,29.4066,2.4918,Large
heart_disease,trestbps,133.9787,129.913,0.2143,Small
heart_disease,chol,176.4799,227.9056,-0.4768,Small
ckd,bgr,167.148,113.812,0.8669,Large
ckd,bu,70.8088,37.0188,0.833,Large
ckd,sc,4.2654,1.065,0.6742,Medium
sleep,systolic_bp,133.0,128.4061,0.5954,Medium
sleep,bmi_numeric,29.375,24.7754,1.7113,Large
