disease_cohort,biomarker,age_bin,cohen_d,ci_lower,ci_upper,n_cases,n_controls
Diabetes,glucose,18-40,1.1954,1.0793,1.3233,594,1489
Diabetes,glucose,40-60,0.8867,0.6983,1.0961,330,249
Diabetes,glucose,60+,0.6531,0.246,1.0808,28,78
Diabetes,bmi,18-40,0.6953,0.6001,0.8007,594,1489
Diabetes,bmi,40-60,0.2456,0.0844,0.4026,330,249
Diabetes,bmi,60+,0.9741,0.7248,1.2971,28,78
Diabetes,diastolic_bp,18-40,0.0119,-0.0809,0.1134,594,1489
Diabetes,diastolic_bp,40-60,0.1267,-0.0313,0.2884,330,249
Diabetes,diastolic_bp,60+,0.6914,0.4688,0.9411,28,78
Stroke,glucose,18-40,-0.5598,-0.9077,-0.208,8,2236
Stroke,glucose,40-60,0.4148,0.1219,0.7343,64,1498
Stroke,glucose,60+,0.3043,0.1301,0.477,177,1127
Stroke,bmi,18-40,0.3757,0.0635,0.75,8,2236
Stroke,bmi,40-60,0.1499,-0.071,0.3837,64,1498
Stroke,bmi,60+,-0.1091,-0.2502,0.0409,177,1127
HeartDisease,systolic_bp,18-40,-0.5515,-1.0024,-0.1286,32,61
HeartDisease,systolic_bp,40-60,0.2316,0.0755,0.3986,316,290
HeartDisease,systolic_bp,60+,0.083,-0.1985,0.3428,161,60
CKD,glucose,18-40,0.4315,-0.0148,0.7574,38,53
CKD,glucose,40-60,0.6,0.5043,0.7156,225,68
CKD,glucose,60+,0.873,0.7135,1.0592,103,29
CKD,diastolic_bp,18-40,0.1091,-0.3177,0.5533,38,53
CKD,diastolic_bp,40-60,0.5726,0.355,0.8799,225,68
CKD,diastolic_bp,60+,0.8634,0.5607,1.2036,103,29
