age_decade,gender,Stroke,HeartDisease,SleepDisorder,AvgSleepDuration,MedianCharges,Diabetes
30s,Female,0.014388489208633094,0.15789473684210525,0.15555555555555556,7.062222222222222,5846.9176,0.4601018675721562
30s,Male,0.0,0.40350877192982454,0.08247422680412371,7.069072164948454,6270.9886750000005,0.4601018675721562
40s,Female,0.013333333333333334,0.11320754716981132,0.8571428571428571,6.526190476190477,8823.279,0.5584112149532711
40s,Male,0.02142857142857143,0.4968553459119497,0.52,7.124,8604.922575,0.5584112149532711
50s,Female,0.05508474576271186,0.2777777777777778,0.6041666666666666,7.6312500000000005,11856.4115,0.5775401069518716
50s,Male,0.06077348066298342,0.636963696369637,,,11364.6176,0.5775401069518716
60s,Female,0.0625,0.45454545454545453,,,14316.43865,0.2830188679245283
60s,Male,0.09293680297397769,0.8033707865168539,,,14050.735175000002,0.2830188679245283
70s,Female,0.16964285714285715,0.16666666666666666,,,,0.5
70s,Male,0.15879828326180256,0.84,,,,0.5
80s,Female,0.19469026548672566,,,,,0.0
80s,Male,0.2465753424657534,,,,,0.0
