scene_code,month,monitor_col,auc,ks
SCENE_000001,All,cro_general,0.5878,0.1265
SCENE_000001,All,cro_general_reg,0.5909,0.1312
SCENE_000001,All,cro_general_mle,0.5868,0.1248
SCENE_000001,All,cro_sceneid,0.5957,0.1406
SCENE_000002,All,cro_general,0.5891,0.1255
SCENE_000002,All,cro_general_reg,0.591,0.1278
SCENE_000002,All,cro_general_mle,0.5998,0.1411
SCENE_000002,All,cro_sceneid,0.5866,0.1219
SCENE_000003,All,cro_general,0.5808,0.1139
SCENE_000003,All,cro_general_reg,0.585,0.1191
SCENE_000003,All,cro_general_mle,0.5789,0.1114
SCENE_000003,All,cro_sceneid,0.5945,0.1344
SCENE_000004,All,cro_general,0.5613,0.0865
SCENE_000004,All,cro_general_reg,0.5644,0.0916
SCENE_000004,All,cro_general_mle,0.5607,0.0867
SCENE_000004,All,cro_sceneid,0.5686,0.0973
SCENE_000005,All,cro_general,0.5786,0.107
SCENE_000005,All,cro_general_reg,0.5819,0.112
SCENE_000005,All,cro_general_mle,0.5784,0.1063
SCENE_000005,All,cro_sceneid,0.5847,0.1152
SCENE_000006,All,cro_general,0.5897,0.1293
SCENE_000006,All,cro_general_reg,0.5915,0.1296
SCENE_000006,All,cro_general_mle,0.5877,0.1251
SCENE_000006,All,cro_sceneid,0.5952,0.1376
SCENE_000007,All,cro_general,0.5641,0.0912
SCENE_000007,All,cro_general_reg,0.5643,0.0909
SCENE_000007,All,cro_general_mle,0.5617,0.0883
SCENE_000007,All,cro_sceneid,0.5651,0.0901
SCENE_000008,All,cro_general,0.6001,0.1451
SCENE_000008,All,cro_general_reg,0.6009,0.1461
SCENE_000008,All,cro_general_mle,0.5952,0.136
SCENE_000008,All,cro_sceneid,0.6107,0.1593
SCENE_000009,All,cro_general,0.6203,0.1714
SCENE_000009,All,cro_general_reg,0.6241,0.1774
SCENE_000009,All,cro_general_mle,0.6199,0.1706
SCENE_000009,All,cro_sceneid,0.6203,0.1715
SCENE_000010,All,cro_general,0.575,0.1053
SCENE_000010,All,cro_general_reg,0.5783,0.1107
SCENE_000010,All,cro_general_mle,0.5749,0.1053
SCENE_000010,All,cro_sceneid,0.5825,0.1146
SCENE_000011,All,cro_general,0.5805,0.1149
SCENE_000011,All,cro_general_reg,0.5852,0.1195
SCENE_000011,All,cro_general_mle,0.5785,0.113
SCENE_000011,All,cro_sceneid,0.5941,0.133
SCENE_000012,All,cro_general,0.5835,0.1222
SCENE_000012,All,cro_general_reg,0.5829,0.1187
SCENE_000012,All,cro_general_mle,0.5834,0.1227
SCENE_000012,All,cro_sceneid,0.5884,0.1281
SCENE_000013,All,cro_general,0.5875,0.1278
SCENE_000013,All,cro_general_reg,0.5866,0.1246
SCENE_000013,All,cro_general_mle,0.5811,0.1164
SCENE_000013,All,cro_sceneid,0.5958,0.1382
SCENE_000014,All,cro_general,0.5968,0.14
SCENE_000014,All,cro_general_reg,0.5941,0.1388
SCENE_000014,All,cro_general_mle,0.5894,0.1287
SCENE_000014,All,cro_sceneid,0.5974,0.1385
SCENE_000015,All,cro_general,0.57,0.0974
SCENE_000015,All,cro_general_reg,0.5778,0.1133
SCENE_000015,All,cro_general_mle,0.5691,0.0981
SCENE_000015,All,cro_sceneid,0.5799,0.113
SCENE_000016,All,cro_general,0.5849,0.1251
SCENE_000016,All,cro_general_reg,0.5875,0.1307
SCENE_000016,All,cro_general_mle,0.58,0.1267
SCENE_000016,All,cro_sceneid,0.5974,0.1516
SCENE_000017,All,cro_general,0.5477,0.0741
SCENE_000017,All,cro_general_reg,0.5522,0.0849
SCENE_000017,All,cro_general_mle,0.5493,0.0713
SCENE_000017,All,cro_sceneid,0.5582,0.0972
SCENE_000018,All,cro_general,0.5389,0.0592
SCENE_000018,All,cro_general_reg,0.5404,0.0614
SCENE_000018,All,cro_general_mle,0.5365,0.0509
SCENE_000018,All,cro_sceneid,0.5504,0.0754
SCENE_000019,All,cro_general,0.602,0.1435
SCENE_000019,All,cro_general_reg,0.6053,0.1452
SCENE_000019,All,cro_general_mle,0.5984,0.1387
SCENE_000019,All,cro_sceneid,0.6105,0.1526
SCENE_000020,All,cro_general,0.5696,0.1027
SCENE_000020,All,cro_general_reg,0.5727,0.105
SCENE_000020,All,cro_general_mle,0.5654,0.0994
SCENE_000020,All,cro_sceneid,0.5752,0.1098
SCENE_000021,All,cro_general,0.5754,0.1176
SCENE_000021,All,cro_general_reg,0.5802,0.1199
SCENE_000021,All,cro_general_mle,0.575,0.1121
SCENE_000021,All,cro_sceneid,0.5813,0.1145
