data_type,feature,bins,sample_size,good,bad,bin_bad_rate,total_bad_rate,woe,bin_iv,bin_ks,iv,ksmax,lift,cum_lift
train,aft_v5_f0,"(0.0292, 0.148]",139627,113867,25760,18.449%,20.454%,-0.1281,0.0032,0.0246444804,0.014,0.0454,0.9019844713,0.9019844713
train,aft_v5_f0,"(0.148, 0.172]",139622,112603,27019,19.352%,20.454%,-0.0692,0.0009,0.0381959354,0.014,0.0454,0.9461021417,0.9240429115
train,aft_v5_f0,"(0.172, 0.192]",139628,111891,27737,19.865%,20.454%,-0.0366,0.0003,0.0454370452,0.014,0.0454,0.9712020226,0.9397628779
train,aft_v5_f0,"(0.192, 0.218]",139625,111061,28564,20.458%,20.454%,0.0002,0,0.0453919855,0.014,0.0454,1.000180648,0.9548672663
train,aft_v5_f0,"(0.218, 0.743]",139621,105907,33714,24.147%,20.454%,0.2135,0.0097,0,0.014,0.0454,1.180543916,1.000001432
train,aft_v5_f1,"(0.0, 0.21]",139615,115112,24503,17.550%,20.454%,-0.189,0.0067,0.0356933915,0.0201,0.0538,0.8580444535,0.8580444535
train,aft_v5_f1,"(0.21, 0.24]",139626,112539,27087,19.400%,20.454%,-0.0661,0.0009,0.0486574033,0.0201,0.0538,0.9484560697,0.9032520424
train,aft_v5_f1,"(0.24, 0.265]",139623,111647,27976,20.037%,20.454%,-0.0259,0.0001,0.0537893765,0.0201,0.0538,0.9796056089,0.928703535
train,aft_v5_f1,"(0.265, 0.297]",139625,110807,28818,20.640%,20.454%,0.0113,0,0.0515120966,0.0201,0.0538,1.009074566,0.9487966886
train,aft_v5_f1,"(0.297, 0.784]",139623,105213,34410,24.645%,20.454%,0.2405,0.0124,0,0.0201,0.0538,1.204898091,1.000017189
train,aft_v5_f2,"(0.0272, 0.152]",139627,115091,24536,17.573%,20.454%,-0.1874,0.0066,0.0354211143,0.0205,0.0579,0.8591262029,0.8591262029
train,aft_v5_f2,"(0.152, 0.172]",139621,112879,26742,19.153%,20.454%,-0.0819,0.0013,0.0514101615,0.0205,0.0579,0.9364093668,0.8977669546
train,aft_v5_f2,"(0.172, 0.189]",139628,111804,27824,19.927%,20.454%,-0.0327,0.0002,0.0578860632,0.0205,0.0579,0.9742482992,0.923261223
train,aft_v5_f2,"(0.189, 0.213]",139622,110262,29360,21.028%,20.454%,0.0349,0.0002,0.050828468,0.0205,0.0579,1.028075017,0.9494642023
train,aft_v5_f2,"(0.213, 0.703]",139623,105291,34332,24.589%,20.454%,0.2375,0.0121,0,0.0205,0.0579,1.202166849,1.000004297
