feature_name,diff_ratio
rela_score_filled,0.0262
is_tb_mobile_filled,0.0001
is_tb_default_receive_mobile_filled,0.0007
is_tb_default_return_mobile_filled,0.0
is_cbu_mobile_filled,0.0
is_tb_login_mobile_filled,0.0001
last_login_days_filled,0.0276
login_days_filled,0.0247
is_tb_receiver_mobile_filled,0.0002
first_receiver_days_filled,0.0326
last_receiver_days_filled,0.0321
receiver_days_filled,0.0113
is_tb_seller_refund_mobile_filled,0.0
first_seller_refund_days_filled,0.0351
last_seller_refund_days_filled,0.0351
seller_refund_days_filled,0.0025
is_second_verify_mobile_filled,0.0002
first_second_verify_days_filled,0.0323
last_second_verify_days_filled,0.0323
second_verify_days_filled,0.001
is_tb_recharge_mobile_filled,0.0002
first_recharge_days_filled,0.0329
recharge_days_filled,0.0011
monetary_score_filled,0.0183
frequency_score_filled,0.0249
recency_score_filled,0.0203
rfm_model_score_filled,0.0326
reg_days_filled,0.0325
activate_days_filled,0.0326
last_visit_days_filled,0.0278
seller_rate_num_filled,0.0004
buyer_rate_num_filled,0.0107
seller_sum_filled,0.0001
buyer_sum_filled,0.009
seller_good_num_filled,0.0001
buyer_good_num_filled,0.009
seller_num_filled,0.0001
buyer_num_filled,0.009
seller_star_num_filled,0.0
buyer_star_num_filled,0.0006
member_status_filled,0.0001
is_active_filled,0.0034
tq_score_filled,0.0181
tq_level_filled,0.0005
loss_level_filled,0.0001
reg_ip_city_level_filled,0.0001
is_high_value_filled,0.0001
id_gender_filled,0.0
id_age_filled,0.0
id_zodiac_filled,0.0
id_constellation_filled,0.0
rela_punish_member_cnt_filled,0.0017
rela_punish_member_score_filled,0.011
rela_punish_score_filled,0.0188
rela_member_cnt_filled,0.0011
rela_rfm_model_score_filled,0.0316
sum_pay_amt_30d_filled,0.016
order_cnt_90d_filled,0.0253
order_day_cnt_90d_filled,0.0242
sum_pay_amt_90d_filled,0.0169
std_pay_amt_90d_filled,0.0227
nignt_order_cnt_90d_filled,0.016
order_cnt_180d_filled,0.0249
order_action_cnt_180d_filled,0.0243
order_day_cnt_180d_filled,0.023
sum_pay_amt_180d_filled,0.0139
max_pay_amt_180d_filled,0.0067
avg_pay_amt_180d_filled,0.0185
nignt_order_cnt_180d_filled,0.0152
order_month_cnt_180d_filled,0.0135
order_seller_cnt_180d_filled,0.0209
order_product_cnt_180d_filled,0.0238
order_cate_cnt_180d_filled,0.0188
receiver_addr_cnt_180d_filled,0.0137
virtual_order_cnt_180d_filled,0.0049
virtual_pay_amt_180d_filled,0.0042
x1_filled,0.0212
x2_filled,0.0225
x5_filled,0.0267
x7_filled,0.026
x8_filled,0.023
x10_2_filled,0.0231
x11_filled,0.0278
x15_filled,0.0303
x19_filled,0.0299
x20_filled,0.0299
x21_filled,0.0295
x22_filled,0.0274
x23_filled,0.0291
x25_filled,0.0273
x26_filled,0.0306
x28_filled,0.0301
x29_filled,0.0297
x31_filled,0.0327
x32_filled,0.0305
x36_filled,0.0369
recent_login_days_filled,0.0273
login_cnt_90d_filled,0.0274
nignt_login_cnt_90d_filled,0.0208
login_day_cnt_90d_filled,0.0273
login_day_hour_cnt_90d_filled,0.0278
login_ip_city_cnt_90d_filled,0.014
login_cnt_180d_filled,0.0276
nignt_login_cnt_180d_filled,0.0205
login_day_cnt_180d_filled,0.0268
login_day_hour_cnt_180d_filled,0.0271
login_ip_city_cnt_180d_filled,0.0102
x40_filled,0.0271
x41_filled,0.0192
x43_filled,0.0273
x44_filled,0.0204
x46_filled,0.0303
x47_filled,0.0258
x48_filled,0.0294
total_pay_order_cnt_filled,0.0151
total_pay_order_fee_filled,0.0151
total_order_cnt_filled,0.0152
total_order_fee_filled,0.0152
total_success_order_cnt_filled,0.0156
total_success_order_fee_filled,0.0156
total_tmall_success_order_cnt_filled,0.0106
total_tmall_success_order_fee_filled,0.0015
cold_account_value_score_filled,0.038
login_source_focus_score_filled,0.0463
machine_login_freq_score_filled,0.0574
ovs_mem_risk_score_filled,0.0
jxs_punish_cnt_filled,0.0009
qz_punish_cnt_filled,0.0011
eyxw_punish_cnt_filled,0.0009
ljzc_punish_cnt_filled,0.0009
sellercz_punish_cnt_filled,0.0009
jh_punish_cnt_filled,0.0009
buyercz_punish_cnt_filled,0.0009
zhbd_punish_cnt_filled,0.0009
jhcf_punish_cnt_filled,0.0009
rz_punish_cnt_filled,0.0009
qz3_punish_cnt_filled,0.0009
punish_risk_score_filled,0.0013
huangniu_score_filled,0.0244
ljzc_score_filled,0.0
last_city_level_filled,0.0033
last_city_exist_days_filled,0.0259
umid_cnt_365d_filled,0.0049
umid_cnt_1095d_filled,0.0039
y1_most_umid_day_cnt_filled,0.0266
y1_most_same_umid_member_cnt_filled,0.0026
y1_same_umid_member_cnt_filled,0.0028
y1_same_umid_bpunish_member_cnt_filled,0.001
devicetype_value_filled,0.0008
total_a_punish_cnt_filled,0.0004
std_valid_a_punish_point_filled,0.0004
y1_a_prohibit_punish_point_filled,0.0004
total_b_punish_cnt_filled,0.0006
std_valid_b_punish_point_filled,0.0004
y1_b_prohibit_punish_point_filled,0.0004
d30_ip_login_cnt_filled,0.0275
d30_login_prov_cnt_filled,0.0169
d30_most_login_city_level_filled,0.0167
d30_most_login_umid_devicetype_value_filled,0.0062
punish_jinxianshou_tag_filled,0.0013
punish_qizha_tag_filled,0.0013
punish_eyixingwei_tag_filled,0.0013
punish_jiahuo_tag_filled,0.0013
punish_zhishichanquan_tag_filled,0.0013
punish_zhanghubeidao_tag_filled,0.0013
punish_jiaohuchufa_tag_filled,0.0013
punish_renzheng_tag_filled,0.0013
punish_yingxiaofanzuobi_tag_filled,0.0013
punish_xinxixielou_tag_filled,0.0013
punish_shanpinpinzhiguanli_tag_filled,0.0013
punish_qizha_or_shuan_ratio_filled,0.0015
punish_qizha_or_shuan_filled,0.0013
punish_seller_qizha_or_shuan_ratio_filled,0.0026
seller_punish_qizha_or_shuan_filled,0.0013
punish_dongjie_or_jianguan_tag_filled,0.0013
seller_punish_dongjie_or_jianguan_tag_filled,0.0013
seller_is_eyi_filled,0.0013
crt_ord_cnt_sum_1_30d_filled,0.0218
crt_ord_cnt_sum_1_90d_filled,0.0224
crt_ord_cnt_sum_1_180d_filled,0.0228
crt_ord_cnt_sum_1_365d_filled,0.0228
crt_amt_sum_1_30d_filled,0.0234
crt_amt_sum_1_90d_filled,0.0235
crt_amt_sum_1_180d_filled,0.0233
crt_amt_sum_1_365d_filled,0.0236
pay_ord_cnt_sum_1_30d_filled,0.0215
pay_ord_cnt_sum_1_90d_filled,0.0225
pay_ord_cnt_sum_1_180d_filled,0.0225
pay_ord_cnt_sum_1_365d_filled,0.0227
itm_cnt_crt_amt_30d_filled,0.0213
itm_cnt_crt_amt_90d_filled,0.022
itm_cnt_crt_amt_180d_filled,0.0218
itm_cnt_crt_amt_365d_filled,0.0221
pay_amt_sum_1_30d_filled,0.0233
pay_amt_sum_1_90d_filled,0.0235
pay_amt_sum_1_180d_filled,0.0234
pay_amt_sum_1_365d_filled,0.0237
itm_cnt_pay_amt_30d_filled,0.0215
itm_cnt_pay_amt_90d_filled,0.0218
itm_cnt_pay_amt_180d_filled,0.0214
itm_cnt_pay_amt_365d_filled,0.0217
ds_cnt_pay_amt_30d_filled,0.021
ds_cnt_pay_amt_90d_filled,0.0212
ds_cnt_pay_amt_180d_filled,0.0209
ds_cnt_pay_amt_365d_filled,0.0212
crt_ord_cnt_sum_16_30_1625_50008165_30d_filled,0.0075
crt_ord_cnt_sum_16_30_1625_50008165_90d_filled,0.0083
crt_ord_cnt_sum_16_30_1625_50008165_180d_filled,0.0089
crt_ord_cnt_sum_16_30_1625_50008165_365d_filled,0.0087
