biz1_encode,biz2_encode,biz3_encode,month,Summary_Level,Sample_Size,g_Sample_Size,b_Sample_Size,Sample_Size_Restored,g_Sample_Size_Restored,b_Sample_Size_Restored,Bad_Rate_Before_Restore,Bad_Rate_After_Restore,Ks_Before_Restore,Ks_After_Restore,Prev_Version_Ks_Before_Restore,Prev_Version_Ks_After_Restore,Monthly_PSI
0,0,0,202405,Level_1_Detail_by_month,7035,435,6600,70350.0,4350.0,66000.0,0.9381663113006397,0.9381663113006397,0.03676593521421112,0.03676593521421112,,,0.0
0,0,10,202405,Level_1_Detail_by_month,6905,433,6472,6905.0,433.0,6472.0,0.9372918175235336,0.9372918175235336,0.06731002549265341,0.06731002549265341,,,0.0
0,5,5,202405,Level_1_Detail_by_month,6910,441,6469,6910.0,441.0,6469.0,0.9361794500723589,0.9361794500723589,0.07697166566941094,0.07697166566941094,,,0.0
0,5,15,202405,Level_1_Detail_by_month,6878,423,6455,6878.0,423.0,6455.0,0.9384995638266939,0.9384995638266939,0.053642877678344164,0.053642877678344164,,,0.0
1,1,1,202405,Level_1_Detail_by_month,6946,415,6531,6946.0,415.0,6531.0,0.9402533832421538,0.9402533832421538,0.059564671178974016,0.059564671178974016,,,0.0
1,1,11,202405,Level_1_Detail_by_month,6953,411,6542,6953.0,411.0,6542.0,0.9408888249676398,0.9408888249676398,0.06438725331583828,0.06438725331583828,,,0.0
1,6,6,202405,Level_1_Detail_by_month,6952,467,6485,6952.0,467.0,6485.0,0.932825086306099,0.932825086306099,0.07311321299853557,0.07311321299853557,,,0.0
1,6,16,202405,Level_1_Detail_by_month,6922,429,6493,69220.0,4290.0,64930.0,0.9380236925744004,0.9380236925744004,0.08669117216783939,0.08669117216783939,,,0.0
2,2,2,202405,Level_1_Detail_by_month,7139,432,6707,7139.0,432.0,6707.0,0.9394873231545035,0.9394873231545035,0.06861646759328288,0.06861646759328288,,,0.0
2,2,12,202405,Level_1_Detail_by_month,6881,408,6473,68810.0,4080.0,64730.0,0.9407062926900159,0.9407062926900159,0.038036580304916634,0.038036580304916634,,,0.0
2,7,7,202405,Level_1_Detail_by_month,7003,447,6556,7003.0,447.0,6556.0,0.9361702127659575,0.9361702127659575,0.07794386821232457,0.07794386821232457,,,0.0
2,7,17,202405,Level_1_Detail_by_month,6973,428,6545,6973.0,428.0,6545.0,0.9386203929442134,0.9386203929442134,0.05703005076287093,0.05703005076287093,,,0.0
3,3,3,202405,Level_1_Detail_by_month,6935,417,6518,6935.0,417.0,6518.0,0.9398702235039654,0.9398702235039654,0.09467859894349018,0.09467859894349018,,,0.0
3,3,13,202405,Level_1_Detail_by_month,7008,425,6583,7008.0,425.0,6583.0,0.9393550228310502,0.9393550228310502,0.10943910786249794,0.10943910786249794,,,0.0
3,8,8,202405,Level_1_Detail_by_month,6882,428,6454,68820.0,4280.0,64540.0,0.937808776518454,0.937808776518454,0.08880097541479745,0.08880097541479745,,,0.0
3,8,18,202405,Level_1_Detail_by_month,7049,443,6606,7049.0,443.0,6606.0,0.9371542062703929,0.9371542062703929,0.05068242906612702,0.05068242906612702,,,0.0
4,4,4,202405,Level_1_Detail_by_month,6997,446,6551,69970.0,4460.0,65510.0,0.9362583964556238,0.9362583964556238,0.04285485459721687,0.04285485459721687,,,0.0
4,4,14,202405,Level_1_Detail_by_month,6876,379,6497,6876.0,379.0,6497.0,0.9448807446189645,0.9448807446189645,0.07296608989007713,0.07296608989007713,,,0.0
4,9,9,202405,Level_1_Detail_by_month,6905,453,6452,6905.0,453.0,6452.0,0.9343953656770456,0.9343953656770456,0.12979906636065414,0.12979906636065414,,,0.0
4,9,19,202405,Level_1_Detail_by_month,7027,453,6574,7027.0,453.0,6574.0,0.9355343674398747,0.9355343674398747,0.06963380391414165,0.06963380391414165,,,0.0
0,0,0,202406,Level_1_Detail_by_month,8161,522,7639,81610.0,5220.0,76390.0,0.9360372503369685,0.9360372503369685,0.07590209346171267,0.07590209346171267,,,0.015239903968190426
0,0,10,202406,Level_1_Detail_by_month,8104,531,7573,8104.0,531.0,7573.0,0.9344768015794669,0.9344768015794669,0.05830605956387336,0.05830605956387336,,,0.014183697992641183
