group_id,cnt,max_score,min_score,mode_score,mean_score,median_score,std_score
1,1053.0,99.75,0.44,25.35,49.38974358974358,48.44,29.011569467317774
2,985.0,99.88,0.03,7.09,50.057187817258885,49.79,29.157807913270304
3,996.0,99.98,0.09,2.63,51.16121485943775,52.385,29.152008069814553
4,971.0,99.87,0.02,3.34,51.67566426364573,51.49,28.374516151859105
5,962.0,99.83,0.02,51.31,49.139781704781704,48.114999999999995,27.997575602157045
6,1021.0,99.88,0.11,2.23,49.382575905974534,49.82,28.63411289527545
7,1017.0,99.99,0.03,7.61,50.12355948869224,49.4,27.607108470554667
8,967.0,99.95,0.37,65.49,49.538241985522234,49.85,29.2222559120867
9,994.0,99.41,0.02,37.43,49.9627967806841,48.695,28.904679480946044
10,1034.0,99.95,0.01,28.53,49.90711798839458,50.66,29.79052374085928
