group_id,apply_month,cnt,max_score,min_score,mode_score,mean_score,median_score,std_score
1,202301,78.0,99.75,0.44,0.44,43.55935897435898,35.635000000000005,28.500648766356708
1,202302,84.0,98.92,2.0,70.59,51.652976190476195,53.805,28.750418699088893
1,202303,84.0,99.17,2.83,2.83,46.53845238095238,41.5,27.93621480401413
1,202304,82.0,98.56,0.57,0.57,51.7679268292683,51.815,29.10136163026261
1,202305,100.0,99.62,2.04,2.04,50.4767,45.945,28.376420252980065
1,202306,78.0,98.95,1.78,1.78,45.176923076923075,46.16,27.673506872411068
1,202307,102.0,99.65,0.77,0.77,47.96323529411764,46.31,29.878347143761122
1,202308,89.0,99.32,1.39,1.39,51.9838202247191,54.45,28.246325726689175
1,202309,95.0,95.57,0.65,0.65,53.07505263157894,53.23,28.415162826467267
1,202310,90.0,99.32,1.26,1.26,47.74622222222222,47.655,31.034599704627524
1,202311,74.0,99.55,1.15,1.15,50.09905405405405,46.455,30.419660016694543
1,202312,97.0,99.6,1.68,1.68,51.338350515463915,53.59,29.616598903050843
2,202301,86.0,97.65,0.72,0.72,50.94209302325583,48.29,29.10166027672361
2,202302,83.0,98.6,0.41,0.41,52.55518072289156,52.68,29.909334229506126
2,202303,80.0,99.16,3.42,73.98,47.635375,44.57,28.21236361273349
2,202304,71.0,98.69,0.44,0.44,48.48746478873239,46.99,31.336905842258894
2,202305,77.0,99.86,0.21,0.21,53.14402597402597,51.53,31.350039253720926
2,202306,83.0,98.06,1.61,1.61,53.622409638554224,57.43,28.022612149544667
2,202307,80.0,99.61,0.14,0.14,48.52225,49.455,28.91049185291069
2,202308,80.0,97.6,0.09,25.18,49.047375,51.065,28.496849026068777
2,202309,96.0,99.88,0.7,26.55,47.50958333333333,47.2,27.76685975902196
2,202310,82.0,99.82,0.03,0.03,45.6,43.935,30.674134960183565
2,202311,81.0,98.33,2.9,2.9,52.79444444444445,51.7,25.929542707113058
2,202312,86.0,96.9,1.12,1.12,50.988372093023244,54.879999999999995,30.84637608080958
3,202301,89.0,99.04,0.17,0.17,50.871460674157305,55.18,29.462694846447995
3,202302,77.0,98.55,0.82,0.82,44.80805194805194,46.19,30.28159085714241
3,202303,86.0,98.88,0.61,80.59,56.098139534883714,57.59,27.570478649608827
3,202304,85.0,99.91,0.35,0.35,53.81388235294118,56.21,29.09135238447025
3,202305,89.0,99.59,1.22,77.68,50.79674157303371,50.24,27.90026131252997
