State,PriceToRentRatio,UnemploymentRate,EducationRevenuePerStudent,AvgViolentCrimeRate
ILLINOIS,10.6949,3.6000,32908958.0000,280.0775
OKLAHOMA,10.8667,3.1000,6103728.0000,324.3250
KENTUCKY,11.2411,4.0000,7745928.0000,268.2500
TEXAS,11.2754,3.5000,58284155.0000,315.6951
OHIO,11.5336,4.3000,23766529.0000,354.6846
MAINE,11.5849,3.1000,2845391.0000,260.5000
GEORGIA,11.7814,3.5000,19403453.0000,398.6571
IOWA,11.9384,2.7000,6919477.0000,382.8750
CONNECTICUT,11.9443,3.7000,11419673.0000,346.8800
NEBRASKA,12.3259,3.1000,4398811.0000,216.5500
KANSAS,12.3850,3.1000,6069563.0000,347.1000
MISSOURI,13.1207,3.4000,10893231.0000,345.6231
WISCONSIN,13.9206,3.2000,11697466.0000,320.2846
VIRGINIA,14.5156,2.7000,16259274.0000,355.4500
ARIZONA,15.1093,4.7000,8503034.0000,259.9316
COLORADO,16.8281,2.8000,10123271.0000,268.7882
CALIFORNIA,16.8581,4.1000,89217262.0000,332.1824
OREGON,17.0500,3.4000,7418055.0000,250.0000
IDAHO,17.3075,2.8000,2266490.0000,291.6375
WASHINGTON,17.4617,3.7000,14964364.0000,321.3708
MONTANA,18.3389,3.5000,1800909.0000,309.4667
WYOMING,18.3747,4.2000,2044669.0000,190.5000
UTAH,19.4537,2.4000,4952923.0000,193.7286
