RegionName,State,non_missing,total,missing_rate
Doylestown Township,PA,12,120,0.900000
Mundy Township,MI,36,240,0.850000
Sulphur Springs,TX,58,360,0.838889
Vredenburgh,AL,46,240,0.808333
Blue Mountain,AR,46,240,0.808333
Booneville,AR,46,240,0.808333
Paris,AR,46,240,0.808333
Scranton,AR,46,240,0.808333
Snow Lake,AR,46,240,0.808333
Subiaco,AR,46,240,0.808333
Desert Center,CA,46,240,0.808333
Hinkley,CA,46,240,0.808333
Orange Springs,FL,46,240,0.808333
Chatsworth,IA,46,240,0.808333
Boody,IL,46,240,0.808333
Pine Ridge,KY,46,240,0.808333
Campti,LA,46,240,0.808333
Grand Chenier,LA,46,240,0.808333
Hosston,LA,46,240,0.808333
Kentwood,LA,46,240,0.808333
Lettsworth,LA,46,240,0.808333
Roseland,LA,46,240,0.808333
Patten,ME,46,240,0.808333
Lupus,MO,46,240,0.808333
Revere,MO,46,240,0.808333
Uplands Park,MO,46,240,0.808333
Montrose,MS,46,240,0.808333
Pachuta,MS,46,240,0.808333
Paulding,MS,46,240,0.808333
Vossburg,MS,46,240,0.808333
Alexander,ND,46,240,0.808333
Roseglen,ND,46,240,0.808333
Ainsworth,NE,46,240,0.808333
Johnstown,NE,46,240,0.808333
Long Pine,NE,46,240,0.808333
Natural Bridge,NY,46,240,0.808333
New Woodville,OK,46,240,0.808333
Vinson,OK,46,240,0.808333
Hildale,UT,46,240,0.808333
Withams,VA,46,240,0.808333
Chiniak,AK,48,240,0.800000
Old Harbor,AK,48,240,0.800000
Ouzinkie,AK,48,240,0.800000
Mellwood,AR,48,240,0.800000
Saint Michaels,AZ,48,240,0.800000
Darwin,CA,48,240,0.800000
Goodyears Bar,CA,48,240,0.800000
Port Costa,CA,48,240,0.800000
Tecopa,CA,48,240,0.800000
Walsh,CO,48,240,0.800000
Loughman,FL,48,240,0.800000
Arispe,IA,48,240,0.800000
Bassett,IA,48,240,0.800000
Bevington,IA,48,240,0.800000
Buckeye,IA,48,240,0.800000
Cromwell,IA,48,240,0.800000
Franklin,IA,48,240,0.800000
Houghton,IA,48,240,0.800000
Kesley,IA,48,240,0.800000
Matlock,IA,48,240,0.800000
Melvin,IA,48,240,0.800000
North Washington,IA,48,240,0.800000
Owasa,IA,48,240,0.800000
Saint Paul,IA,48,240,0.800000
Avery,ID,48,240,0.800000
Silverton,ID,48,240,0.800000
Warren,ID,48,240,0.800000
Wilsonville,IL,48,240,0.800000
Hazelton,KS,48,240,0.800000
Trout,LA,48,240,0.800000
Tullos,LA,48,240,0.800000
Urania,LA,48,240,0.800000
Annapolis Junction,MD,24,120,0.800000
Tylerton,MD,48,240,0.800000
Leeds,ME,48,240,0.800000
Reed Plantation,ME,48,240,0.800000
Upton,ME,48,240,0.800000
Benton Heights,MI,48,240,0.800000
Wallace,MI,48,240,0.800000
Arco,MN,48,240,0.800000
Brownington,MO,48,240,0.800000
Clinton,MO,48,240,0.800000
Deepwater,MO,48,240,0.800000
Dennis Acres,MO,48,240,0.800000
Kahoka,MO,48,240,0.800000
Mercer,MO,48,240,0.800000
Neck City,MO,48,240,0.800000
Pagedale,MO,48,240,0.800000
Ritchey,MO,48,240,0.800000
River Bend,MO,48,240,0.800000
South Lineville,MO,48,240,0.800000
Tightwad,MO,48,240,0.800000
Urich,MO,48,240,0.800000
Wayland,MO,48,240,0.800000
Shelby,MS,48,240,0.800000
Shelby,MT,48,240,0.800000
Brocket,ND,48,240,0.800000
Butte,ND,48,240,0.800000
Comstock,NE,48,240,0.800000
Sargent,NE,48,240,0.800000
Holland Township,NJ,48,240,0.800000
Amargosa Valley,NV,48,240,0.800000
Barneveld,NY,48,240,0.800000
Osgood,OH,48,240,0.800000
Millstone Township,PA,48,240,0.800000
Clio,SC,48,240,0.800000
Faith,SD,48,240,0.800000
White Owl,SD,48,240,0.800000
Bevil Oaks,TX,48,240,0.800000
Brashear,TX,48,240,0.800000
Cumby,TX,48,240,0.800000
Dike,TX,48,240,0.800000
Encinal,TX,48,240,0.800000
Miami,TX,48,240,0.800000
Ranchitos Las Lomas,TX,48,240,0.800000
Saltillo,TX,48,240,0.800000
Sulphur Bluff,TX,48,240,0.800000
Tira,TX,48,240,0.800000
Union Center,WI,48,240,0.800000
Rockport,WV,48,240,0.800000
Big Flat,AR,50,240,0.791667
Brickeys,AR,50,240,0.791667
Haynes,AR,50,240,0.791667
La Grange,AR,50,240,0.791667
Rondo,AR,50,240,0.791667
Attica,KS,50,240,0.791667
Hallock,MN,50,240,0.791667
Humboldt,MN,50,240,0.791667
Elwood-Magnolia,NJ,50,240,0.791667
Corona,NM,50,240,0.791667
Milton Center,OH,50,240,0.791667
Bessie,OK,50,240,0.791667
Canute,OK,50,240,0.791667
Westfall,OR,50,240,0.791667
Galloway,WV,50,240,0.791667
Whitmer,WV,50,240,0.791667
Leroy,AL,52,240,0.783333
Belleville,AR,52,240,0.783333
Cooper,IA,52,240,0.783333
Anthony,KS,52,240,0.783333
Danville,KS,52,240,0.783333
Seward,KS,52,240,0.783333
Stanville,KY,52,240,0.783333
Long Pond,ME,52,240,0.783333
Ashburn,MO,52,240,0.783333
Brixey,MO,52,240,0.783333
Patterson,MO,52,240,0.783333
Zanoni,MO,52,240,0.783333
Circle,MT,52,240,0.783333
Richey,MT,52,240,0.783333
Fort Bragg,NC,52,240,0.783333
Crescent Valley,NV,52,240,0.783333
Eastvale,PA,52,240,0.783333
Millsboro,PA,52,240,0.783333
Menard,TX,52,240,0.783333
Bluffton,AR,54,240,0.775000
Camp,AR,54,240,0.775000
Corinth,AR,54,240,0.775000
Glencoe,AR,54,240,0.775000
Gosnell,AR,54,240,0.775000
Guion,AR,54,240,0.775000
Meldrim,GA,54,240,0.775000
Sun River Terrace,IL,54,240,0.775000
Bluff City,KS,54,240,0.775000
Fowler,KS,54,240,0.775000
Kingman,ME,54,240,0.775000
Springfield,ME,54,240,0.775000
Alpha,MI,54,240,0.775000
Napoleon,MI,54,240,0.775000
Livonia,MO,54,240,0.775000
Lucerne,MO,54,240,0.775000
Pine Lawn,MO,54,240,0.775000
Powersville,MO,54,240,0.775000
Unionville,MO,54,240,0.775000
Polebridge,MT,54,240,0.775000
Ramona,SD,54,240,0.775000
High Island,TX,54,240,0.775000
Mereta,TX,54,240,0.775000
Brownsburg,VA,54,240,0.775000
Kittitas,WA,54,240,0.775000
Roslyn,WA,54,240,0.775000
South Cle Elum,WA,54,240,0.775000
Vantage,WA,54,240,0.775000
Packwaukee,WI,54,240,0.775000
Verner,WV,54,240,0.775000
Cash,AR,56,240,0.766667
Woodruff,AZ,56,240,0.766667
Beaver,IA,56,240,0.766667
Ralston,IA,56,240,0.766667
Hurst,IL,56,240,0.766667
Lakin,KS,56,240,0.766667
Natoma,KS,56,240,0.766667
Mattawamkeag,ME,56,240,0.766667
Spalding,MI,56,240,0.766667
Port Gibson,MS,56,240,0.766667
Verdel,NE,56,240,0.766667
Turley,OK,56,240,0.766667
Ashland,PA,56,240,0.766667
