State,SocioeconomicScore,AffordabilityIndex,PriceToRentRatio,Income,UnemploymentRate
Hawaii,0.729173,3304.654522,21.887311,72330.000000,2.508333
New Jersey,0.722179,5290.980767,14.269566,75500.000000,3.458333
Connecticut,0.675564,5645.648985,12.963434,73187.000000,3.583333
Rhode Island,0.656600,5771.086378,12.931707,74630.000000,3.525000
New Hampshire,0.649010,5133.529387,12.356996,63435.000000,2.550000
Massachusetts,0.641630,4838.434338,14.011041,67791.500000,3.050000
California,0.640543,4616.398709,12.307971,56818.500000,4.091667
Maryland,0.625990,5168.117136,13.769618,71163.000000,3.383333
North Dakota,0.624199,6263.510426,9.382438,58767.000000,2.150000
New York,0.585590,8840.476998,6.071335,53673.500000,3.891667
Utah,0.582468,3608.371259,15.290832,55175.000000,2.541667
Minnesota,0.568545,6896.503941,7.923580,54645.000000,3.275000
Iowa,0.561546,6253.563434,8.359234,52275.000000,2.658333
Colorado,0.546022,3929.133768,13.096271,51457.000000,2.666667
Texas,0.545477,6402.087153,7.546133,48311.000000,3.525000
Virginia,0.534393,5771.432630,8.922395,51495.000000,2.725000
Wisconsin,0.534006,4078.833705,13.111714,53480.500000,3.208333
Delaware,0.518324,3838.607261,15.083856,57901.000000,3.550000
Maine,0.510437,7677.503840,6.490000,49827.000000,2.900000
Wyoming,0.506916,3300.157437,17.467045,57644.000000,3.733333
Nevada,0.503100,4782.610647,11.475323,54882.000000,4.108333
Illinois,0.500806,9281.685108,5.469427,50765.500000,3.975000
South Dakota,0.493856,4556.357065,11.203907,51049.000000,2.741667
Alaska,0.481532,5591.169970,11.912891,66607.000000,5.600000
Kansas,0.480619,5976.163837,8.293280,49562.000000,3.150000
Pennsylvania,0.474940,5670.040976,8.918983,50571.000000,4.266667
Indiana,0.466858,5934.385897,8.482933,50341.000000,3.316667
Nebraska,0.455269,6537.133224,7.954557,52000.000000,3.116667
Florida,0.439208,4331.967754,10.736691,46511.000000,3.241667
Washington,0.437471,4273.745857,12.204516,52159.000000,4.183333
Idaho,0.418389,3700.869210,12.538136,46402.000000,2.883333
Ohio,0.412398,4782.054145,10.441433,49931.500000,4.125000
Oregon,0.410955,3735.200776,12.574692,46969.000000,3.725000
Montana,0.409527,3168.262301,14.765507,46781.000000,3.500000
Michigan,0.407865,4905.313877,9.220817,45231.000000,4.075000
Oklahoma,0.389992,7466.471461,6.182171,46159.000000,3.116667
Missouri,0.383007,4449.051851,9.651270,42939.000000,3.233333
South Carolina,0.347481,5355.375037,7.581355,40601.000000,2.766667
Tennessee,0.339748,5954.076359,6.885703,40998.000000,3.333333
Georgia,0.332770,5539.721091,7.287190,40369.000000,3.600000
North Carolina,0.332427,5217.756118,8.348800,43562.000000,3.875000
Alabama,0.323235,5088.665735,7.721670,39293.000000,3.191667
Arizona,0.288975,4234.367687,11.299680,47847.000000,4.816667
Arkansas,0.287379,6114.436582,6.211856,37982.000000,3.491667
Louisiana,0.196791,5100.469216,8.115724,41394.000000,4.633333
Kentucky,0.184588,5459.958282,7.422767,40528.000000,4.083333
New Mexico,0.142938,3121.337960,11.562029,36089.000000,4.966667
Mississippi,0.017047,5493.470786,6.657267,36571.500000,5.491667
District of Columbia,,,19.386944,,
Vermont,,,,55741.500000,2.100000
West Virginia,,7372.243951,5.438507,40094.000000,4.925000
