State,Year,Cluster,AnomalyScore
New York,2012,2,6.998740
New York,2013,1,4.706881
Nevada,2013,0,4.378895
Alabama,2011,3,4.109642
New York,2015,3,3.908589
New York,2011,3,3.887787
New York,2016,3,3.817358
New York,2014,3,3.765869
Maryland,2011,2,3.446351
South Dakota,2014,1,3.414404
Hawaii,2016,2,3.265511
California,2013,2,3.134663
Oklahoma,2014,3,3.082989
California,2011,1,3.072974
District of Columbia,2014,2,2.985175
Nevada,2011,1,2.936031
Rhode Island,2014,2,2.921356
Florida,2011,1,2.917377
District of Columbia,2013,2,2.913895
New Jersey,2011,2,2.854239
Kansas,2012,1,2.834298
District of Columbia,2016,2,2.795321
New Jersey,2012,2,2.735710
South Carolina,2011,1,2.612647
Hawaii,2012,2,2.501321
Rhode Island,2013,2,2.488436
Hawaii,2015,2,2.466900
Arizona,2013,0,2.449693
Massachusetts,2011,2,2.431165
Ohio,2012,3,2.398853
South Dakota,2015,0,2.396076
District of Columbia,2015,2,2.388952
Nevada,2014,0,2.377434
Mississippi,2015,3,2.314220
Hawaii,2014,2,2.265154
Wisconsin,2016,0,2.262931
District of Columbia,2011,2,2.253121
Florida,2013,0,2.219390
Wyoming,2016,0,2.212930
Montana,2016,0,2.211499
California,2014,2,2.199011
California,2012,1,2.172601
Arizona,2011,1,2.161442
Alabama,2012,1,2.160847
Connecticut,2011,1,2.149258
Illinois,2013,3,2.136040
Colorado,2015,0,2.129567
Iowa,2015,3,2.047550
Maryland,2012,0,2.042404
Montana,2015,0,2.028274
New Hampshire,2012,0,2.011442
Utah,2013,0,1.999164
Ohio,2013,3,1.993095
Utah,2016,0,1.985547
Alabama,2015,3,1.974243
Delaware,2012,1,1.967104
Nebraska,2015,3,1.954561
Virginia,2011,3,1.952705
Oregon,2011,1,1.922295
Massachusetts,2012,2,1.907509
Michigan,2013,3,1.899211
New Hampshire,2014,0,1.892379
Connecticut,2012,1,1.880345
Arizona,2012,3,1.874390
Colorado,2016,0,1.865613
