State,HousingHealthScore,ZHVI_2017,Rent_2017,DaysOnZillow_2017,UnemploymentRate,TOTAL_REVENUE,Income
TX,0.541371,129736.000000,1011.375000,67.500000,4.358333,58284155.000000,48311.000000
NY,0.536243,144056.000000,1720.250000,130.000000,4.641667,66912661.000000,53673.500000
NE,0.535791,108742.750000,820.000000,62.500000,2.958333,4398811.000000,52000.000000
KS,0.512901,88504.250000,705.500000,66.500000,3.641667,6069563.000000,49562.000000
IL,0.505045,98435.000000,1075.000000,92.500000,4.958333,32908958.000000,50765.500000
MN,0.487141,146992.500000,1245.625000,74.500000,3.441667,12186135.000000,54645.000000
VA,0.481124,171409.750000,1371.875000,79.500000,3.625000,16259274.000000,51495.000000
IA,0.475656,102915.000000,674.000000,78.000000,3.091667,6919477.000000,52275.000000
HI,0.473814,532083.500000,1800.000000,80.500000,2.233333,3030519.000000,72330.000000
ME,0.464536,146938.750000,1350.000000,90.500000,3.375000,2845391.000000,49827.000000
CA,0.462820,369930.500000,1750.000000,59.500000,4.833333,89217262.000000,56818.500000
TN,0.456426,112680.000000,1126.500000,73.500000,3.733333,9585331.000000,40998.000000
ND,0.446408,145529.250000,641.250000,96.000000,2.600000,1788749.000000,58767.000000
SD,0.445765,142512.500000,709.500000,69.500000,3.016667,1455737.000000,51049.000000
CO,0.435303,274318.500000,1350.125000,56.000000,2.616667,10123271.000000,51457.000000
SC,0.433382,105752.500000,1185.500000,88.000000,4.191667,9161667.000000,40601.000000
WI,0.432807,155563.750000,907.500000,80.500000,3.283333,11697466.000000,53480.500000
OK,0.429969,73575.500000,650.000000,88.500000,4.033333,6103728.000000,46159.000000
NH,0.427933,229117.500000,1021.250000,81.000000,2.808333,3150473.000000,63435.000000
CT,0.425453,249781.250000,1125.000000,104.500000,4.408333,11419673.000000,73187.000000
KY,0.424620,79792.500000,725.000000,75.000000,4.750000,7745928.000000,40528.000000
PA,0.423066,137154.250000,966.250000,91.000000,4.975000,31077289.000000,50571.000000
MO,0.422519,108492.250000,677.500000,69.000000,3.791667,10893231.000000,42939.000000
GA,0.422050,110043.000000,1120.000000,80.500000,4.758333,19403453.000000,40369.000000
DC,0.417537,580532.000000,2217.500000,57.500000,6.108333,1329719.000000,77649.000000
MI,0.413367,121847.500000,987.500000,78.500000,4.583333,19416061.000000,45231.000000
IN,0.411540,110465.000000,563.750000,76.000000,3.525000,12732161.000000,50341.000000
OH,0.403213,108531.750000,615.000000,77.000000,4.933333,23766529.000000,49931.500000
MA,0.399485,346624.500000,1724.250000,76.000000,3.833333,17484704.000000,67791.500000
AR,0.393975,74604.500000,629.000000,92.000000,3.741667,5401016.000000,37982.000000
NC,0.392178,133363.500000,989.000000,78.000000,4.550000,13448045.000000,43562.000000
MS,0.388393,92388.000000,977.500000,93.500000,5.208333,4755399.000000,36571.500000
VT,0.384106,190229.750000,1200.000000,133.750000,2.950000,2112365.000000,55741.500000
ID,0.384033,180890.000000,780.000000,62.000000,3.183333,2266490.000000,46402.000000
UT,0.380725,248526.250000,942.500000,60.000000,3.158333,4952923.000000,55175.000000
NJ,0.377091,321980.750000,1498.750000,123.500000,4.516667,30012666.000000,75500.000000
MD,0.376734,283115.750000,1347.500000,98.000000,4.066667,14409321.000000,71163.000000
LA,0.372198,115491.500000,967.500000,89.500000,5.125000,8397136.000000,41394.000000
AL,0.349337,93449.500000,756.000000,102.000000,4.508333,7498567.000000,39293.000000
AK,0.347773,220040.250000,925.000000,92.000000,6.608333,2494691.000000,66607.000000
WA,0.343766,247100.500000,1286.750000,56.500000,4.650000,14964364.000000,52159.000000
AZ,0.336935,173083.500000,966.250000,68.000000,4.958333,8503034.000000,47847.000000
FL,0.333100,190293.750000,1249.500000,92.500000,4.283333,28125598.000000,46511.000000
OR,0.332432,248884.000000,1195.500000,70.500000,4.066667,7418055.000000,46969.000000
WY,0.331240,215326.500000,650.000000,88.000000,4.341667,2044669.000000,57644.000000
WV,0.327079,73156.250000,595.000000,110.250000,5.200000,3391579.000000,40094.000000
DE,0.310746,210222.750000,948.000000,101.000000,4.400000,2043577.000000,57901.000000
RI,0.301224,292909.500000,1143.750000,86.000000,4.475000,2401541.000000,74630.000000
MT,0.300839,208559.750000,680.000000,82.500000,4.100000,1800909.000000,46781.000000
NV,0.297630,179829.750000,899.500000,62.000000,5.008333,4482886.000000,54882.000000
NM,0.266666,150411.000000,689.500000,88.000000,6.116667,3765069.000000,36089.000000
