RegionName,state_abbr,CountyName,latest_rental_2br,latest_rental_4br,latest_rental_5br_plus,latest_rental_all,latest_zhvi_all,education_expenditure_per_student,average_unemployment_rate,TotalPop,Income,Poverty,Unemployment,IncomePerCap
New York,NY,Queens County,2600.0,3597.5,,2900.0,653930.0,25.82558139983674,6.379096989966555,2339280.0,62008.0,13.7,6.9,28814.0
Los Angeles,CA,Los Angeles County,2995.0,4262.5,4495.0,3550.0,730358.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Houston,TX,Harris County,1480.0,1790.0,2900.0,1500.0,190179.0,11.533900382938564,5.869899665551839,4525519.0,57791.0,16.8,6.4,30856.0
Chicago,IL,Cook County,1700.0,2350.0,,1750.0,248029.0,16.20558551486987,6.722909698996656,5238541.0,59426.0,15.9,8.7,33722.0
San Antonio,TX,Bexar County,1208.0,1650.0,1850.0,1300.0,186420.0,11.533900382938564,5.869899665551839,1892004.0,53999.0,16.4,6.1,26158.0
Philadelphia,PA,Philadelphia County,1600.0,2100.0,2875.0,1500.0,185581.0,19.76181313283221,6.223745819397994,1569657.0,40649.0,25.8,11.3,24811.0
Phoenix,AZ,Maricopa County,1350.0,1500.0,,1450.0,262379.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Las Vegas,NV,Clark County,1237.0,1795.0,2395.0,1500.0,285736.0,10.150934167830933,6.595819397993312,2112436.0,54882.0,14.6,8.3,27719.0
San Diego,CA,San Diego County,2570.0,3845.0,5500.0,2750.0,663421.0,14.350461176725675,7.104013377926421,3283665.0,70588.0,13.3,7.1,34350.0
Dallas,TX,Dallas County,1715.0,2000.0,,1700.0,226790.0,11.533900382938564,5.869899665551839,2552213.0,53626.0,17.7,5.9,29810.0
Austin,TX,Travis County,1600.0,2400.0,4295.0,1750.0,394368.0,11.533900382938564,5.869899665551839,1176584.0,68350.0,13.9,4.5,38820.0
San Jose,CA,Santa Clara County,3013.0,3950.0,4300.0,3400.0,1030142.0,14.350461176725675,7.104013377926421,1911226.0,106761.0,8.6,5.7,48689.0
Jacksonville,FL,Duval County,1260.0,1550.0,1692.5,1349.0,189904.0,10.128295497226617,5.973411371237458,912043.0,51296.0,16.0,7.4,28593.0
Indianapolis,IN,Marion County,885.0,1285.0,,1050.0,150381.0,12.697927387762592,5.792642140468227,939964.0,44869.0,19.8,8.0,26284.0
San Francisco,CA,San Francisco County,4599.5,6325.0,,4382.5,1431606.0,14.350461176725675,7.104013377926421,864263.0,96265.0,11.7,5.4,59508.0
Charlotte,NC,Mecklenburg County,1500.0,1705.0,2200.0,1499.0,248816.0,9.198162699140104,5.618394648829431,1034290.0,61695.0,13.4,6.8,35669.0
Fort Worth,TX,Tarrant County,1540.0,1795.0,2195.0,1600.0,210054.0,11.533900382938564,5.869899665551839,1983675.0,62532.0,13.5,5.4,30857.0
Tucson,AZ,Pima County,925.0,1725.0,,1285.0,211172.0,9.062420998556926,6.080769230769231,1007257.0,48676.0,18.3,8.4,27323.0
Columbus,OH,Franklin County,1050.0,1785.0,,1255.0,169280.0,14.900420934105068,6.458695652173914,1253507.0,56319.0,16.7,5.7,31199.0
Louisville,KY,Jefferson County,1025.0,1550.0,,1125.0,175688.0,11.284202552298817,6.434280936454849,764378.0,52237.0,15.0,6.4,31039.0
Orlando,FL,Orange County,1549.0,1983.0,2200.0,1599.0,257152.0,10.128295497226617,5.973411371237458,1290216.0,51586.0,16.7,6.8,27394.0
El Paso,TX,El Paso County,795.0,1400.0,,1175.0,136841.0,11.533900382938564,5.869899665551839,834825.0,43244.0,21.7,7.0,19950.0
Denver,CO,Denver County,2200.0,2500.0,,2150.0,458434.0,11.494860777718985,5.227759197324414,678467.0,60098.0,15.1,4.5,38991.0
Seattle,WA,King County,2575.0,3225.0,,2600.0,752731.0,13.805107691796751,6.628260869565217,2118119.0,83571.0,10.2,5.0,46316.0
Memphis,TN,Shelby County,885.0,1085.0,,942.5,95249.0,9.592381400329241,6.0605351170568555,937847.0,48415.0,20.8,8.6,28117.0
Boston,MA,Suffolk County,2800.0,3900.0,5000.0,2900.0,635105.0,18.983879986406507,5.452842809364549,780685.0,61242.0,19.6,7.1,38031.0
Washington,DC,District of Columbia,3150.0,3750.0,,2730.0,634526.0,,,,,,,
Portland,OR,Multnomah County,1840.0,2495.0,,1995.0,466782.0,12.917769550650236,6.677090301003345,788459.0,60369.0,16.4,6.8,34848.0
Nashville,TN,Davidson County,1492.5,2000.0,1995.0,1700.0,283868.0,9.592381400329241,6.0605351170568555,678322.0,53419.0,16.9,5.3,32347.0
Sacramento,CA,Sacramento County,1695.0,1995.0,1900.0,1795.0,352270.0,14.350461176725675,7.104013377926421,1495400.0,60239.0,16.7,8.8,29693.0
Baltimore,MD,Baltimore City,1250.0,1500.0,,1350.0,151521.0,16.389202180173704,5.0481605351170575,,,,,
Milwaukee,WI,Milwaukee County,1000.0,975.0,1000.0,1075.0,134415.0,13.637606443008105,5.1724080267558525,956586.0,46784.0,20.5,7.1,26933.0
Fresno,CA,Fresno County,1000.0,1850.0,,1395.0,255140.0,14.350461176725675,7.104013377926421,971616.0,48730.0,25.4,10.4,22234.0
Omaha,NE,Douglas County,1025.0,1390.0,,1250.0,192284.0,13.940492866242845,3.3954849498327757,549706.0,58640.0,13.5,4.4,32023.0
Albuquerque,NM,Bernalillo County,991.0,1450.0,,1300.0,211548.0,11.770953632984327,6.537792642140468,674855.0,50386.0,18.0,6.7,28340.0
Oklahoma City,OK,Oklahoma County,870.0,1250.0,,1025.0,139130.0,9.072438564338555,4.826923076923077,774203.0,50762.0,17.0,5.2,29127.0
Raleigh,NC,Wake County,1313.0,,,1495.0,288587.0,9.198162699140104,5.618394648829431,1023811.0,73577.0,10.1,4.9,37315.0
Mesa,AZ,Maricopa County,1187.5,,,1475.0,271270.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Miami,FL,Miami-Dade County,2600.0,,,2400.0,367802.0,10.128295497226617,5.973411371237458,2702602.0,46338.0,19.0,7.4,25481.0
Atlanta,GA,Fulton County,2075.0,1999.0,,1800.0,293812.0,11.234799097901956,5.696488294314381,1010420.0,61336.0,16.0,7.7,41041.0
Kansas City,MO,Jackson County,1120.0,1200.0,1175.0,1045.0,159926.0,12.21825150243283,5.644147157190635,688554.0,50652.0,15.9,5.7,28965.0
Colorado Springs,CO,El Paso County,1361.0,1937.5,2000.0,1600.0,314121.0,11.494860777718985,5.227759197324414,674826.0,62535.0,11.1,6.8,31217.0
