State,Liquidity,Affordability,Stability,Safety,Education,HMHI,Rank
CT,32.5701275290402,86.75229166795691,48.33561331509348,96.00237149647641,69.41644926869299,64.31055057704339,1
NH,31.987196609295403,73.57886709804328,92.65845873233013,74.63689696417383,44.25056228343484,62.75632656044199,2
ND,10.094487141331161,84.21552461111955,100.0,81.18271914336162,38.385179083094926,61.51268767208116,3
NE,8.331534157513671,89.03412854653249,88.32649338805288,95.54878396081335,27.578668172809667,60.475832173665566,4
NJ,37.69958697368413,71.21223065960406,47.013223894208856,90.58198018379886,67.17430247507401,60.29404158599476,5
ME,28.497356735271712,72.83727249615208,74.28180574555404,88.03895881984394,36.834008342936656,58.92096353138384,6
RI,48.25287747814889,77.75778410942276,43.228454172366625,75.20362248675741,46.910351954780786,58.46545239759697,7
IA,0.7441653107160953,95.0592356066447,85.13451892384859,79.61186162473399,26.03515142462676,56.82480597151404,8
MD,45.989800701425835,70.82902336195454,58.36753305973551,64.13965939511306,40.70610387291903,56.605077117997006,9
WY,9.975892012065696,76.03394298939493,52.211582307341544,100.0,63.89389647971141,56.528859683790174,10
WI,18.406385759950876,84.13105354980826,73.14181486548107,77.82344101191285,26.598420343290176,55.92600200381645,11
MI,39.920561375074705,85.7708218027255,43.63885088919288,68.65323390022252,30.328726436462734,54.99791002279141,12
IL,32.687588079665225,80.22515399509416,32.87733698130414,89.45938722665954,38.08310285062329,53.9350264265431,13
VA,36.372677961441696,63.62678327840176,73.78020975832193,71.81466081904654,21.555284900251014,53.761399119519886,14
FL,71.08691119655015,64.4645966931341,52.71317829457365,47.84921565445593,9.209870107071163,52.98937549556486,15
NV,100.0,57.33416582601584,27.268581851345175,45.155778322036774,9.431915919475596,52.97541196299984,16
KS,5.795480022643912,92.38669674207378,70.4970360237118,73.24144215982228,19.734700186257363,52.59137274783374,17
AZ,80.96886594357548,51.55624800383942,27.45098039215685,88.13608607153242,3.9157134153760675,52.42924448832137,18
MA,32.949996951386964,55.68356879328062,65.93707250341997,60.324087258643274,51.73668432466142,52.154921674346596,19
ID,42.52077828759283,48.752121135008494,80.1641586867305,82.71843139488523,0.0,51.258821302229215,20
OH,11.755399322325855,93.02205422926089,41.90606475148198,76.54405650168025,33.84714451216753,51.134256490270246,21
MO,13.477827638488659,83.34685835155247,61.696306429548564,73.49380698472228,19.27831395458955,50.46125092431677,22
PA,15.267112101973703,83.72770845607381,37.2549019607843,63.90217205573895,54.38012963102358,49.94203078468312,23
UT,35.303035732367626,34.443509082427,86.22891016871864,99.44832748842545,1.4037310325916506,49.81022701559495,24
NY,19.166803618022474,57.10669197379445,46.4204286365709,60.89899022774799,82.03082884107702,49.791932485592156,25
IN,7.223201135023735,90.94562536155439,64.249886000912,56.43617930170302,21.662413663257237,49.10697276907098,26
OK,0.0,94.98851667850289,64.75148198814409,77.1330523437945,4.915764781780341,49.00474813609076,27
SD,3.957313818150771,80.0302525494615,91.15367077063384,46.61958193313208,12.973627199487536,48.16660711592277,28
CO,20.360543411005676,38.304839910667596,88.00729594163246,86.62273133893302,15.496268080946102,47.58565493172668,29
TX,9.851231766057476,74.18267420599813,56.224350205198355,82.85082100625276,15.69996745747106,47.035964803612146,30
MT,14.377656048166711,60.56379867562624,62.243502051983576,79.67192572763,21.15079246379567,46.307471820058794,31
KY,3.163740196836344,86.66402212214375,42.9548563611491,86.7147006891838,14.75412321139869,46.26823543706222,32
GA,30.334346997460877,69.6176094802573,40.12767897856815,72.80243251650667,14.281564509565206,46.07612446905395,33
OR,39.76780994412047,36.71087848693456,50.205198358413135,89.83311499686735,22.350037371795903,45.98818463474588,34
AL,9.77162483809117,89.00033743771961,42.134062927496565,62.1048584610127,9.84512464110875,43.91230061977022,35
AR,6.2450631969488795,90.75362051037258,62.38030095759234,26.691632966907775,14.971006609911589,42.97512705487174,36
SC,14.319770165773061,75.8683360009595,55.175558595531236,38.56906891024335,19.489741620866862,42.29095984045592,37
CA,72.51191844600625,4.217888429596968,34.42772457820337,78.59800129268395,26.057019972797484,41.76624982436369,38
WA,42.63832457356106,30.13254928190746,40.1732786137711,77.63783676026655,25.263222970939285,41.66253314630223,39
TN,10.570766315737783,76.6730432479442,56.77154582763336,48.62499805827253,7.131289688427788,41.528704718452204,40
NC,10.213456251873426,74.69482128350339,43.86684906520746,37.349205445121605,4.883746216172338,36.335381946079785,41
MS,8.020087277243071,89.12364530766,17.099863201094394,47.92504414193767,7.247614785627217,35.98180462557938,42
NM,20.69937258072622,70.91181364722853,9.849521203830378,37.12251523608816,17.505058046948967,33.06683679021033,43
LA,7.2351693149385055,81.35671084105935,23.62061103511172,0.0,22.609985636501033,30.26359009149696,44
