State,ZHVI,Rent_1Br,Rent_2Br,Volatility_Score,Latest_Date
HI,728628.0,1750.0,2300.0,0.9105437861064838,2018-10
CA,669522.5,1895.0,2304.75,0.5725010217333967,2019-12
DC,634526.0,2295.0,3150.0,0.3445271856831308,2019-12
MA,490561.0,1882.0,2200.0,0.19101901587955525,2019-12
CO,468651.0,1494.5,1755.0,0.32407179700509675,2019-12
OR,456850.0,1360.0,1520.0,0.4964506395480183,2019-12
WA,451712.5,1395.0,1583.25,0.4184539926797104,2019-12
NJ,383940.0,1500.0,2030.5,0.22698964453723985,2019-12
VA,357917.5,1437.5,1650.0,0.1393940424730372,2019-12
VT,347545.0,1350.0,1600.0,0.07194491924924451,2019-12
NY,347021.0,1335.5,1725.0,0.0846912584273622,2019-12
ME,333869.0,1400.0,1750.0,0.17292954850286676,2019-12
UT,332119.5,1032.0,1208.25,0.35262648936917246,2019-12
AK,329360.0,975.0,1200.0,0.381787574887293,2019-12
MN,321377.0,1340.0,1508.0,0.15336076334194015,2019-12
MD,315301.0,1416.0,1622.0,0.23285873864503234,2019-12
NV,312142.0,1111.5,1311.75,0.16794271033715788,2019-12
GA,298897.0,1194.25,1443.0,0.03243921156632284,2019-12
NC,288249.0,1105.0,1320.5,0.07159906213770897,2019-12
AZ,287624.0,1168.0,1366.0,0.06576682355197869,2019-12
WY,287466.0,680.0,850.0,0.5948613005553054,2019-12
NH,282949.0,1307.5,1518.5,0.2186123685813342,2019-12
TN,273481.0,1050.25,1255.75,0.07891369856394098,2019-12
TX,263273.5,1108.75,1444.5,0.12749256184974292,2019-12
MT,257590.0,695.0,850.0,0.462460727561578,2019-12
FL,257554.5,1300.0,1561.5,0.3207867408649733,2019-12
ID,256314.0,813.5,921.0,0.3417202152197481,2019-12
IL,254296.0,1150.0,1450.0,0.1736511709961789,2019-12
RI,247828.0,1244.0,1500.0,0.2891879014297989,2019-12
WI,231073.0,996.75,1125.0,0.07871010117752449,2019-12
ND,227617.5,626.25,771.25,0.42930164118060904,2019-12
NM,211548.0,771.5,991.0,0.1644767662335689,2019-12
SD,209628.0,750.0,898.75,0.20447132970525744,2019-12
DE,209613.0,990.0,1137.0,0.10151773473361278,2019-12
CT,208159.5,1182.5,1336.25,0.3397300523755635,2019-12
SC,199409.0,1090.0,1224.0,0.25673186424691924,2019-12
IA,198705.0,750.0,850.0,0.18779686694845013,2019-12
PA,196466.0,974.0,1184.0,0.14869656996936834,2019-12
NE,193250.0,840.0,1025.0,0.020773731405324045,2019-12
KY,183922.0,764.0,975.0,0.08068702233499077,2019-12
MI,181977.0,872.5,1015.5,0.05939340282588307,2019-12
LA,179650.0,924.0,999.5,0.13652949855291863,2019-12
KS,178631.0,672.0,750.0,0.21025058250379816,2019-12
MO,171081.0,775.0,1007.0,0.08190476340924618,2019-12
AL,165018.0,650.0,915.0,0.16572385516143298,2019-12
OH,163300.0,800.0,925.0,0.0398629546783115,2019-12
IN,149683.0,760.0,842.5,0.053708012125051385,2019-12
OK,133741.0,703.75,832.5,0.03861606222036048,2019-12
AR,130547.0,704.5,783.75,0.04620426459271061,2019-12
WV,117768.0,622.5,785.0,0.06426480367717638,2019-12
MS,43159.0,720.0,775.0,0.3922731944428139,2019-12
