Username,gender,Retweet Count,Follower Count,max_jaccard_score
hinesstephanie,unknown,55,9617,0.0769
roberttran,unknown,6,4363,0.1
leonard00,unknown,54,10,0.1538
kimberlymorris,unknown,25,836,0.1429
rcruz,unknown,60,6779,0.1111
dstewart,unknown,61,6073,0.125
tracibell,unknown,21,4846,0.1053
juliesmith,unknown,78,2342,0.1429
matthewbell,unknown,43,7945,0.0714
urobinson,unknown,8,1256,0.1
justindudley,unknown,84,5466,0.0741
monique95,unknown,43,4851,0.1333
jwu,unknown,77,7006,0.1429
craigmiller,unknown,40,697,0.1333
amysmith,unknown,25,4517,0.1176
jacobscarla,unknown,15,1785,0.1
xbaker,unknown,13,7925,0.1053
dschultz,unknown,58,2063,0.0909
jessica19,unknown,34,466,0.0769
garciavickie,unknown,18,3782,0.1429
shepherdmichael,unknown,0,4581,0.1111
eric75,unknown,21,6979,0.1
kgarcia,unknown,7,7523,0.1538
cgilbert,unknown,39,3755,0.1333
bettymorton,unknown,34,6933,0.1111
lukewiley,unknown,87,5785,0.0909
reginaldsmith,unknown,44,7504,0.0909
michaelpetty,unknown,46,7074,0.1579
zimmermanashley,unknown,10,415,0.1176
natalierichards,unknown,23,6001,0.1
garciacynthia,unknown,43,2461,0.1111
wallsdouglas,unknown,8,7760,0.125
thernandez,unknown,10,51,0.1
mary85,unknown,97,3028,0.1111
alexis83,unknown,70,2560,0.1
keithhicks,unknown,88,4914,0.1176
tbarker,unknown,25,3056,0.1333
jeffery61,unknown,69,7828,0.1
sarahwatson,unknown,81,7844,0.125
cervantesleah,unknown,57,1120,0.0833
taylorsara,unknown,28,194,0.125
michaelbaker,unknown,93,9784,0.1053
thomaswall,unknown,30,3370,0.1333
acurtis,unknown,37,8427,0.125
matthew95,unknown,21,3898,0.1053
ythompson,unknown,0,7444,0.1364
arthurwallace,unknown,55,7220,0.0714
rcharles,unknown,76,5312,0.1579
deanlarry,unknown,5,2283,0.1429
vsilva,unknown,17,6652,0.1176
manndarrell,unknown,28,2120,0.1053
jpalmer,unknown,85,7910,0.0833
sdavis,unknown,28,1984,0.1333
aliciaswanson,unknown,0,3521,0.125
andrew68,unknown,89,6498,0.0833
edwardlee,unknown,35,6757,0.0769
tbest,unknown,86,8534,0.1111
jeremiahriddle,unknown,43,5186,0.1111
paynenancy,unknown,89,4960,0.1579
kadams,unknown,44,6622,0.1333
imcdonald,unknown,45,91,0.0909
nicholascampbell,unknown,97,8861,0.1429
davilalatasha,unknown,25,6675,0.0909
aaron59,unknown,92,1743,0.0833
dennis22,unknown,35,3162,0.1071
stacymarshall,unknown,65,8527,0.1176
barbara59,unknown,34,1748,0.1176
torresjennifer,unknown,52,8353,0.1111
michelle99,unknown,97,732,0.1429
chaseallen,unknown,51,2540,0.0833
perrydavid,unknown,65,7712,0.1111
stacybrown,unknown,25,7442,0.0909
trandonald,unknown,10,6976,0.125
pwelch,unknown,89,5759,0.0833
philipjohnson,unknown,100,8759,0.1053
lguerrero,unknown,44,6315,0.1304
wilkinsnancy,unknown,64,6411,0.1111
christian92,unknown,65,2560,0.1053
fmora,unknown,6,2427,0.0833
esmith,unknown,83,7270,0.1111
jamesherring,unknown,41,4225,0.1176
webersonya,unknown,81,1635,0.1
qjones,unknown,76,4522,0.1176
alexandercarr,unknown,18,6403,0.125
beverlybenson,unknown,95,2891,0.1429
stephen66,unknown,88,4470,0.0714
zmcguire,unknown,43,8950,0.1429
jacksonshelby,unknown,70,4062,0.0833
justincurtis,unknown,7,4304,0.0909
masoncarl,unknown,10,4748,0.125
catherinecoleman,unknown,3,5111,0.1111
lmatthews,unknown,69,4304,0.0769
rbrown,unknown,73,2816,0.069
vrivera,unknown,16,2535,0.1
nathaniel12,unknown,72,6742,0.1053
franklincheyenne,unknown,96,2918,0.1
jay67,unknown,95,2073,0.0909
amberwatson,unknown,31,4729,0.1333
taylormitchell,unknown,86,2553,0.1
richardtucker,unknown,14,543,0.1053
darren10,unknown,83,4567,0.1667
rallen,unknown,31,2212,0.1111
jayconley,unknown,97,6542,0.1111
xschwartz,unknown,60,6160,0.1429
gregory40,unknown,80,9856,0.1538
pedro62,unknown,60,184,0.1
amy85,unknown,32,1535,0.0952
walkeramy,female,86,7236,0.1333
emily32,unknown,8,9318,0.1818
vanessa07,unknown,47,6039,0.1
ubyrd,unknown,56,7525,0.1667
jordanjohnathan,unknown,77,4463,0.1538
ncarson,unknown,47,3551,0.0714
monica69,unknown,97,6747,0.0952
robertsonjose,unknown,3,3321,0.0667
dana08,unknown,65,3744,0.0909
scottjacobs,unknown,86,5227,0.0769
craigtorres,unknown,48,3824,0.0833
dwebb,unknown,71,6219,0.1143
philipflores,unknown,78,2792,0.1538
