username,credibility_score,rank
adamhale,0.00012199570256044012,1
vwright,0.00012221721384320094,2
ywilson,0.00012236778868413012,3
raymondosborne,0.0001224165712150338,4
christopherherring,0.00012245400180532773,5
shawashley,0.00012245757568862814,6
fjohnson,0.00012245980066005746,7
timothy27,0.00012246889563671814,8
russelleric,0.00012247257098052522,9
allenhuang,0.00012248156674099508,10
thomasdeanna,0.0001224845490015447,11
peterglover,0.00012248813288773253,12
simmonsrebecca,0.00012249241559991741,13
bbarnett,0.0001224981480504317,14
anitasullivan,0.00012249899714678048,15
areese,0.00012249966953359337,16
donaldsonrhonda,0.0001225013287714516,17
jensenmitchell,0.00012250235876276605,18
jamesandrea,0.00012250237092070737,19
carlavasquez,0.00012250262694224467,20
russelltodd,0.00012250710464123404,21
fadkins,0.00012251360523218846,22
nwilson,0.00012251377415317677,23
jamespage,0.00012252092389886116,24
barnestiffany,0.00012252449965000078,25
louis78,0.0001225286224814104,26
tomhudson,0.00012252883697005945,27
emeyer,0.00012253015195784478,28
leslie30,0.00012253489891156377,29
briannash,0.00012253897558689442,30
tatemarcus,0.00012253948995333275,31
fandrade,0.00012254458835592175,32
rwells,0.0001225467737352437,33
barry16,0.00012254893909602327,34
rdean,0.00012254898187713525,35
robertnelson,0.0001225500902449772,36
christianhuber,0.00012255109317271806,37
cookangela,0.0001225538460020159,38
nrichardson,0.00012255399522020927,39
armstrongthomas,0.00012255965076413133,40
wisejacqueline,0.00012256001826527196,41
traceycain,0.0001225626875761554,42
abennett,0.00012256364590679247,43
pweber,0.00012256479910199847,44
philliptorres,0.0001225691572226406,45
jenniferhill,0.00012256933670706793,46
sheltoncharles,0.00012257164739704063,47
dominiqueblair,0.00012257192215492374,48
carrieward,0.00012257385661051945,49
stephenfisher,0.00012257515407043673,50
melissashepard,0.00012257516188196593,51
jimalexander,0.00012257976379259627,52
hillamy,0.00012258009781773715,53
lindsaycontreras,0.0001225806684076458,54
robinbailey,0.00012258126742237252,55
walkerhenry,0.00012258164234180136,56
wardjohn,0.00012258341014925733,57
codyspencer,0.00012258537861786767,58
jeffreypatel,0.00012259099189104727,59
jacobduncan,0.00012259343063758532,60
marcsanchez,0.00012259444716400392,61
valenzuelajason,0.00012259486381716034,62
bgreen,0.00012259534635561398,63
jbradford,0.0001225959025066281,64
meagansosa,0.00012259677682358028,65
georgesara,0.00012259831301675295,66
dbrown,0.00012260084885018507,67
atkinsrandy,0.00012260169897237994,68
gpalmer,0.00012260560414845134,69
gilbertjennifer,0.0001226059057137796,70
abennett,0.00012260783329953728,71
thomas43,0.0001226094150792445,72
ywebster,0.00012261071657027056,73
stephen28,0.00012261170630223361,74
ryanwells,0.0001226123363409215,75
randallhunt,0.00012261433337401595,76
dharrison,0.0001226144533980067,77
markramirez,0.00012261464654184095,78
hjarvis,0.00012261476594588316,79
margaret37,0.00012261595765439282,80
jamespetty,0.00012261779155087194,81
carterjesse,0.00012261785727685215,82
ryanschultz,0.00012261986731476604,83
kmann,0.00012262159540266104,84
misty97,0.00012262276688257412,85
roselogan,0.00012262395621387423,86
henrykristen,0.000122625597369308,87
frederick36,0.00012262752357894424,88
mccallellen,0.00012262842080557057,89
gregorymichele,0.00012262929886452945,90
micheal19,0.00012262946063812397,91
rosecourtney,0.00012263298336745443,92
inguyen,0.00012263349098207144,93
mitchellkatie,0.0001226342141541492,94
baileyrichard,0.0001226343935926133,95
ashleychavez,0.00012263488508423848,96
sherryhoward,0.00012263491373909474,97
potterjessica,0.00012263508852772276,98
rachelgordon,0.0001226376364498183,99
susanruiz,0.0001226377326841721,100
