team_abbreviation,pts_scored_home,home_games,pts_allowed_away,away_games,offensive_efficiency_ratio
OKC,43316.0,400,38392.0,363,1.1283
PHX,119853.0,1101,110358.0,1022,1.086
LAL,130242.0,1206,120744.0,1139,1.0787
BOS,141761.0,1329,132604.0,1283,1.0691
DEN,107873.0,987,103671.0,956,1.0405
MEM,55923.0,550,53997.0,524,1.0357
BKN,28710.0,269,27763.0,251,1.0341
TOR,68510.0,669,66584.0,648,1.0289
CHI,116850.0,1135,114338.0,1106,1.022
GSW,69862.0,649,68406.0,643,1.0213
ATL,117777.0,1128,115731.0,1108,1.0177
SAS,67154.0,657,66525.0,673,1.0095
DAL,96037.0,914,95957.0,918,1.0008
CHA,45445.0,445,45591.0,433,0.9968
WAS,104625.0,1009,105156.0,1004,0.995
HOU,109994.0,1044,111149.0,1051,0.9896
CLE,108890.0,1066,110324.0,1066,0.987
IND,102303.0,989,103901.0,994,0.9846
PHI,64099.0,636,65288.0,643,0.9818
MIL,113854.0,1082,116334.0,1108,0.9787
MIA,77196.0,764,78959.0,793,0.9777
POR,107081.0,1011,109986.0,1044,0.9736
NYK,120105.0,1170,124042.0,1195,0.9683
SAC,82606.0,787,86039.0,798,0.9601
MIN,74782.0,736,78326.0,747,0.9548
ORL,77117.0,753,81515.0,794,0.946
NOP,26436.0,237,27953.0,254,0.9457
DET,118070.0,1141,125010.0,1204,0.9445
UTA,61539.0,596,66465.0,658,0.9259
LAC,83715.0,813,90617.0,853,0.9238
