source,sport,name,metric,value,z_score,is_outlier,temporal_context,is_peak_event,is_physique_shift
Olympic,Basketball,Stanko Bara,Height,217.0,2.37,True,,True,False
Olympic,Basketball,Gunther Behnke,Height,221.0,2.71,True,,True,False
Olympic,Basketball,Uwe Blab,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Uwe Blab,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Tommy Loren Burleson,Height,223.0,2.87,True,,True,True
Olympic,Basketball,"Andrew ""Andy"" Campbell",Height,218.0,2.46,True,,True,True
Olympic,Basketball,"Andrew ""Andy"" Campbell",Height,218.0,2.46,True,,True,False
Olympic,Basketball,Paulo Csar da Silva,Height,217.0,2.37,True,,True,False
Olympic,Basketball,Roberto Dueas Hernndez,Height,221.0,2.71,True,,True,False
Olympic,Basketball,Roberto Dueas Hernndez,Height,221.0,2.71,True,,True,False
Olympic,Basketball,Hamed E. Haddadi,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Jnis Krmi,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Jnis Krmi,Height,218.0,2.46,True,structural_break_1960,True,True
Olympic,Basketball,Jnis Krmi,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Li Muhao,Height,218.0,2.46,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Height,220.0,2.62,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Height,220.0,2.62,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Height,220.0,2.62,True,,True,False
Olympic,Basketball,Viktor Aleksandrovich Pankrashkin,Height,220.0,2.62,True,,True,False
Olympic,Basketball,"Paulo ""Paulinho Villas Boas"" Villas de Almeida Boas",Height,217.0,2.37,True,,True,False
Olympic,Basketball,"Paulo ""Paulinho Villas Boas"" Villas de Almeida Boas",Height,217.0,2.37,True,,True,False
Olympic,Basketball,Peter John Ramos Fuentes,Height,219.0,2.54,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Height,223.0,2.87,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Height,223.0,2.87,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Height,223.0,2.87,True,,True,False
Olympic,Basketball,Volodymyr Petrovych Tkachenko,Height,220.0,2.62,True,,True,True
Olympic,Basketball,Volodymyr Petrovych Tkachenko,Height,220.0,2.62,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Height,217.0,2.37,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Height,217.0,2.37,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Height,217.0,2.37,True,,True,False
Olympic,Basketball,Frdric Jean Santo Weis,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Yao Ming,Height,226.0,3.12,True,,True,False
Olympic,Basketball,Yao Ming,Height,226.0,3.12,True,,True,False
Olympic,Basketball,Yao Ming,Height,226.0,3.12,True,,True,False
Olympic,Basketball,Zhang Zhaoxu,Height,221.0,2.71,True,,True,False
Olympic,Basketball,Zhou Qi,Height,217.0,2.37,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Height,218.0,2.46,True,,True,False
Olympic,Basketball,Franjo Arapovi,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Franjo Arapovi,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Ruslan Shamilyevich Avleyev,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Cameron David Bairstow,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Aron John Baynes,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Aron John Baynes,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Oleksandr Mykhailovych Bielostienniy,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Oleksandr Mykhailovych Bielostienniy,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Oleksandr Mykhailovych Bielostienniy,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Miro Bilan,Weight,121.0,2.6,True,,True,False
Olympic,Basketball,Andrew Michael Bogut,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Andrew Michael Bogut,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Andrew Michael Bogut,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,"Edward Frank ""Ed"" Book",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Carlos Austin Boozer, Jr.",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Carlos Austin Boozer, Jr.",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Raymond Helmut ""Ray"" Borner",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Raymond Helmut ""Ray"" Borner",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Raymond Helmut ""Ray"" Borner",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Raymond Helmut ""Ray"" Borner",Weight,117.0,2.33,True,,True,False
Olympic,Basketball,"Marcus Robert ""Mark"" Bradtke",Weight,120.0,2.53,True,,True,False
Olympic,Basketball,"Marcus Robert ""Mark"" Bradtke",Weight,120.0,2.53,True,,True,False
Olympic,Basketball,"Marcus Robert ""Mark"" Bradtke",Weight,120.0,2.53,True,,True,False
Olympic,Basketball,"Marcus Robert ""Mark"" Bradtke",Weight,120.0,2.53,True,,True,False
Olympic,Basketball,"Sean MacPherson ""Pero"" Cameron",Weight,130.0,3.21,True,,True,False
Olympic,Basketball,"Sean MacPherson ""Pero"" Cameron",Weight,130.0,3.21,True,,True,False
Olympic,Basketball,Roberto Chiacig,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Roberto Chiacig,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,DeMarcus Amir Cousins,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Boris Babacar Diaw-Riffiod,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Boris Babacar Diaw-Riffiod,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Ikechukwu Somtochukwu ""Ike"" Diogu",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Ikechukwu Somtochukwu ""Ike"" Diogu",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Kevin John Dorge,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Kevin John Dorge,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Roberto Dueas Hernndez,Weight,137.0,3.69,True,,True,False
Olympic,Basketball,Roberto Dueas Hernndez,Weight,137.0,3.69,True,,True,False
Olympic,Basketball,Gregory Joshue Echenique Carrillo,Weight,137.0,3.69,True,,True,False
Olympic,Basketball,Gintaras Einikis,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Gintaras Einikis,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Gintaras Einikis,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Cristiano Silva Felcio,Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Patrick Oliver Femerling,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Marc Gasol Sez,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Marc Gasol Sez,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Pau Gasol Sez,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Pau Gasol Sez,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Pau Gasol Sez,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Pau Gasol Sez,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Andreas Glyniadakis,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Romn Javier Gonzlez,Weight,140.0,3.89,True,,True,False
Olympic,Basketball,"Guillermo Gustavo ""Willy"" Hernangmez Geuer",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Rafael Estevo Hettsheimeir,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,"Robert John ""Rob"" Hickey",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Valeriy Hryhorovych Hoborov,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Dwight David Howard,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Hu Zhangbao,Weight,135.0,3.55,True,,True,False
Olympic,Basketball,"Jolcio ""Janjo"" Joerke",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Robertas Javtokas,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Robertas Javtokas,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Robertas Javtokas,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Nikola Joki,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Hyland DeAndre Jordan, Jr.",Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Aristides Josuel dos Santos,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Aristides Josuel dos Santos,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Christopher Zane ""Chris"" Kaman",Weight,122.0,2.67,True,,True,False
Olympic,Basketball,"Joseph William ""Joe"" Kleine",Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Jnis Krmi,Weight,141.0,3.96,True,,True,False
Olympic,Basketball,Jnis Krmi,Weight,141.0,3.96,True,structural_break_1960,True,True
Olympic,Basketball,Jnis Krmi,Weight,141.0,3.96,True,,True,False
Olympic,Basketball,Joffrey Lauvergne,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Li Muhao,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Augusto Csar Lima Brito,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Weight,135.0,3.55,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Weight,135.0,3.55,True,,True,False
Olympic,Basketball,"Lucien James ""Luc"" Longley",Weight,135.0,3.55,True,,True,False
Olympic,Basketball,Kevin Wesley Love,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Todd Carlyle MacCulloch,Weight,132.0,3.35,True,,True,False
Olympic,Basketball,Karl Malone,Weight,116.0,2.26,True,,True,False
Olympic,Basketball,Karl Malone,Weight,116.0,2.26,True,,True,False
Olympic,Basketball,Denis Marconato,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Denis Marconato,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Aleksandar ""Aleks"" Mari",Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Sean Andrew Marks,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Sean Andrew Marks,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Miguel ngel Marriaga Herrera,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Meng Kebate'er,Weight,140.0,3.89,True,,True,False
Olympic,Basketball,Meng Kebate'er,Weight,140.0,3.89,True,,True,False
Olympic,Basketball,Meng Kebate'er,Weight,140.0,3.89,True,,True,False
Olympic,Basketball,Nikita Leonidovich Morgunov,Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Nikita Leonidovich Morgunov,Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Alonzo Harding Mourning,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Vitaly Yevgenyevich Nosov,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Dirk Werner Nowitzki,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Fabricio Ral Jess Oberto,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Fabricio Ral Jess Oberto,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Fabricio Ral Jess Oberto,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Chukwuemeka Noubuisi ""Emeka"" Okafor",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Shaquille Rashuan O'Neal,Weight,137.0,3.69,True,,True,False
Olympic,Basketball,Lazaros Papadopoulos,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Zvonimir ""Zvonko"" Petrievi",Weight,130.0,3.21,True,structural_break_1960,True,True
Olympic,Basketball,"Zvonimir ""Zvonko"" Petrievi",Weight,130.0,3.21,True,,True,False
Olympic,Basketball,Darko Planini,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Peter Alfred Charles Pokai,Weight,130.0,3.21,True,,True,False
Olympic,Basketball,Miroslav Raduljica,Weight,130.0,3.21,True,,True,False
Olympic,Basketball,"Herman ""J. R."" Reid, Jr.",Weight,116.0,2.26,True,,True,False
Olympic,Basketball,Efthymios Rentzias,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Paul Andrew Rogers,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Paul Andrew Rogers,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Arvydas Romas Sabonis,Weight,122.0,2.67,True,,True,False
Olympic,Basketball,Aleksey Dmitriyevich Savrasenko,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Sofoklis Schortsanitis,Weight,156.0,4.98,True,,True,False
Olympic,Basketball,Ujana Semjonova,Weight,128.0,3.07,True,,True,True
Olympic,Basketball,Ujana Semjonova,Weight,128.0,3.07,True,,True,False
Olympic,Basketball,Kevin Sraphin,Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Shan Tao,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Shan Tao,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Tiago Splitter Beims,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,an Tabak,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,an Tabak,Weight,117.0,2.33,True,,True,False
Olympic,Basketball,Dragan Tarla,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Wayman Lawrence Tisdale,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,Caio Aparecido da Silveira Torres,Weight,125.0,2.87,True,,True,False
Olympic,Basketball,Ali Traore,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Jonas Valaninas,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Jonas Valaninas,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Anderson Frana Varejo,Weight,118.0,2.39,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,"Stojan ""Stojko"" Vrankovi",Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Rubn Oscar Wolkowyski,Weight,120.0,2.53,True,,True,False
