credit_bin,bin,bin_cnt,pos_cnt,neg_cnt,pos_lift,pos_cum_rate,neg_cum_rate,diff
1,"[0.03567,0.06313]",4569,24,4545,0.12825,0.01283,0.10374,0.09092
2,"[0.06313,0.08011]",4568,58,4510,0.31000,0.04383,0.20669,0.16286
3,"[0.08011,0.08599]",4568,79,4489,0.42224,0.08605,0.30915,0.22310
4,"[0.08599,0.09401]",4568,90,4478,0.48104,0.13415,0.41137,0.27721
5,"[0.09401,0.10258]",4568,106,4462,0.56655,0.19081,0.51322,0.32241
6,"[0.10259,0.11191]",4568,137,4431,0.73224,0.26403,0.61436,0.35033
7,"[0.11193,0.12556]",4568,122,4446,0.65207,0.32924,0.71584,0.38661
8,"[0.12556,0.14433]",4568,188,4380,1.00483,0.42972,0.81582,0.38610
9,"[0.14434,0.17504]",4568,315,4253,1.68363,0.59808,0.91290,0.31482
10,"[0.17504,0.44419]",4568,752,3816,4.01933,1.00000,1.00000,0.00000
\N,total,45681,1871,43810,\N,\N,\N,0.38661
