score_bucket,total,oncall,cnt_send,cnt_click,cnt_check,cnt_apply,cnt_upgrade
"[0.999,1]",35723,4624,1286,67,5,5,5
"[0.998,0.999)",24309,3400,965,56,10,10,10
"[0.997,0.998)",22042,3411,1006,56,11,11,11
"[0.996,0.997)",20853,3291,936,66,10,10,10
"[0.995,0.996)",21095,3436,963,60,11,11,11
"[0.994,0.995)",21521,3453,981,66,11,11,11
"[0.993,0.994)",20602,3436,981,63,17,17,17
"[0.992,0.993)",21102,3402,961,51,15,15,15
"[0.991,0.992)",25245,4178,1208,56,8,8,8
"[0.99,0.991)",12864,2091,616,41,4,4,4
