metric_type,quality_bin,202512,202601,202602,total
credit_rate,1,\N,0.00000,\N,0.00000
credit_rate,2,\N,0.00000,\N,0.00000
credit_rate,3,\N,0.00000,\N,0.00000
credit_rate,4,0.00000,0.00000,0.00000,0.00000
credit_rate,5,0.00000,0.00000,0.01201,0.01122
credit_rate,6,0.02381,0.03125,0.02749,0.02774
credit_rate,7,0.03846,0.04245,0.03840,0.03871
credit_rate,8,0.07895,0.08468,0.07058,0.07177
credit_rate,9,0.08824,0.12727,0.11859,0.11934
credit_rate,10,0.25000,0.31714,0.25612,0.26154
credit_rate,total,0.09442,0.14413,0.11542,0.11780
avg_credit_value,1,\N,\N,\N,\N
avg_credit_value,2,\N,\N,\N,\N
avg_credit_value,3,\N,\N,\N,\N
avg_credit_value,4,\N,\N,\N,\N
avg_credit_value,5,\N,\N,5142.86,5142.86
avg_credit_value,6,12000.00,11200.00,12950.82,12818.18
avg_credit_value,7,6500.00,8888.89,13561.22,13168.22
avg_credit_value,8,13333.33,13142.86,15391.53,15166.67
avg_credit_value,9,34666.67,16228.57,13818.71,14042.44
avg_credit_value,10,24538.46,22516.13,18661.79,19077.39
avg_credit_value,total,22181.82,19443.30,16794.54,17062.60
