month_year,geo_category,attraction_type,monthly_visits,gdp_per_capita,visa_free_score
2013-01-01,Indonesia_Attractions,Ancient Ruins,2.0,3200.0,74
2013-01-01,Indonesia_Attractions,Ballets,1.0,3200.0,74
2013-01-01,Indonesia_Attractions,Beaches,27.0,3200.0,74
2013-01-01,Indonesia_Attractions,Flea & Street Markets,3.0,3200.0,74
2013-01-01,Indonesia_Attractions,Historic Sites,7.0,3200.0,74
2013-01-01,Indonesia_Attractions,History Museums,3.0,3200.0,74
2013-01-01,Indonesia_Attractions,Nature & Wildlife Areas,81.0,3200.0,74
2013-01-01,Indonesia_Attractions,Points of Interest & Landmarks,5.0,3200.0,74
2013-01-01,Indonesia_Attractions,Religious Sites,13.0,3200.0,74
2013-01-01,Indonesia_Attractions,Volcanos,19.0,3200.0,74
2013-01-01,Indonesia_Attractions,Water Parks,46.0,3200.0,74
2013-02-01,Indonesia_Attractions,Ancient Ruins,5.0,3200.0,74
2013-02-01,Indonesia_Attractions,Ballets,3.0,3200.0,74
2013-02-01,Indonesia_Attractions,Beaches,23.0,3200.0,74
2013-02-01,Indonesia_Attractions,Flea & Street Markets,9.0,3200.0,74
2013-02-01,Indonesia_Attractions,Historic Sites,14.0,3200.0,74
2013-02-01,Indonesia_Attractions,History Museums,4.0,3200.0,74
2013-02-01,Indonesia_Attractions,Nature & Wildlife Areas,67.0,3200.0,74
2013-02-01,Indonesia_Attractions,Points of Interest & Landmarks,5.0,3200.0,74
2013-02-01,Indonesia_Attractions,Religious Sites,10.0,3200.0,74
2013-02-01,Indonesia_Attractions,Volcanos,16.0,3200.0,74
2013-02-01,Indonesia_Attractions,Water Parks,30.0,3200.0,74
2013-03-01,Indonesia_Attractions,Ancient Ruins,5.0,3200.0,74
2013-03-01,Indonesia_Attractions,Ballets,2.0,3200.0,74
2013-03-01,Indonesia_Attractions,Beaches,42.0,3200.0,74
2013-03-01,Indonesia_Attractions,Flea & Street Markets,16.0,3200.0,74
2013-03-01,Indonesia_Attractions,Historic Sites,7.0,3200.0,74
2013-03-01,Indonesia_Attractions,History Museums,5.0,3200.0,74
2013-03-01,Indonesia_Attractions,Nature & Wildlife Areas,69.0,3200.0,74
2013-03-01,Indonesia_Attractions,Points of Interest & Landmarks,10.0,3200.0,74
2013-03-01,Indonesia_Attractions,Religious Sites,12.0,3200.0,74
2013-03-01,Indonesia_Attractions,Volcanos,24.0,3200.0,74
2013-03-01,Indonesia_Attractions,Water Parks,45.0,3200.0,74
2013-03-01,Indonesia_Attractions,Waterfalls,1.0,3200.0,74
2013-04-01,Indonesia_Attractions,Ballets,2.0,3200.0,74
2013-04-01,Indonesia_Attractions,Beaches,36.0,3200.0,74
2013-04-01,Indonesia_Attractions,Flea & Street Markets,2.0,3200.0,74
2013-04-01,Indonesia_Attractions,Historic Sites,6.0,3200.0,74
