entity_id,source,dominant_topic,cluster_label,topic_weights
airbnb_0,Airbnb,0,5,"[np.float64(0.12727709529741973), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.08478657652220124), np.float64(0.0)]"
airbnb_1,Airbnb,0,5,"[np.float64(0.06619039721653715), np.float64(0.0), np.float64(0.008924113936448493), np.float64(0.001078311306306465), np.float64(0.003621390279147378), np.float64(0.004202982199066643), np.float64(0.0), np.float64(0.004262515207405453)]"
airbnb_2,Airbnb,0,5,"[np.float64(0.12030393930862636), np.float64(0.0), np.float64(0.044224790199500916), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
airbnb_4,Airbnb,4,0,"[np.float64(0.06747812966995534), np.float64(0.0), np.float64(0.005051030524777683), np.float64(0.0), np.float64(0.13841863317762743), np.float64(0.0), np.float64(0.09848213591255434), np.float64(0.0)]"
airbnb_5,Airbnb,2,0,"[np.float64(0.03414122682382589), np.float64(0.0), np.float64(0.12726695336535854), np.float64(0.024845420321886375), np.float64(0.007956066487070836), np.float64(0.047104290840450445), np.float64(0.022346680185506403), np.float64(0.01670396398517515)]"
airbnb_6,Airbnb,0,5,"[np.float64(0.11437537800997945), np.float64(0.0), np.float64(0.004659452468274639), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.009142486439291053), np.float64(0.0)]"
airbnb_7,Airbnb,0,5,"[np.float64(0.12543652776630662), np.float64(0.0023861111508353375), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.001976872571587727), np.float64(0.0008978091476675274), np.float64(0.0)]"
airbnb_8,Airbnb,0,0,"[np.float64(0.11177091124907647), np.float64(0.0), np.float64(0.002793584919732566), np.float64(0.0), np.float64(0.0003093913209802053), np.float64(0.019602370711301595), np.float64(0.0), np.float64(0.0)]"
airbnb_9,Airbnb,0,5,"[np.float64(0.08949152569365876), np.float64(0.0), np.float64(0.0), np.float64(0.015876752847919052), np.float64(0.003997357305781813), np.float64(0.0668169190055374), np.float64(0.01016335836653758), np.float64(0.0)]"
airbnb_10,Airbnb,2,0,"[np.float64(0.0), np.float64(0.0), np.float64(0.13995950910270824), np.float64(0.0012884658469654285), np.float64(0.0), np.float64(0.059510667238179334), np.float64(0.0), np.float64(0.0007202524353095114)]"
airbnb_11,Airbnb,0,5,"[np.float64(0.07828760191681078), np.float64(0.0), np.float64(0.009158328283200769), np.float64(0.0), np.float64(0.023412430450059522), np.float64(0.002539463434748806), np.float64(0.018475707421080914), np.float64(0.0)]"
airbnb_12,Airbnb,0,5,"[np.float64(0.11724210773234638), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0028344046091490363), np.float64(0.0), np.float64(0.012017647521382315), np.float64(0.0)]"
airbnb_13,Airbnb,5,5,"[np.float64(0.012986060242914902), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.002901143763966526), np.float64(0.11458723871960634), np.float64(0.009660697030999808), np.float64(0.0)]"
airbnb_14,Airbnb,6,0,"[np.float64(0.021676495219474397), np.float64(0.0), np.float64(0.005846893813617696), np.float64(0.013758240172672988), np.float64(0.04897059046024042), np.float64(0.003942402645828943), np.float64(0.04927863485077441), np.float64(0.0)]"
airbnb_15,Airbnb,5,0,"[np.float64(0.1188507299945287), np.float64(8.99507567880457e-06), np.float64(0.0267608818045354), np.float64(0.0), np.float64(0.0), np.float64(0.1513227590751817), np.float64(0.0), np.float64(0.0)]"
airbnb_16,Airbnb,0,0,"[np.float64(0.05503084725545772), np.float64(0.0), np.float64(0.006441355108585134), np.float64(0.030620695580900498), np.float64(0.030964509774204046), np.float64(0.0), np.float64(0.0), np.float64(0.0001020121589070705)]"
airbnb_17,Airbnb,0,5,"[np.float64(0.10556586078410853), np.float64(0.0001252274103447146), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
airbnb_18,Airbnb,4,0,"[np.float64(0.00020629925409320466), np.float64(0.0011868936279908315), np.float64(0.0), np.float64(0.008400957117872764), np.float64(0.02241185194351593), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
airbnb_19,Airbnb,0,5,"[np.float64(0.12225199649212719), np.float64(0.0), np.float64(0.0), np.float64(0.002433824136010093), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
airbnb_20,Airbnb,0,0,"[np.float64(0.08397522241252946), np.float64(0.0), np.float64(0.052728063819072864), np.float64(0.0), np.float64(0.0), np.float64(0.06504386884150061), np.float64(0.044699372946921265), np.float64(0.00036405535653448234)]"
airbnb_21,Airbnb,4,0,"[np.float64(0.044170632774792815), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.20647464994213088), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
airbnb_22,Airbnb,5,5,"[np.float64(0.11032496487059337), np.float64(2.4508082005734787e-05), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15823621252293588), np.float64(0.0), np.float64(0.0)]"
airbnb_23,Airbnb,5,0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15486860264527244), np.float64(0.0), np.float64(0.0)]"
