country_name,domain_rating_zscore,visit_volume_proxy,gdp_per_capita,visa_free_score,trend_cluster
United States,6.257519497951168e-17,101741,37800.0,182.0,1
United Kingdom,-9.312753492862906e-16,5585,27700.0,186.0,2
Afghanistan,0.8676715398227698,1,700.0,25.0,0
Albania,0.24945995027203766,5,4500.0,122.0,0
Algeria,0.35249521519715965,4,6000.0,55.0,0
Angola,-1.0213083171378006,6,1900.0,48.0,0
Argentina,-0.0962067449606298,31,11200.0,170.0,0
Armenia,-0.16268110942845043,2,3500.0,67.0,0
Australia,0.06369947939892692,13322,29000.0,185.0,2
Austria,0.0797548080424249,85,30000.0,188.0,0
Azerbaijan,0.5242206567390296,3,3400.0,72.0,0
Bahamas,0.35249521519715965,4,15000.0,159.0,0
Bahrain,-0.12588280052662118,28,16900.0,90.0,0
Bangladesh,0.1515399112651841,141,1900.0,39.0,0
Barbados,0.35249521519715965,2,15700.0,163.0,0
Belarus,0.8676715398227698,4,6100.0,81.0,0
Belgium,-0.2457740650132263,310,29100.0,188.0,0
Belize,0.35249521519715965,2,4900.0,102.0,0
Bhutan,0.5242206567390296,3,1300.0,51.0,0
Bolivia,0.8676715398227698,1,2400.0,78.0,0
Bosnia and Herzegovina,0.4260918330008182,7,15000.0,123.0,0
Botswana,0.35249521519715965,4,9000.0,85.0,0
Brazil,-0.14796178586771877,140,7600.0,170.0,0
Brunei Darussalam,0.06628614596070959,45,15000.0,100.0,0
Bulgaria,0.006481265821749881,67,7600.0,177.0,0
Burkina Faso,-1.1930337586796707,1,1100.0,59.0,0
Cambodia,-0.6349260736685931,48,1900.0,52.0,0
Cameroon,-0.6778574340540606,2,1800.0,49.0,0
Canada,0.029383280775175383,1486,29800.0,184.0,0
Cape Verde,-0.1626811094284505,1,1400.0,100.0,0
Chad,-1.1930337586796707,1,1200.0,52.0,0
Chile,-0.3142035578477476,34,9900.0,176.0,0
China,-0.10677050055435323,645,5000.0,83.0,0
Colombia,0.4383579359680947,12,6300.0,132.0,0
Costa Rica,-0.20389521539849928,25,9100.0,149.0,0
Croatia,0.3233342911617478,53,10600.0,183.0,0
Cuba,-3.2537390571821114,1,2900.0,60.0,0
Curacao,-0.4202692717412555,8,15000.0,100.0,0
Cyprus,0.024655735889953224,66,19200.0,178.0,0
Czech Republic,-0.29537804152898645,132,15700.0,100.0,0
Denmark,-0.3591466569551662,236,31100.0,189.0,0
Dominican Republic,0.35249521519715965,2,6000.0,73.0,0
East Timor,0.18076977365528962,15,500.0,100.0,0
Ecuador,-0.24854383019938545,12,3300.0,94.0,0
Egypt,0.13264289831871456,157,4000.0,49.0,0
Estonia,0.3353226710429727,60,12300.0,184.0,0
Ethiopia,-0.16268110942845043,2,700.0,45.0,0
Fiji,-0.5373548000652578,11,5800.0,90.0,0
Finland,-0.24386040906642542,165,27400.0,189.0,0
France,-0.09068056285426881,415,27600.0,189.0,0
French Polynesia,-0.9869632288294268,5,17500.0,100.0,0
Georgia,-0.20891488215126164,468,2500.0,123.0,0
