metric_type,value
rating_r2,0.0496
rating_mae,1.0579
visits_r2,0.3733
visits_mae,5760.0141
rating_importance_price_log,0.4387
rating_importance_source_Airbnb,0.553
rating_importance_source_UK_Indoor,0.0059
rating_importance_source_UK_Outdoor,0.0024
visits_importance_price_log,0.4631
visits_importance_source_Airbnb,0.5153
visits_importance_source_UK_Indoor,0.0112
visits_importance_source_UK_Outdoor,0.0104
n_estimators,100.0
random_state,42.0
test_size,0.2
total_samples,91683.0
train_samples,73346.0
test_samples,18337.0
n_features,4.0
