year_month,source,health_index,is_forecast
2012-07,Airbnb,0.4208,False
2012-08,Airbnb,0.3763,False
2012-09,Airbnb,0.2842,False
2012-11,Airbnb,0.2248,False
2012-12,Airbnb,0.2545,False
2013-01,Airbnb,0.3879,False
2013-03,Airbnb,0.3879,False
2013-04,Airbnb,0.3879,False
2013-05,Airbnb,0.3243,False
2013-06,Airbnb,0.3668,False
2013-07,Airbnb,0.3668,False
2013-08,Airbnb,0.3148,False
2013-09,Airbnb,0.239,False
2013-10,Airbnb,0.1895,False
2013-11,Airbnb,0.1955,False
2013-12,Airbnb,0.2763,False
2014-01,Airbnb,0.2848,False
2014-02,Airbnb,0.2788,False
2014-03,Airbnb,0.2609,False
2014-04,Airbnb,0.2373,False
2014-05,Airbnb,0.2601,False
2014-06,Airbnb,0.2424,False
2014-07,Airbnb,0.2569,False
2014-08,Airbnb,0.2588,False
2014-09,Airbnb,0.2341,False
2014-10,Airbnb,0.222,False
2014-11,Airbnb,0.2531,False
2014-12,Airbnb,0.2658,False
2015-01,Airbnb,0.2631,False
2015-02,Airbnb,0.2197,False
2015-03,Airbnb,0.1993,False
2015-04,Airbnb,0.2185,False
2015-05,Airbnb,0.2378,False
2015-06,Airbnb,0.2707,False
2015-07,Airbnb,0.2512,False
2015-08,Airbnb,0.2536,False
2015-09,Airbnb,0.2312,False
2015-10,Airbnb,0.2336,False
2015-11,Airbnb,0.2412,False
2015-12,Airbnb,0.2529,False
2016-01,Airbnb,0.2647,False
2016-02,Airbnb,0.2377,False
2016-03,Airbnb,0.2383,False
2016-04,Airbnb,0.2144,False
2016-05,Airbnb,0.225,False
2016-06,Airbnb,0.232,False
2016-07,Airbnb,0.2503,False
2016-08,Airbnb,0.254,False
2016-09,Airbnb,0.2395,False
2016-10,Airbnb,0.2388,False
2016-11,Airbnb,0.2286,False
2016-12,Airbnb,0.2384,False
2017-01,Airbnb,0.2448,False
2017-02,Airbnb,0.2634,False
2017-03,Airbnb,0.2697,False
2017-04,Airbnb,0.2585,False
2017-05,Airbnb,0.2535,False
2017-06,Airbnb,0.2569,False
2017-07,Airbnb,0.2604,False
2017-08,Airbnb,0.2715,False
2017-09,Airbnb,0.2673,False
2017-10,Airbnb,0.2899,False
2017-11,Airbnb,0.2937,False
2017-12,Airbnb,0.2968,False
2018-01,Airbnb,0.2904,False
2018-02,Airbnb,0.2878,False
2018-03,Airbnb,0.2877,False
2018-04,Airbnb,0.2867,False
2018-05,Airbnb,0.2946,False
2018-06,Airbnb,0.3002,False
2018-07,Airbnb,0.304,False
2018-08,Airbnb,0.3075,False
2018-09,Airbnb,0.3062,False
2018-10,Airbnb,0.3053,False
2018-11,Airbnb,0.2993,False
2018-12,Airbnb,0.307,False
2019-01,Airbnb,0.3215,False
2019-02,Airbnb,0.3246,False
2019-03,Airbnb,0.3233,False
2019-04,Airbnb,0.3212,False
2019-05,Airbnb,0.3499,False
2019-06,Airbnb,0.4758,False
2019-07,Airbnb,0.5106,False
2010-01,FISETIO_Indoor,0.4382,False
2010-02,FISETIO_Indoor,0.4001,False
2010-03,FISETIO_Indoor,0.3438,False
2010-04,FISETIO_Indoor,0.3467,False
2010-05,FISETIO_Indoor,0.3284,False
2010-06,FISETIO_Indoor,0.3899,False
2010-07,FISETIO_Indoor,0.3857,False
2010-08,FISETIO_Indoor,0.453,False
2010-09,FISETIO_Indoor,0.432,False
2010-10,FISETIO_Indoor,0.3842,False
2010-11,FISETIO_Indoor,0.3277,False
2010-12,FISETIO_Indoor,0.3462,False
2011-01,FISETIO_Indoor,0.4006,False
2011-02,FISETIO_Indoor,0.4121,False
2011-03,FISETIO_Indoor,0.3782,False
2011-04,FISETIO_Indoor,0.344,False
2011-05,FISETIO_Indoor,0.3833,False
2011-06,FISETIO_Indoor,0.4431,False
2011-07,FISETIO_Indoor,0.5548,False
2011-08,FISETIO_Indoor,0.6124,False
2011-09,FISETIO_Indoor,0.6002,False
2011-10,FISETIO_Indoor,0.5536,False
2011-11,FISETIO_Indoor,0.4975,False
2011-12,FISETIO_Indoor,0.4904,False
2012-01,FISETIO_Indoor,0.4931,False
2012-02,FISETIO_Indoor,0.531,False
2012-03,FISETIO_Indoor,0.5702,False
2012-04,FISETIO_Indoor,0.6145,False
2012-05,FISETIO_Indoor,0.614,False
2012-06,FISETIO_Indoor,0.6547,False
2012-07,FISETIO_Indoor,0.6456,False
2012-08,FISETIO_Indoor,0.6615,False
2012-09,FISETIO_Indoor,0.6515,False
2012-10,FISETIO_Indoor,0.66,False
2012-11,FISETIO_Indoor,0.6516,False
2012-12,FISETIO_Indoor,0.6037,False
2013-01,FISETIO_Indoor,0.5323,False
2013-02,FISETIO_Indoor,0.5299,False
2013-03,FISETIO_Indoor,0.5909,False
2013-04,FISETIO_Indoor,0.6502,False
2013-05,FISETIO_Indoor,0.6659,False
2013-06,FISETIO_Indoor,0.6547,False
2013-07,FISETIO_Indoor,0.6918,False
2013-08,FISETIO_Indoor,0.7188,False
2013-09,FISETIO_Indoor,0.7052,False
2013-10,FISETIO_Indoor,0.6639,False
2013-11,FISETIO_Indoor,0.5789,False
2013-12,FISETIO_Indoor,0.5541,False
2014-01,FISETIO_Indoor,0.5344,False
2014-02,FISETIO_Indoor,0.5868,False
2014-03,FISETIO_Indoor,0.6034,False
2014-04,FISETIO_Indoor,0.6414,False
2014-05,FISETIO_Indoor,0.6477,False
2014-06,FISETIO_Indoor,0.661,False
2014-07,FISETIO_Indoor,0.6781,False
2014-08,FISETIO_Indoor,0.7242,False
2014-09,FISETIO_Indoor,0.7285,False
2014-10,FISETIO_Indoor,0.7107,False
2014-11,FISETIO_Indoor,0.6337,False
2014-12,FISETIO_Indoor,0.6222,False
2015-01,FISETIO_Indoor,0.5849,False
2015-02,FISETIO_Indoor,0.5962,False
2015-03,FISETIO_Indoor,0.5924,False
2015-04,FISETIO_Indoor,0.6194,False
2015-05,FISETIO_Indoor,0.6444,False
2015-06,FISETIO_Indoor,0.6609,False
2015-07,FISETIO_Indoor,0.6869,False
2015-08,FISETIO_Indoor,0.711,False
2015-09,FISETIO_Indoor,0.6903,False
2015-10,FISETIO_Indoor,0.6579,False
2015-11,FISETIO_Indoor,0.5801,False
2015-12,FISETIO_Indoor,0.5694,False
2016-01,FISETIO_Indoor,0.5408,False
2016-02,FISETIO_Indoor,0.5894,False
2016-03,FISETIO_Indoor,0.6478,False
2016-04,FISETIO_Indoor,0.6751,False
2016-05,FISETIO_Indoor,0.6399,False
2016-06,FISETIO_Indoor,0.6122,False
2016-07,FISETIO_Indoor,0.6366,False
2016-08,FISETIO_Indoor,0.6968,False
2016-09,FISETIO_Indoor,0.6972,False
2016-10,FISETIO_Indoor,0.6896,False
2016-11,FISETIO_Indoor,0.6275,False
2016-12,FISETIO_Indoor,0.6202,False
2017-01,FISETIO_Indoor,0.5577,False
2017-02,FISETIO_Indoor,0.5841,False
2017-03,FISETIO_Indoor,0.6002,False
2017-04,FISETIO_Indoor,0.6639,False
2017-05,FISETIO_Indoor,0.6414,False
2017-06,FISETIO_Indoor,0.6288,False
2017-07,FISETIO_Indoor,0.6298,False
2017-08,FISETIO_Indoor,0.674,False
2017-09,FISETIO_Indoor,0.653,False
2017-10,FISETIO_Indoor,0.6365,False
2017-11,FISETIO_Indoor,0.5911,False
2017-12,FISETIO_Indoor,0.5928,False
2018-01,FISETIO_Indoor,0.5702,False
2018-02,FISETIO_Indoor,0.5904,False
2018-03,FISETIO_Indoor,0.6183,False
2018-04,FISETIO_Indoor,0.6652,False
2018-05,FISETIO_Indoor,0.6729,False
2018-06,FISETIO_Indoor,0.6785,False
2013-09,FISETIO_Outdoor,0.4197,False
2013-10,FISETIO_Outdoor,0.4192,False
2013-11,FISETIO_Outdoor,0.4425,False
2013-12,FISETIO_Outdoor,0.47,False
2014-01,FISETIO_Outdoor,0.4284,False
2014-02,FISETIO_Outdoor,0.3735,False
2014-03,FISETIO_Outdoor,0.363,False
2014-04,FISETIO_Outdoor,0.4184,False
2014-05,FISETIO_Outdoor,0.4838,False
2014-06,FISETIO_Outdoor,0.4803,False
2014-07,FISETIO_Outdoor,0.4794,False
2014-08,FISETIO_Outdoor,0.4771,False
2014-09,FISETIO_Outdoor,0.4841,False
2014-10,FISETIO_Outdoor,0.4771,False
2014-11,FISETIO_Outdoor,0.4656,False
2014-12,FISETIO_Outdoor,0.4637,False
2015-01,FISETIO_Outdoor,0.4625,False
2015-02,FISETIO_Outdoor,0.4525,False
2015-03,FISETIO_Outdoor,0.4818,False
2015-04,FISETIO_Outdoor,0.5206,False
2015-05,FISETIO_Outdoor,0.5402,False
2015-06,FISETIO_Outdoor,0.5403,False
2015-07,FISETIO_Outdoor,0.6027,False
2015-08,FISETIO_Outdoor,0.6118,False
2015-09,FISETIO_Outdoor,0.6142,False
2015-10,FISETIO_Outdoor,0.5574,False
2015-11,FISETIO_Outdoor,0.4574,False
2015-12,FISETIO_Outdoor,0.4324,False
2016-01,FISETIO_Outdoor,0.3874,False
2016-02,FISETIO_Outdoor,0.4962,False
2016-03,FISETIO_Outdoor,0.5066,False
2016-04,FISETIO_Outdoor,0.5318,False
2016-05,FISETIO_Outdoor,0.5561,False
2016-06,FISETIO_Outdoor,0.6208,False
2016-07,FISETIO_Outdoor,0.686,False
2016-08,FISETIO_Outdoor,0.7193,False
2019-08,Airbnb,0.5117,True
2019-09,Airbnb,0.5128,True
2019-10,Airbnb,0.5139,True
2019-11,Airbnb,0.515,True
2019-12,Airbnb,0.5161,True
2020-01,Airbnb,0.5172,True
2020-02,Airbnb,0.5183,True
2020-03,Airbnb,0.5194,True
2020-04,Airbnb,0.5205,True
2020-05,Airbnb,0.5216,True
2020-06,Airbnb,0.5226,True
2020-07,Airbnb,0.5237,True
2018-07,FISETIO_Indoor,0.6809,True
2018-08,FISETIO_Indoor,0.6833,True
2018-09,FISETIO_Indoor,0.6856,True
2018-10,FISETIO_Indoor,0.688,True
2018-11,FISETIO_Indoor,0.6904,True
2018-12,FISETIO_Indoor,0.6928,True
2019-01,FISETIO_Indoor,0.6952,True
2019-02,FISETIO_Indoor,0.6975,True
2019-03,FISETIO_Indoor,0.6999,True
2019-04,FISETIO_Indoor,0.7023,True
2019-05,FISETIO_Indoor,0.7047,True
2019-06,FISETIO_Indoor,0.7071,True
2016-09,FISETIO_Outdoor,0.7279,True
2016-10,FISETIO_Outdoor,0.7364,True
2016-11,FISETIO_Outdoor,0.745,True
2016-12,FISETIO_Outdoor,0.7535,True
2017-01,FISETIO_Outdoor,0.7621,True
2017-02,FISETIO_Outdoor,0.7707,True
2017-03,FISETIO_Outdoor,0.7792,True
2017-04,FISETIO_Outdoor,0.7878,True
2017-05,FISETIO_Outdoor,0.7963,True
2017-06,FISETIO_Outdoor,0.8049,True
2017-07,FISETIO_Outdoor,0.8135,True
2017-08,FISETIO_Outdoor,0.822,True
