Country,Year_Month,AttractionCategory,Performance_Index
United Kingdom,2010-08,Museum-like,0.0
United Kingdom,2011-07,Museum-like,35.71
United Kingdom,2011-08,Museum-like,3.57
United Kingdom,2012-04,Museum-like,7.14
United Kingdom,2013-03,Museum-like,14.29
United Kingdom,2013-04,Museum-like,10.71
United Kingdom,2013-07,Museum-like,67.86
United Kingdom,2013-08,Museum-like,19.64
United Kingdom,2014-04,Museum-like,42.86
United Kingdom,2014-07,Museum-like,60.71
United Kingdom,2014-07,Park-like,75.0
United Kingdom,2014-08,Museum-like,19.64
United Kingdom,2014-08,Park-like,78.57
United Kingdom,2015-06,Park-like,85.71
United Kingdom,2015-07,Museum-like,32.14
United Kingdom,2015-07,Park-like,92.86
United Kingdom,2015-08,Museum-like,53.57
United Kingdom,2015-08,Park-like,82.14
United Kingdom,2016-06,Park-like,100.0
United Kingdom,2016-07,Museum-like,25.0
United Kingdom,2016-07,Park-like,89.29
United Kingdom,2016-08,Museum-like,57.14
United Kingdom,2016-08,Park-like,96.43
United Kingdom,2016-10,Museum-like,48.21
United Kingdom,2017-04,Museum-like,28.57
United Kingdom,2017-07,Museum-like,48.21
United Kingdom,2017-08,Museum-like,39.29
United Kingdom,2018-04,Museum-like,64.29
United States,2015-01,Accommodation,71.43
