year_month,source,activity_index
2012-07,Airbnb_NYC,0.0
2012-08,Airbnb_NYC,0.0
2012-09,Airbnb_NYC,0.0
2012-11,Airbnb_NYC,0.0
2012-12,Airbnb_NYC,0.0
2013-01,Airbnb_NYC,0.0
2013-03,Airbnb_NYC,0.0
2013-04,Airbnb_NYC,0.0
2013-05,Airbnb_NYC,0.0
2013-06,Airbnb_NYC,0.0
2013-07,Airbnb_NYC,0.0
2013-08,Airbnb_NYC,0.0
2013-09,Airbnb_NYC,0.0
2013-10,Airbnb_NYC,0.0
2013-11,Airbnb_NYC,0.0
2013-12,Airbnb_NYC,0.0
2014-01,Airbnb_NYC,0.0
2014-02,Airbnb_NYC,0.0
2014-03,Airbnb_NYC,0.0
2014-04,Airbnb_NYC,0.0
2014-05,Airbnb_NYC,0.0
2014-06,Airbnb_NYC,0.0
2014-07,Airbnb_NYC,0.0
2014-08,Airbnb_NYC,0.0
2014-09,Airbnb_NYC,0.0
2014-10,Airbnb_NYC,0.0
2014-11,Airbnb_NYC,0.0
2014-12,Airbnb_NYC,0.0
2015-01,Airbnb_NYC,0.0
2015-02,Airbnb_NYC,0.0
2015-03,Airbnb_NYC,0.0
2015-04,Airbnb_NYC,0.0
2015-05,Airbnb_NYC,0.0
2015-06,Airbnb_NYC,0.0
2015-07,Airbnb_NYC,0.0
2015-08,Airbnb_NYC,0.0
2015-09,Airbnb_NYC,0.0
2015-10,Airbnb_NYC,0.0
2015-11,Airbnb_NYC,0.0
2015-12,Airbnb_NYC,0.0
2016-01,Airbnb_NYC,0.0
2016-02,Airbnb_NYC,0.0
2016-03,Airbnb_NYC,0.0
2016-04,Airbnb_NYC,0.0
2016-05,Airbnb_NYC,0.0
2016-06,Airbnb_NYC,0.0
2016-07,Airbnb_NYC,0.0
2016-08,Airbnb_NYC,0.0
2016-09,Airbnb_NYC,0.0
2016-10,Airbnb_NYC,0.0
2016-11,Airbnb_NYC,0.0
2016-12,Airbnb_NYC,0.0
2017-01,Airbnb_NYC,0.0
2017-02,Airbnb_NYC,0.0
2017-03,Airbnb_NYC,0.0
2017-04,Airbnb_NYC,0.0
2017-05,Airbnb_NYC,0.0
2017-06,Airbnb_NYC,0.0
2017-07,Airbnb_NYC,0.0
2017-08,Airbnb_NYC,0.0
2017-09,Airbnb_NYC,0.0
2017-10,Airbnb_NYC,0.0
2017-11,Airbnb_NYC,0.0
2017-12,Airbnb_NYC,0.0
2018-01,Airbnb_NYC,0.0
2018-02,Airbnb_NYC,0.0
2018-03,Airbnb_NYC,0.0
2018-04,Airbnb_NYC,0.0
2018-05,Airbnb_NYC,0.0
2018-06,Airbnb_NYC,0.0
2018-07,Airbnb_NYC,0.0
2018-08,Airbnb_NYC,0.0
2018-09,Airbnb_NYC,0.0
2018-10,Airbnb_NYC,0.0
2018-11,Airbnb_NYC,0.0
2018-12,Airbnb_NYC,0.0
2019-01,Airbnb_NYC,0.0
2019-02,Airbnb_NYC,0.0
2019-03,Airbnb_NYC,0.0
2019-04,Airbnb_NYC,0.0
2019-05,Airbnb_NYC,0.0
2019-06,Airbnb_NYC,0.0
2019-07,Airbnb_NYC,0.0
2010-01,FISETIO_UK,0.0259
2010-02,FISETIO_UK,0.0551
2010-03,FISETIO_UK,0.0532
2010-04,FISETIO_UK,0.0647
2010-05,FISETIO_UK,0.0584
2010-06,FISETIO_UK,0.0399
2010-07,FISETIO_UK,0.0939
2010-08,FISETIO_UK,0.133
2010-09,FISETIO_UK,0.0273
2010-10,FISETIO_UK,0.0876
2010-11,FISETIO_UK,0.0342
2010-12,FISETIO_UK,0.0
2011-01,FISETIO_UK,0.0325
2011-02,FISETIO_UK,0.0589
2011-03,FISETIO_UK,0.0529
2011-04,FISETIO_UK,0.059
2011-05,FISETIO_UK,0.0411
2011-06,FISETIO_UK,0.0544
2011-07,FISETIO_UK,0.1219
2011-08,FISETIO_UK,0.1353
2011-09,FISETIO_UK,0.0405
2011-10,FISETIO_UK,0.0875
2011-11,FISETIO_UK,0.0298
2011-12,FISETIO_UK,0.027
2012-01,FISETIO_UK,0.0434
2012-02,FISETIO_UK,0.0732
2012-03,FISETIO_UK,0.0675
2012-04,FISETIO_UK,0.1368
2012-05,FISETIO_UK,0.071
2012-06,FISETIO_UK,0.0866
2012-07,FISETIO_UK,0.0959
2012-08,FISETIO_UK,0.1162
2012-09,FISETIO_UK,0.0693
2012-10,FISETIO_UK,0.0934
2012-11,FISETIO_UK,0.0605
2012-12,FISETIO_UK,0.0368
2013-01,FISETIO_UK,0.0368
2013-02,FISETIO_UK,0.0879
2013-03,FISETIO_UK,0.1235
2013-04,FISETIO_UK,0.118
2013-05,FISETIO_UK,0.1092
2013-06,FISETIO_UK,0.0899
2013-07,FISETIO_UK,0.137
2013-08,FISETIO_UK,0.1566
2013-09,FISETIO_UK,0.556
2013-10,FISETIO_UK,0.3157
2013-11,FISETIO_UK,0.2891
2013-12,FISETIO_UK,0.2419
2014-01,FISETIO_UK,0.191
2014-02,FISETIO_UK,0.283
2014-03,FISETIO_UK,0.3662
2014-04,FISETIO_UK,0.5058
2014-05,FISETIO_UK,0.5932
2014-06,FISETIO_UK,0.7183
2014-07,FISETIO_UK,0.9238
2014-08,FISETIO_UK,0.9208
2014-09,FISETIO_UK,0.5774
2014-10,FISETIO_UK,0.5107
2014-11,FISETIO_UK,0.3359
2014-12,FISETIO_UK,0.2999
