zone,borough,avg_trip_distance,pt_commuting_pct,pickup_count
JFK Airport,Queens,15.844430257074746,30.885,1016397
LaGuardia Airport,Queens,9.759153086114521,40.5825,663326
Upper West Side North,Manhattan,5.091866717594508,48.168,377004
TriBeCa/Civic Center,Manhattan,6.423808483056386,46.13,280017
Yorkville East,Manhattan,6.340049157821704,46.71277777777778,270964
Lincoln Square West,Manhattan,7.101120583831325,41.814166666666665,222393
Meatpacking/West Village West,Manhattan,5.285857350678807,41.16888888888889,215157
Little Italy/NoLiTa,Manhattan,6.113042839889171,43.3976923076923,211135
Battery Park City,Manhattan,5.830074964466385,41.285,130862
Clinton West,Manhattan,5.334798378065264,37.248000000000005,129475
East Harlem South,Manhattan,5.911576616269363,55.515499999999996,129372
Financial District North,Manhattan,5.773938934116929,44.068,124554
Morningside Heights,Manhattan,12.238073341573958,42.99333333333333,97080
East Elmhurst,Queens,10.691165646466283,56.105000000000004,80213
Financial District South,Manhattan,7.983245856562269,45.53,66189
Central Harlem,Manhattan,30.6129417280643,54.36526315789474,59720
East Harlem North,Manhattan,23.1710444990445,62.37913043478261,54945
Bloomingdale,Manhattan,13.329978811518828,49.56875,51915
