geography,total_rides,avg_trip_distance,pt_commuting_pct
Manhattan,11366605,3.380373950709117,36.77604622355782
Queens,1090155,13.429842875554392,36.97402058553661
Brooklyn,130652,20.535917705048526,48.5649435225636
Bronx,31215,23.653823482300176,54.692095859840116
Noida,1675,24.10165373134328,
Udyog,1182,24.456522842639593,
Anand,1156,25.400043252595157,
Gurgaon,1138,24.870773286467486,
Khandsa,662,24.585015105740183,
Barakhamba Road,658,23.297355623100305,
Kanhaiya Nagar,644,23.845698757763973,
Madipur,644,24.09576086956522,
Subhash Chowk,635,24.495889763779527,
Badarpur,628,24.450207006369425,
Tilak Nagar,621,24.208776167471818,
Mehrauli,620,24.863129032258062,
Dwarka,619,24.991760904684977,
AIIMS,619,24.62014539579968,
Saket,617,24.51322528363047,
Malviya Nagar,616,25.572564935064936,
Ashok Park Main,615,24.68860162601626,
Shivaji Park,613,25.79066884176183,
Pataudi Chowk,612,24.39740196078431,
Panchsheel Park,612,23.993954248366013,
Peeragarhi,611,24.358592471358428,
Vishwavidyalaya,611,24.89949263502455,
Lok Kalyan Marg,610,24.435377049180328,
Inderlok,610,24.787590163934425,
Vasant Kunj,609,23.810197044334974,
Jahangirpuri,609,24.341576354679805,
Noida Film City,609,23.933711001642035,
RK Puram,607,24.429472817133444,
Subhash Nagar,607,23.804563426688635,
Tughlakabad,606,23.877937293729374,
Ghitorni,605,24.698,
Ambience Mall,605,23.642446280991734,
Jasola,605,24.040545454545455,
Hauz Khas,605,24.220347107438016,
Greater Kailash,603,24.94056384742952,
IGI Airport,603,24.85540630182421,
Pragati Maidan,602,25.091096345514952,
Ardee City,602,24.25705980066445,
Tagore Garden,602,23.76519933554817,
Mayur,601,24.705657237936773,
Delhi Gate,601,24.538602329450917,
Samaypur Badli,601,25.703477537437607,
Shastri Nagar,600,24.304033333333333,
India Gate,599,25.286060100166946,
South,599,24.24312186978297,
ITO,599,25.300100166944908,
IMT Manesar,599,24.85971619365609,
Gurgaon Railway Station,599,24.046627712854757,
Basai Dhankot,598,25.15103678929766,
Moti Nagar,598,25.299866220735787,
Huda City Centre,597,24.54457286432161,
Saidulajab,597,23.58996649916248,
Welcome,597,24.47680067001675,
Azadpur,595,24.624268907563025,
Jor Bagh,594,25.401784511784513,
Sushant Lok,594,24.762542087542087,
Chanakyapuri,594,25.63604377104377,
Adarsh Nagar,593,25.00399662731872,
Rajiv Nagar,593,24.560607082630693,
New,592,24.288817567567566,
Botanical Garden,592,25.409560810810813,
Sohna Road,591,24.545313028764806,
Kashmere Gate,590,24.261779661016952,
Cyber Hub,590,22.93876271186441,
Jama Masjid,590,24.14435593220339,
Rohini,589,24.33504244482173,
Okhla,589,24.808404074702885,
Rithala,589,24.95993208828523,
Kaushambi,589,25.36565365025467,
Yamuna Bank,588,24.372057823129254,
Tis Hazari,588,24.280510204081633,
Ashram,587,25.347904599659284,
Pulbangash,587,24.364293015332198,
Karol Bagh,586,24.88206484641638,
Sikanderpur,585,25.804017094017095,
Chandni Chowk,585,24.705076923076923,
Sonipat,585,24.627760683760684,
Nawada,585,25.096871794871795,
Rohini East,584,24.04345890410959,
Mansarovar Park,584,25.16373287671233,
Sultanpur,584,25.510513698630135,
Dwarka Mor,583,23.84346483704974,
Civil Lines Gurgaon,583,24.644871355060037,
DLF City Court,582,24.7336941580756,
Model Town,582,25.334536082474227,
Green Park,582,26.645481099656358,
Ghaziabad,581,25.063476764199656,
Shastri Park,580,25.208362068965517,
Hero Honda Chowk,580,25.041793103448274,
Nehru Place,580,24.407844827586207,
Vaishali,580,24.895672413793104,
INA Market,579,23.753056994818653,
Raj Nagar,579,24.499620034542314,
Sarojini Nagar,578,25.73764705882353,
Bhiwadi,577,25.050606585788564,
