LocationID,zone,borough,total_pickups,avg_fare,avg_trip_distance,PT_P,CA_P,WFH_P,is_top_10_pct,ncr_avg_ride_distance,ncr_cancellation_rate
161,Midtown Center,Manhattan,791963,15.91512583289876,2.5541344987076418,23.04,4.45,21.39,True,24.63701166666667,0.25
237,Upper East Side South,Manhattan,787554,12.756858780477275,2.083629376525292,26.97,14.38,14.19,True,24.63701166666667,0.25
132,JFK Airport,Queens,755293,59.700851351727074,15.561473984268355,18.39,62.21,9.07,True,24.63701166666667,0.25
236,Upper East Side North,Manhattan,736725,13.326878061691948,2.9436245138959585,17.55,19.63,27.84,True,24.63701166666667,0.25
162,Midtown East,Manhattan,581208,15.472111980564616,2.9311227133831603,28.88,6.8,27.49,True,24.63701166666667,0.25
230,Times Sq/Theatre District,Manhattan,570833,18.462659096443268,3.4026602351300643,42.5,15.0,7.5,True,24.63701166666667,0.25
142,Lincoln Square East,Manhattan,558076,13.94553028619758,2.662445562969918,42.66,5.43,18.25,True,24.63701166666667,0.25
186,Penn Station/Madison Sq West,Manhattan,545620,16.555505663282137,2.406096825629559,41.84,10.58,24.65,True,24.63701166666667,0.25
138,LaGuardia Airport,Queens,522663,42.454792017035835,9.62395409661675,41.1,40.27,7.47,True,24.63701166666667,0.25
239,Upper West Side South,Manhattan,486788,14.018395215165535,3.4485959390946364,45.19,0.8,32.47,True,24.63701166666667,0.25
163,Midtown North,Manhattan,484006,15.792834923534006,2.769157138547869,25.56,2.34,26.54,True,24.63701166666667,0.25
170,Murray Hill,Manhattan,478078,15.554991068403062,2.4643793481398433,22.99,1.15,39.0,True,24.63701166666667,0.25
234,Union Sq,Manhattan,447759,14.478625957267191,2.16818415710237,36.63,8.65,28.66,True,24.63701166666667,0.25
68,East Chelsea,Manhattan,444161,17.011334673688143,2.575016987083513,45.11,1.86,27.91,True,24.63701166666667,0.25
48,Clinton East,Manhattan,426830,15.425972916617857,3.450996204577935,33.37,5.37,21.33,True,24.63701166666667,0.25
79,East Village,Manhattan,400489,14.948168414113745,3.3483252973240214,54.12,7.89,16.63,True,24.63701166666667,0.25
249,West Village,Manhattan,393860,14.875492306911086,2.556110496115371,53.8,3.78,17.1,True,24.63701166666667,0.25
141,Lenox Hill West,Manhattan,391585,13.227384322688561,2.3762868342760832,24.45,6.43,22.54,True,24.63701166666667,0.25
164,Midtown South,Manhattan,378446,15.952327808987281,2.5468488502983253,30.1,3.5,19.08,True,24.63701166666667,0.25
140,Lenox Hill East,Manhattan,341087,15.269377812698812,4.098813821693585,21.03,4.33,35.61,True,24.63701166666667,0.25
238,Upper West Side North,Manhattan,340685,14.125811702892701,4.83441859782497,41.49,27.92,14.98,True,24.63701166666667,0.25
107,Gramercy,Manhattan,340631,14.366551224051832,2.9950271114490463,39.67,4.83,29.65,True,24.63701166666667,0.25
263,Yorkville West,Manhattan,322912,14.578129304578336,4.856675688732534,47.48,9.43,20.74,True,24.63701166666667,0.25
229,Sutton Place/Turtle Bay North,Manhattan,303846,14.081372899429317,4.195920696668707,28.88,6.8,27.49,True,24.63701166666667,0.25
246,West Chelsea/Hudson Yards,Manhattan,287413,16.246771405607955,2.5358751691816304,36.8,3.37,30.65,True,24.63701166666667,0.25
90,Flatiron,Manhattan,268607,14.669065698213375,3.0956064063855373,34.38,9.1,33.67,True,24.63701166666667,0.25
43,Central Park,Manhattan,264335,14.820763954830046,2.684453401933153,7.28,10.6,22.19,False,24.63701166666667,0.25
100,Garment District,Manhattan,256632,16.138481210449203,2.7902228482808065,46.94,2.51,20.62,False,24.63701166666667,0.25
113,Greenwich Village North,Manhattan,241578,14.65803107071008,2.6532332000430503,37.41,1.35,24.58,False,24.63701166666667,0.25
114,Greenwich Village South,Manhattan,240500,14.947416216216217,3.9032998336798337,42.02,6.74,25.35,False,24.63701166666667,0.25
262,Yorkville East,Manhattan,236769,14.659239342988313,6.728609446337992,62.86,3.29,12.67,False,24.63701166666667,0.25
231,TriBeCa/Civic Center,Manhattan,228815,18.340615519087475,4.594652972925726,43.56,6.43,22.91,False,24.63701166666667,0.25
233,UN/Turtle Bay South,Manhattan,200077,16.590107108763124,3.6468452645731393,19.94,4.18,33.29,False,24.63701166666667,0.25
143,Lincoln Square West,Manhattan,193224,14.032455440317973,3.4678665693702646,24.85,8.21,37.61,False,24.63701166666667,0.25
137,Kips Bay,Manhattan,183643,14.594115975016745,4.201268330401922,39.67,4.83,29.65,False,24.63701166666667,0.25
148,Lower East Side,Manhattan,181081,17.30514846946946,4.507300876403378,42.62,3.5,11.62,False,24.63701166666667,0.25
144,Little Italy/NoLiTa,Manhattan,163138,16.355415782956758,4.3160826416898574,100.0,0.0,0.0,False,24.63701166666667,0.25
158,Meatpacking/West Village West,Manhattan,159595,16.7054843196842,4.7312870703969425,53.8,3.78,17.1,False,24.63701166666667,0.25
151,Manhattan Valley,Manhattan,137298,14.861422817521012,7.3756576206499735,52.59,5.57,33.09,False,24.63701166666667,0.25
211,SoHo,Manhattan,130398,16.32264129817942,3.095976395343487,34.25,12.73,18.57,False,24.63701166666667,0.25
75,East Harlem South,Manhattan,108828,15.775872661447421,5.280835079207557,61.41,9.81,16.57,False,24.63701166666667,0.25
50,Clinton West,Manhattan,101499,15.9188921073114,4.368589542754116,42.79,1.33,23.06,False,24.63701166666667,0.25
13,Battery Park City,Manhattan,99190,22.6495871559633,5.772741102933763,44.15,7.03,21.45,False,24.63701166666667,0.25
166,Morningside Heights,Manhattan,88045,17.332913737293428,6.927693452211937,55.46,4.31,19.86,False,24.63701166666667,0.25
87,Financial District North,Manhattan,86892,22.89381013211803,5.439303157943193,38.35,0.89,27.08,False,24.63701166666667,0.25
125,Hudson Sq,Manhattan,84011,16.385225149087617,3.6212676911356847,33.38,7.73,37.35,False,24.63701166666667,0.25
261,World Trade Center,Manhattan,82913,23.28099731043383,4.785034313075151,38.35,0.89,27.08,False,24.63701166666667,0.25
70,East Elmhurst,Queens,67599,40.93419059453542,9.332457284871078,65.07,17.15,6.46,False,24.63701166666667,0.25
41,Central Harlem,Manhattan,47974,16.800502772335015,14.081346562721475,56.44,5.04,12.95,False,24.63701166666667,0.25
88,Financial District South,Manhattan,47356,24.086759016808852,6.187275107694906,38.35,0.89,27.08,False,24.63701166666667,0.25
24,Bloomingdale,Manhattan,45713,16.073331437446676,9.593425721348414,56.42,4.82,16.65,False,24.63701166666667,0.25
74,East Harlem North,Manhattan,43243,17.04299493559651,15.156646624887264,61.41,9.81,16.57,False,24.63701166666667,0.25
209,Seaport,Manhattan,31574,21.681184202191677,7.5179701653259015,40.19,0.69,25.11,False,24.63701166666667,0.25
4,Alphabet City,Manhattan,28834,17.209518277034057,11.671282860511896,70.49,8.03,0.21,False,24.63701166666667,0.25
232,Two Bridges/Seward Park,Manhattan,25693,20.570890125715177,6.970343284163001,42.62,3.5,11.62,False,24.63701166666667,0.25
224,Stuy Town/Peter Cooper Village,Manhattan,25506,16.394747902454323,2.4850909589900416,57.96,5.31,3.3,False,24.63701166666667,0.25
45,Chinatown,Manhattan,24937,20.540675702770983,7.031523840076995,43.56,6.43,22.91,False,24.63701166666667,0.25
42,Central Harlem North,Manhattan,23631,20.725583343912657,20.865634971012653,65.56,13.54,6.65,False,24.63701166666667,0.25
145,Long Island City/Hunters Point,Queens,17036,22.534353134538623,2.919384832120216,100.0,0.0,0.0,False,24.63701166666667,0.25
116,Hamilton Heights,Manhattan,16018,21.05412473467349,29.192952927956046,37.93,25.86,0.0,False,24.63701166666667,0.25
226,Sunnyside,Queens,14783,27.00578637624298,24.238126226070488,57.23,20.73,3.5,False,24.63701166666667,0.25
244,Washington Heights South,Manhattan,14402,24.376956672684347,12.574934036939315,55.62,7.23,27.78,False,24.63701166666667,0.25
152,Manhattanville,Manhattan,13370,18.106758414360506,10.368332086761406,59.84,11.71,15.74,False,24.63701166666667,0.25
65,Downtown Brooklyn/MetroTech,Brooklyn,11620,26.08640791738382,7.593734079173839,48.32,1.53,30.84,False,24.63701166666667,0.25
7,Astoria,Queens,10863,20.87131271287858,16.3783429991715,48.47,10.69,17.56,False,24.63701166666667,0.25
33,Brooklyn Heights,Brooklyn,10673,25.929172678722008,44.076433992317064,47.15,3.97,37.0,False,24.63701166666667,0.25
193,Queensbridge/Ravenswood,Queens,10449,10.585758445784284,4.866632213608958,61.46,13.58,20.33,False,24.63701166666667,0.25
255,Williamsburg (North Side),Brooklyn,9807,24.25663607627205,9.870398694809829,58.24,5.99,22.23,False,24.63701166666667,0.25
