LocationID,borough,cluster_id,total_pickups,avg_fare,PT_P,WFH_P
43,Manhattan,0,462534,15.412118482100775,42.64,13.675
48,Manhattan,0,748060,16.27601149640403,38.47,16.83
68,Manhattan,0,804665,17.71330894223062,38.34,23.29
79,Manhattan,0,688075,15.558110467608907,37.41,24.58
90,Manhattan,0,470780,15.161497217383916,37.03,32.14
100,Manhattan,0,455276,17.000165679719554,25.44,9.65
107,Manhattan,0,590710,14.845521863520172,27.36,30.57
113,Manhattan,0,416987,15.119100211757202,33.21,24.16
114,Manhattan,0,425356,15.475175547071158,19.12,22.85
132,Queens,0,1414387,63.7009190341823,42.64,13.675
138,Queens,0,941468,43.757902233533166,42.64,13.675
140,Manhattan,0,581550,15.679073372882812,29.29,19.48
141,Manhattan,0,666286,13.657698255704007,35.28,49.91
142,Manhattan,0,929624,14.502939629355524,20.61,46.18
143,Manhattan,0,330707,14.514809423447343,29.48,24.74
161,Manhattan,0,1383325,16.56307721612781,20.16,25.89
162,Manhattan,0,1022893,16.05451067706984,25.56,26.54
163,Manhattan,0,831143,16.634914328821875,42.66,18.25
164,Manhattan,0,670954,16.586749851703694,42.62,19.15
170,Manhattan,0,854174,16.159956531104903,25.84,25.68
186,Manhattan,0,973851,17.259960846166404,46.55,22.97
229,Manhattan,0,519281,14.62502244449537,29.65,29.45
230,Manhattan,0,991717,19.63325047367344,30.05,29.36
231,Manhattan,0,404864,18.97741392171198,33.38,37.35
233,Manhattan,0,349498,17.30293809978884,22.34,30.55
234,Manhattan,0,793371,14.908179716677317,28.43,30.58
236,Manhattan,0,1225326,13.67928756918567,48.68,35.03
237,Manhattan,0,1343002,13.148289496218174,34.4,25.1
238,Manhattan,0,567116,14.591344504475275,53.38,24.21
239,Manhattan,0,816791,14.50701347101033,43.18,35.53
246,Manhattan,0,524709,16.764522621109986,15.93,38.34
249,Manhattan,0,689826,15.351137794168386,40.87,28.6
262,Manhattan,0,402590,15.180947092575574,47.51,29.16
263,Manhattan,0,549711,14.654972412776896,63.18,18.74
11,Brooklyn,1,847,37.061381345926804,47.39,6.62
14,Brooklyn,1,4494,35.49047396528705,53.85,16.48
18,Bronx,1,1949,35.29928168291432,65.9,10.53
22,Brooklyn,1,2214,32.281630532971995,59.1,7.09
32,Bronx,1,1401,36.07667380442541,61.05,1.99
35,Brooklyn,1,8078,28.873145580589252,74.97,1.86
37,Brooklyn,1,9297,28.309666559105086,62.31,11.43
47,Bronx,1,2078,31.722507218479304,47.6,0.0
51,Bronx,1,4376,40.286750457038394,52.86,7.53
56,Queens,1,3324,37.396323706377856,51.84,2.58
60,Bronx,1,1489,31.922928139691066,69.1,1.75
61,Brooklyn,1,18310,28.118708356089567,58.38,11.06
63,Brooklyn,1,2774,30.83410598413843,59.85,5.15
69,Bronx,1,4720,29.990165254237287,74.43,0.0
70,Queens,1,117472,42.70068126872786,49.12,8.32
71,Brooklyn,1,6300,27.22812857142857,56.46,11.4
72,Brooklyn,1,7723,28.28266994691182,39.0,2.25
76,Brooklyn,1,13506,30.961628165259885,67.52,0.67
77,Brooklyn,1,3167,30.457556046731924,69.97,0.0
78,Bronx,1,2479,32.06938281565147,58.85,5.45
80,Brooklyn,1,13680,28.633201023391813,52.57,11.81
81,Bronx,1,1550,38.43141935483871,49.13,2.22
82,Queens,1,6745,31.991315048183843,69.31,2.3
83,Queens,1,2662,32.98077385424493,52.05,2.4
85,Brooklyn,1,3911,28.55908463308617,73.29,3.96
89,Brooklyn,1,9785,29.645840572304547,68.53,20.79
91,Brooklyn,1,6898,29.23728182081763,57.44,4.11
94,Bronx,1,1019,33.30105004906771,72.42,3.44
96,Queens,1,197,34.055786802030454,58.33,0.0
119,Bronx,1,2629,32.789623430962344,68.08,6.43
126,Bronx,1,1774,31.18230552423901,54.64,2.48
127,Manhattan,1,3391,31.23649660867001,62.51,13.04
129,Queens,1,11643,30.913804002404877,61.94,3.88
130,Queens,1,8875,38.59062422535211,51.89,9.81
136,Bronx,1,1527,34.211263916175504,63.03,7.17
147,Bronx,1,1537,30.500683148991545,68.65,8.46
153,Manhattan,1,504,29.697579365079363,65.17,4.38
159,Bronx,1,4192,27.474930820610687,57.76,13.83
167,Bronx,1,2995,29.468460767946574,51.47,0.0
168,Bronx,1,9295,26.50473803119957,62.18,2.68
169,Bronx,1,2572,30.802091757387245,76.57,5.98
172,Staten Island,1,60,41.00633333333334,65.85,0.0
173,Queens,1,1344,28.4971130952381,67.58,0.15
174,Bronx,1,1602,38.623583021223475,65.35,6.22
177,Brooklyn,1,5999,29.37133688948158,61.64,8.81
179,Queens,1,7231,23.811764624533257,52.94,8.14
194,Manhattan,1,1430,46.193930069930076,77.75,10.47
212,Bronx,1,1825,31.139550684931507,74.44,9.5
215,Queens,1,6132,47.92317514677103,61.53,0.58
221,Staten Island,1,100,40.7618,52.27,0.0
225,Brooklyn,1,9391,28.201757001384305,60.5,15.23
226,Queens,1,25695,30.06482973341117,57.47,14.93
228,Brooklyn,1,3709,32.783114046912914,50.34,12.76
235,Bronx,1,2992,33.55511029411765,44.67,5.35
241,Bronx,1,2077,36.183100625902746,71.62,8.32
243,Manhattan,1,7782,28.68792855307119,62.78,9.88
244,Manhattan,1,24692,25.3831172039527,63.71,3.17
247,Bronx,1,5587,29.464512260604977,51.21,8.5
248,Bronx,1,1837,31.15552531301034,56.3,9.99
254,Bronx,1,2933,37.48949198772588,53.66,11.91
258,Queens,1,2374,31.14267902274642,58.67,8.0
260,Queens,1,8781,29.100939528527505,53.52,15.12
1,EWR,2,4071,87.05335052812576,59.57,1.44
2,Queens,2,37,48.27216216216216,42.64,13.675
3,Bronx,2,1262,35.9601030110935,38.44,11.56
5,Staten Island,2,4,48.85,20.84,8.25
8,Queens,2,163,53.04055214723927,42.64,13.675
9,Queens,2,574,33.20148083623694,36.52,11.7
10,Queens,2,11066,58.25745526838966,31.73,3.53
15,Queens,2,542,39.692988929889296,18.18,9.45
16,Queens,2,818,37.58077017114914,32.0,9.52
19,Queens,2,1257,42.299339697692915,17.62,9.95
20,Bronx,2,1371,34.302107950401165,43.31,10.18
23,Staten Island,2,117,55.81726495726495,13.51,5.76
26,Brooklyn,2,2927,29.872104543901603,18.97,5.16
27,Queens,2,151,41.28602649006622,42.64,13.675
28,Queens,2,4010,42.23628428927681,26.59,11.19
29,Brooklyn,2,2203,39.727489786654566,36.81,10.85
30,Queens,2,74,29.429594594594594,13.26,11.67
38,Queens,2,1611,45.608789571694594,21.64,29.45
39,Brooklyn,2,10696,31.540444091249068,38.83,5.32
44,Staten Island,2,12,89.23666666666666,6.85,0.0
46,Bronx,2,244,45.076967213114756,18.21,7.8
53,Queens,2,887,34.05423900789177,41.7,5.9
57,Queens,2,208,37.14240384615385,44.02,6.14
58,Bronx,2,108,35.80129629629629,25.93,11.87
59,Bronx,2,81,33.45320987654321,42.64,13.675
64,Queens,2,545,41.448880733944954,22.49,12.74
67,Brooklyn,2,1023,31.45112414467253,18.89,20.43
73,Queens,2,408,34.493529411764705,34.36,13.87
84,Staten Island,2,15,66.03333333333333,15.02,20.5
86,Queens,2,2856,49.84445728291316,32.41,6.09
92,Queens,2,3079,34.89400779473855,33.53,20.0
93,Queens,2,16939,51.309012338390694,42.64,13.675
101,Queens,2,731,40.98915184678523,17.35,9.96
102,Queens,2,1416,27.849293785310735,29.87,10.88
108,Brooklyn,2,1638,38.230927960927964,38.63,16.52
109,Staten Island,2,17,66.63235294117646,17.7,6.59
111,Brooklyn,2,57,36.71491228070175,42.64,13.675
115,Staten Island,2,68,45.86382352941176,34.65,12.3
117,Queens,2,2911,46.19763998625901,41.91,9.5
118,Staten Island,2,67,59.71925373134329,8.22,19.19
120,Manhattan,2,196,36.43137755102041,42.64,13.675
122,Queens,2,1052,35.227243346007604,41.27,9.01
123,Brooklyn,2,2186,30.017159194876484,19.17,1.81
124,Queens,2,2110,41.4098625592417,24.29,9.47
