borough,month,total_pickups,avg_pt_p
Bronx,1,6905,50.86651162790698
Bronx,2,6972,50.86651162790698
Bronx,3,11082,50.86651162790698
Bronx,4,10836,50.86651162790698
Bronx,5,11930,51.06238095238095
Bronx,6,11140,50.86651162790698
Bronx,7,9574,50.86651162790698
Bronx,8,10060,50.86651162790698
Bronx,9,11841,50.86651162790698
Brooklyn,1,25258,45.32639344262295
Brooklyn,2,28022,45.32639344262295
Brooklyn,3,43939,45.32639344262295
Brooklyn,4,45444,45.32639344262295
Brooklyn,5,53855,45.32639344262295
Brooklyn,6,57039,45.32639344262295
Brooklyn,7,45217,45.32639344262295
Brooklyn,8,46718,45.32639344262295
Brooklyn,9,65651,45.32639344262295
EWR,1,295,59.57
EWR,2,287,59.57
EWR,3,372,59.57
EWR,4,509,59.57
EWR,5,595,59.57
EWR,6,481,59.57
EWR,7,555,59.57
EWR,8,576,59.57
EWR,9,528,59.57
Manhattan,1,2646948,41.918358208955226
Manhattan,2,2710784,41.90742424242424
Manhattan,3,3199034,41.90742424242424
Manhattan,4,3127376,41.918358208955226
Manhattan,5,3296123,41.90742424242424
Manhattan,6,3127944,41.918358208955226
Manhattan,7,2679364,41.90742424242424
Manhattan,8,2573475,41.90742424242424
Manhattan,9,3180171,41.90742424242424
Queens,1,273128,39.35579710144928
Queens,2,250310,39.35579710144928
Queens,3,314448,39.35579710144928
Queens,4,317164,39.35579710144928
Queens,5,347295,39.35579710144928
Queens,6,328919,39.35579710144928
Queens,7,330324,39.35579710144928
Queens,8,337795,39.35579710144928
Queens,9,362875,39.35579710144928
Staten Island,1,72,26.871176470588235
Staten Island,2,57,29.748333333333335
Staten Island,3,105,26.938235294117646
Staten Island,4,112,28.1225
Staten Island,5,172,26.938235294117646
Staten Island,6,156,26.871176470588235
Staten Island,7,140,29.045625
Staten Island,8,161,26.97176470588235
Staten Island,9,236,28.1225
