cluster_id,borough,avg_inter_borough_flow,mean_PT_P,mean_WFH_P
0,Bronx,54318,32.8375,11.385416666666666
0,Brooklyn,181530,28.94058823529412,13.26705882352941
0,EWR,89,59.57,1.44
0,Queens,2029023,33.002826086956524,11.66108695652174
0,Staten Island,754,22.409333333333333,10.899666666666667
1,Bronx,54318,57.84548387096774,8.551290322580645
1,Brooklyn,181530,52.846585365853656,17.525731707317075
1,Manhattan,1476639,51.59571428571429,17.699285714285715
1,Queens,2029023,54.698,11.506
1,Staten Island,754,52.01,10.7
2,Brooklyn,181530,35.40333333333333,40.553333333333335
2,Manhattan,1476639,34.970512820512816,27.60448717948718
2,Queens,2029023,42.64,13.675
3,Queens,2029023,18.18,9.45
3,Staten Island,754,40.065,1.685
